stream_group,time_window,drift_score,n_articles
left,2024-04-04,0.8211224675178528,5
left,2024-04-10,0.8440825939178467,6
left,2024-04-11,0.7904199361801147,6
left,2024-04-15,0.7140130996704102,6
left,2024-04-24,0.676716148853302,6
left,2024-04-30,0.777152955532074,6
left,2024-05-03,0.6457739472389221,6
left,2024-05-10,0.848263680934906,5
left,2024-05-16,0.7034471035003662,5
left,2024-06-04,0.6873447299003601,6
left,2024-06-13,0.7607275247573853,6
left,2024-06-28,0.6890029907226562,7
left,2024-07-02,0.39582228660583496,7
left,2024-07-08,0.5025299787521362,5
left,2024-07-16,0.7419960498809814,6
left,2024-07-17,0.8113372325897217,5
left,2024-07-18,0.9336228966712952,8
left,2024-07-23,0.8624041676521301,5
left,2024-08-01,0.9609749913215637,6
left,2024-08-02,0.400317907333374,7
left,2024-08-07,1.1010912656784058,5
left,2024-08-14,0.9851656556129456,5
left,2024-08-21,0.8607029318809509,9
left,2024-08-22,0.7032324075698853,7
left,2024-08-27,0.6165629625320435,9
left,2024-09-04,0.7734601497650146,6
left,2024-09-06,0.8007601499557495,5
left,2024-09-10,0.9086582660675049,5
left,2024-09-13,0.8089444637298584,5
left,2024-09-20,0.9504467248916626,5
left,2024-09-23,0.8723210096359253,5
left,2024-09-25,0.8925800323486328,11
left,2024-09-27,0.8655245900154114,7
left,2024-10-07,0.896988034248352,5
left,2024-10-10,0.5739861726760864,5
left,2024-10-21,0.8048322200775146,10
left,2024-10-24,0.7047973871231079,5
left,2024-10-25,0.7688411474227905,5
left,2024-11-01,0.5026459693908691,8
left,2024-11-05,0.7185761332511902,5
left,2024-11-11,0.8751183152198792,6
left,2024-11-13,0.6238915920257568,5
left,2024-11-15,0.6222036480903625,7
left,2024-11-25,0.9192497134208679,7
left,2024-12-03,0.9932639598846436,5
left,2024-12-09,0.9572615027427673,5
left,2024-12-17,0.5864954590797424,6
left,2024-12-18,0.8431119918823242,8
left,2025-01-06,0.8880987763404846,5
left,2025-01-09,0.7647789120674133,6
left,2025-01-13,0.8495606184005737,5
left,2025-01-16,0.9472302198410034,5
left,2025-01-20,0.8091592192649841,7
left,2025-01-23,0.5468138456344604,7
left,2025-01-24,0.8522149324417114,5
left,2025-01-30,0.830731213092804,5
left,2025-02-03,0.6094212532043457,6
left,2025-02-04,0.6163396835327148,5
left,2025-02-06,0.8234846591949463,7
left,2025-02-07,0.7786355018615723,5
left,2025-02-13,0.6394753456115723,5
left,2025-02-19,0.696279764175415,5
