stream_group,time_window,drift_score,n_articles
right,2024-03-29,0.579089343547821,5
right,2024-03-30,0.6231670379638672,7
right,2024-04-01,1.0756734609603882,5
right,2024-04-02,0.9277758002281189,6
right,2024-04-24,0.835346519947052,5
right,2024-04-30,0.8634779453277588,6
right,2024-05-01,0.6335207223892212,6
right,2024-05-12,0.5883951783180237,6
right,2024-05-15,0.8925855159759521,7
right,2024-05-22,0.6534167528152466,5
right,2024-05-28,0.9387896060943604,6
right,2024-06-01,0.9201381206512451,9
right,2024-06-02,0.6213868260383606,6
right,2024-06-05,1.0172001123428345,5
right,2024-06-18,1.086347222328186,5
right,2024-06-19,0.8587137460708618,6
right,2024-07-01,0.5979048609733582,13
right,2024-07-02,0.5324486494064331,5
right,2024-07-17,0.6776947975158691,7
right,2024-07-18,0.8595021963119507,5
right,2024-07-30,0.6043301224708557,5
right,2024-08-01,0.8839170932769775,11
right,2024-08-13,0.7990920543670654,8
right,2024-08-19,0.7613682150840759,6
right,2024-08-25,0.7208738327026367,6
right,2024-08-28,0.9510638117790222,5
right,2024-08-30,0.7705267071723938,8
right,2024-09-01,0.5614455938339233,9
right,2024-09-04,0.7440385222434998,7
right,2024-09-15,0.8496790528297424,5
right,2024-09-17,0.6623709201812744,7
right,2024-09-19,0.65050208568573,5
right,2024-09-23,0.7415459752082825,5
right,2024-09-25,0.7492040991783142,5
right,2024-09-29,0.7476643919944763,5
right,2024-10-01,0.6088992953300476,9
right,2024-10-08,0.8624871373176575,5
right,2024-10-11,0.7906460762023926,5
right,2024-10-13,0.8116931915283203,6
right,2024-10-17,0.9421086311340332,5
right,2024-10-25,0.888786792755127,6
right,2024-11-01,0.7861919403076172,10
right,2024-11-06,0.7961271405220032,6
right,2024-11-10,0.7290664911270142,6
right,2024-11-24,1.0245323181152344,5
right,2024-12-01,0.8285974264144897,6
right,2024-12-08,0.49918973445892334,5
right,2024-12-13,0.8059223890304565,6
right,2024-12-18,0.7632567286491394,5
right,2025-01-08,0.7890613079071045,9
right,2025-01-22,0.5750409364700317,6
right,2025-02-01,0.7742271423339844,6
right,2025-02-04,0.8159819841384888,7
right,2025-02-05,0.6897544860839844,5
right,2025-02-06,0.7851872444152832,6
right,2025-02-09,0.803190290927887,5
right,2025-02-19,0.7284637689590454,5
