stream_group,time_window,n_articles,labels
right,2024-03-17,5,[1]
right,2024-03-29,5,[1]
right,2024-03-30,7,[1]
right,2024-04-01,5,[1]
right,2024-04-02,6,[1]
right,2024-04-24,5,[1]
right,2024-04-30,6,[1]
right,2024-05-01,6,[1]
right,2024-05-12,6,[1]
right,2024-05-15,7,[1]
right,2024-05-22,5,[1]
right,2024-05-28,6,[1]
right,2024-06-01,9,[1]
right,2024-06-02,6,[1]
right,2024-06-05,5,[1]
right,2024-06-18,5,[1]
right,2024-06-19,6,[1]
right,2024-07-01,13,[1]
right,2024-07-02,5,[1]
right,2024-07-17,7,[1]
right,2024-07-18,5,[1]
right,2024-07-30,5,[1]
right,2024-08-01,11,[1]
right,2024-08-13,8,[1]
right,2024-08-19,6,[1]
right,2024-08-25,6,[1]
right,2024-08-28,5,[1]
right,2024-08-30,8,[1]
right,2024-09-01,9,[1]
right,2024-09-04,7,[1]
right,2024-09-15,5,[1]
right,2024-09-17,7,[1]
right,2024-09-19,5,[1]
right,2024-09-23,5,[1]
right,2024-09-25,5,[1]
right,2024-09-29,5,[1]
right,2024-10-01,9,[1]
right,2024-10-08,5,[1]
right,2024-10-11,5,[1]
right,2024-10-13,6,[1]
right,2024-10-17,5,[1]
right,2024-10-25,6,[1]
right,2024-11-01,10,[1]
right,2024-11-06,6,[1]
right,2024-11-10,6,[1]
right,2024-11-24,5,[1]
right,2024-12-01,6,[1]
right,2024-12-08,5,[1]
right,2024-12-13,6,[1]
right,2024-12-18,5,[1]
right,2025-01-08,9,[1]
right,2025-01-22,6,[1]
right,2025-02-01,6,[1]
right,2025-02-04,7,[1]
right,2025-02-05,5,[1]
right,2025-02-06,6,[1]
right,2025-02-09,5,[1]
right,2025-02-19,5,[1]
