stream_group,time_window,drift_score,n_articles
left,2024-04-08,0.8335481882095337,19
left,2024-04-15,0.7192948460578918,17
left,2024-04-22,0.7107133269309998,16
left,2024-04-29,0.9512819647789001,20
left,2024-05-06,0.8004465103149414,16
left,2024-06-03,0.7859320044517517,15
left,2024-06-10,0.8594008684158325,19
left,2024-06-24,0.8789002895355225,15
left,2024-07-08,0.8711816072463989,17
left,2024-07-15,0.7419960498809814,24
left,2024-07-29,0.4039415121078491,16
left,2024-08-12,0.7713003158569336,18
left,2024-08-19,0.9883511662483215,23
left,2024-08-26,0.767450749874115,15
left,2024-09-02,0.8036454916000366,22
left,2024-09-09,0.8236427903175354,21
left,2024-09-23,0.847352921962738,25
left,2024-10-07,0.4547451138496399,19
left,2024-10-21,0.8341192007064819,29
left,2024-10-28,0.9310586452484131,18
left,2024-11-04,1.018763780593872,16
left,2024-11-11,1.0198277235031128,21
left,2024-11-18,0.8350163698196411,15
left,2024-11-25,0.8107149600982666,18
left,2024-12-09,0.9824200868606567,15
left,2024-12-16,0.7396748661994934,21
left,2025-01-06,0.5104943513870239,18
left,2025-01-13,0.7646880149841309,15
left,2025-01-20,0.7109113335609436,24
left,2025-01-27,0.6795749664306641,15
left,2025-02-03,0.7861103415489197,27
left,2025-02-10,0.7956088781356812,19
mixed,2024-03-25,0.9129287004470825,33
mixed,2024-04-01,0.8262948393821716,44
mixed,2024-04-08,0.8335481882095337,32
mixed,2024-04-15,0.7192948460578918,22
mixed,2024-04-22,0.7107133269309998,34
mixed,2024-04-29,0.9512819647789001,44
mixed,2024-05-06,0.8004465103149414,28
mixed,2024-05-13,0.8923674821853638,28
mixed,2024-05-20,0.7881301045417786,25
mixed,2024-05-27,0.7120858430862427,38
mixed,2024-06-03,0.761113166809082,31
mixed,2024-06-10,0.8594008684158325,33
mixed,2024-06-17,0.9051505923271179,32
mixed,2024-06-24,0.811090886592865,34
mixed,2024-07-01,0.910621702671051,43
mixed,2024-07-08,0.7323487997055054,32
mixed,2024-07-15,0.8288367390632629,41
mixed,2024-07-22,0.5218859314918518,27
mixed,2024-07-29,0.5746497511863708,41
mixed,2024-08-05,0.9184976816177368,24
mixed,2024-08-12,0.9844678640365601,37
mixed,2024-08-19,0.9105204343795776,48
mixed,2024-08-26,0.9323330521583557,45
mixed,2024-09-02,0.8036454916000366,42
mixed,2024-09-09,0.8236427903175354,36
mixed,2024-09-16,0.6986556053161621,40
mixed,2024-09-23,0.5563040971755981,49
mixed,2024-09-30,0.8208747506141663,35
mixed,2024-10-07,0.8075771331787109,45
mixed,2024-10-14,0.8006425499916077,27
mixed,2024-10-21,0.8862121105194092,48
mixed,2024-10-28,0.5863073468208313,38
mixed,2024-11-04,0.6095842719078064,38
mixed,2024-11-11,0.5999506115913391,31
mixed,2024-11-18,0.8350163698196411,29
mixed,2024-11-25,0.8107149600982666,34
mixed,2024-12-02,0.9529207348823547,25
mixed,2024-12-09,0.7055135369300842,33
mixed,2024-12-16,0.7741160988807678,43
mixed,2024-12-30,0.7390698790550232,25
mixed,2025-01-06,0.7453510761260986,37
mixed,2025-01-13,0.7646880149841309,29
mixed,2025-01-20,0.7109113335609436,45
mixed,2025-01-27,0.6795749664306641,32
mixed,2025-02-03,0.7861103415489197,57
mixed,2025-02-10,0.7956088781356812,27
mixed,2025-02-17,0.7994347810745239,19
right,2024-04-01,0.8757714629173279,23
right,2024-04-22,0.9546441435813904,18
right,2024-04-29,0.7269210815429688,24
right,2024-05-13,0.6039016842842102,17
right,2024-05-20,0.6809636354446411,17
right,2024-05-27,0.8302922248840332,28
right,2024-06-03,0.6771465539932251,16
right,2024-06-17,0.8096114993095398,20
right,2024-06-24,0.8016224503517151,19
right,2024-07-01,0.5112617015838623,29
right,2024-07-08,0.7323487997055054,15
right,2024-07-15,0.8288367390632629,17
right,2024-07-29,0.6873712539672852,25
right,2024-08-12,0.6557556390762329,19
right,2024-08-19,0.9105204343795776,25
right,2024-08-26,0.8290205597877502,30
right,2024-09-02,0.5615780353546143,20
right,2024-09-09,0.7667630910873413,15
right,2024-09-16,0.874198317527771,26
right,2024-09-23,0.46627551317214966,24
right,2024-09-30,0.7516220808029175,23
right,2024-10-07,0.6611478924751282,26
right,2024-10-14,0.5698300004005432,15
right,2024-10-21,0.5349745750427246,19
right,2024-10-28,0.5768231749534607,20
right,2024-11-04,0.595385730266571,22
right,2024-11-25,0.8006188869476318,16
right,2024-12-09,0.8403193354606628,18
right,2024-12-16,0.7561750411987305,22
right,2024-12-30,0.759986162185669,16
right,2025-01-06,0.7602652907371521,19
right,2025-01-20,0.6183297038078308,21
right,2025-01-27,0.717548131942749,17
right,2025-02-03,0.8697445392608643,30
