stream_group,time_window,n_articles,labels
left,2024-04-01,21,[0]
left,2024-04-08,19,[0]
left,2024-04-15,17,[0]
left,2024-04-22,16,[0]
left,2024-04-29,20,[0]
left,2024-05-06,16,[0]
left,2024-06-03,15,[0]
left,2024-06-10,19,[0]
left,2024-06-24,15,[0]
left,2024-07-08,17,[0]
left,2024-07-15,24,[0]
left,2024-07-29,16,[0]
left,2024-08-12,18,[0]
left,2024-08-19,23,[0]
left,2024-08-26,15,[0]
left,2024-09-02,22,[0]
left,2024-09-09,21,[0]
left,2024-09-23,25,[0]
left,2024-10-07,19,[0]
left,2024-10-21,29,[0]
left,2024-10-28,18,[0]
left,2024-11-04,16,[0]
left,2024-11-11,21,[0]
left,2024-11-18,15,[0]
left,2024-11-25,18,[0]
left,2024-12-09,15,[0]
left,2024-12-16,21,[0]
left,2025-01-06,18,[0]
left,2025-01-13,15,[0]
left,2025-01-20,24,[0]
left,2025-01-27,15,[0]
left,2025-02-03,27,[0]
left,2025-02-10,19,[0]
mixed,2024-03-18,18,"[0, 1]"
mixed,2024-03-25,33,"[0, 1]"
mixed,2024-04-01,44,"[0, 1]"
mixed,2024-04-08,32,"[0, 1]"
mixed,2024-04-15,22,"[0, 1]"
mixed,2024-04-22,34,"[0, 1]"
mixed,2024-04-29,44,"[0, 1]"
mixed,2024-05-06,28,"[0, 1]"
mixed,2024-05-13,28,"[0, 1]"
mixed,2024-05-20,25,"[0, 1]"
mixed,2024-05-27,38,"[0, 1]"
mixed,2024-06-03,31,"[0, 1]"
mixed,2024-06-10,33,"[0, 1]"
mixed,2024-06-17,32,"[0, 1]"
mixed,2024-06-24,34,"[0, 1]"
mixed,2024-07-01,43,"[0, 1]"
mixed,2024-07-08,32,"[0, 1]"
mixed,2024-07-15,41,"[0, 1]"
mixed,2024-07-22,27,"[0, 1]"
mixed,2024-07-29,41,"[0, 1]"
mixed,2024-08-05,24,"[0, 1]"
mixed,2024-08-12,37,"[0, 1]"
mixed,2024-08-19,48,"[0, 1]"
mixed,2024-08-26,45,"[0, 1]"
mixed,2024-09-02,42,"[0, 1]"
mixed,2024-09-09,36,"[0, 1]"
mixed,2024-09-16,40,"[0, 1]"
mixed,2024-09-23,49,"[0, 1]"
mixed,2024-09-30,35,"[0, 1]"
mixed,2024-10-07,45,"[0, 1]"
mixed,2024-10-14,27,"[0, 1]"
mixed,2024-10-21,48,"[0, 1]"
mixed,2024-10-28,38,"[0, 1]"
mixed,2024-11-04,38,"[0, 1]"
mixed,2024-11-11,31,"[0, 1]"
mixed,2024-11-18,29,"[0, 1]"
mixed,2024-11-25,34,"[0, 1]"
mixed,2024-12-02,25,"[0, 1]"
mixed,2024-12-09,33,"[0, 1]"
mixed,2024-12-16,43,"[0, 1]"
mixed,2024-12-30,25,"[0, 1]"
mixed,2025-01-06,37,"[0, 1]"
mixed,2025-01-13,29,"[0, 1]"
mixed,2025-01-20,45,"[0, 1]"
mixed,2025-01-27,32,"[0, 1]"
mixed,2025-02-03,57,"[0, 1]"
mixed,2025-02-10,27,"[0, 1]"
mixed,2025-02-17,19,"[0, 1]"
right,2024-03-25,22,[1]
right,2024-04-01,23,[1]
right,2024-04-22,18,[1]
right,2024-04-29,24,[1]
right,2024-05-13,17,[1]
right,2024-05-20,17,[1]
right,2024-05-27,28,[1]
right,2024-06-03,16,[1]
right,2024-06-17,20,[1]
right,2024-06-24,19,[1]
right,2024-07-01,29,[1]
right,2024-07-08,15,[1]
right,2024-07-15,17,[1]
right,2024-07-29,25,[1]
right,2024-08-12,19,[1]
right,2024-08-19,25,[1]
right,2024-08-26,30,[1]
right,2024-09-02,20,[1]
right,2024-09-09,15,[1]
right,2024-09-16,26,[1]
right,2024-09-23,24,[1]
right,2024-09-30,23,[1]
right,2024-10-07,26,[1]
right,2024-10-14,15,[1]
right,2024-10-21,19,[1]
right,2024-10-28,20,[1]
right,2024-11-04,22,[1]
right,2024-11-25,16,[1]
right,2024-12-09,18,[1]
right,2024-12-16,22,[1]
right,2024-12-30,16,[1]
right,2025-01-06,19,[1]
right,2025-01-20,21,[1]
right,2025-01-27,17,[1]
right,2025-02-03,30,[1]
