stream_group,time_window,drift_score,n_articles
left,2024-04-08,0.8335481882095337,19
left,2024-04-15,0.7192948460578918,17
left,2024-04-22,0.7107133269309998,16
left,2024-04-29,0.9512819647789001,20
left,2024-05-06,0.8004465103149414,16
left,2024-06-03,0.7859320044517517,15
left,2024-06-10,0.8594008684158325,19
left,2024-06-24,0.8789002895355225,15
left,2024-07-08,0.8711816072463989,17
left,2024-07-15,0.7419960498809814,24
left,2024-07-29,0.4039415121078491,16
left,2024-08-12,0.7713003158569336,18
left,2024-08-19,0.9883511662483215,23
left,2024-08-26,0.767450749874115,15
left,2024-09-02,0.8036454916000366,22
left,2024-09-09,0.8236427903175354,21
left,2024-09-23,0.847352921962738,25
left,2024-10-07,0.4547451138496399,19
left,2024-10-21,0.8341192007064819,29
left,2024-10-28,0.9310586452484131,18
left,2024-11-04,1.018763780593872,16
left,2024-11-11,1.0198277235031128,21
left,2024-11-18,0.8350163698196411,15
left,2024-11-25,0.8107149600982666,18
left,2024-12-09,0.9824200868606567,15
left,2024-12-16,0.7396748661994934,21
left,2025-01-06,0.5104943513870239,18
left,2025-01-13,0.7646880149841309,15
left,2025-01-20,0.7109113335609436,24
left,2025-01-27,0.6795749664306641,15
left,2025-02-03,0.7861103415489197,27
left,2025-02-10,0.7956088781356812,19
