stream_group,time_window,n_articles,labels
left,2024-04-01,21,[0]
left,2024-04-08,19,[0]
left,2024-04-15,17,[0]
left,2024-04-22,16,[0]
left,2024-04-29,20,[0]
left,2024-05-06,16,[0]
left,2024-06-03,15,[0]
left,2024-06-10,19,[0]
left,2024-06-24,15,[0]
left,2024-07-08,17,[0]
left,2024-07-15,24,[0]
left,2024-07-29,16,[0]
left,2024-08-12,18,[0]
left,2024-08-19,23,[0]
left,2024-08-26,15,[0]
left,2024-09-02,22,[0]
left,2024-09-09,21,[0]
left,2024-09-23,25,[0]
left,2024-10-07,19,[0]
left,2024-10-21,29,[0]
left,2024-10-28,18,[0]
left,2024-11-04,16,[0]
left,2024-11-11,21,[0]
left,2024-11-18,15,[0]
left,2024-11-25,18,[0]
left,2024-12-09,15,[0]
left,2024-12-16,21,[0]
left,2025-01-06,18,[0]
left,2025-01-13,15,[0]
left,2025-01-20,24,[0]
left,2025-01-27,15,[0]
left,2025-02-03,27,[0]
left,2025-02-10,19,[0]
