stream_group,time_window,drift_score,n_articles
mixed,2024-03-25,0.9129287004470825,33
mixed,2024-04-01,0.8262948393821716,44
mixed,2024-04-08,0.8335481882095337,32
mixed,2024-04-15,0.7192948460578918,22
mixed,2024-04-22,0.7107133269309998,34
mixed,2024-04-29,0.9512819647789001,44
mixed,2024-05-06,0.8004465103149414,28
mixed,2024-05-13,0.8923674821853638,28
mixed,2024-05-20,0.7881301045417786,25
mixed,2024-05-27,0.7120858430862427,38
mixed,2024-06-03,0.761113166809082,31
mixed,2024-06-10,0.8594008684158325,33
mixed,2024-06-17,0.9051505923271179,32
mixed,2024-06-24,0.811090886592865,34
mixed,2024-07-01,0.910621702671051,43
mixed,2024-07-08,0.7323487997055054,32
mixed,2024-07-15,0.8288367390632629,41
mixed,2024-07-22,0.5218859314918518,27
mixed,2024-07-29,0.5746497511863708,41
mixed,2024-08-05,0.9184976816177368,24
mixed,2024-08-12,0.9844678640365601,37
mixed,2024-08-19,0.9105204343795776,48
mixed,2024-08-26,0.9323330521583557,45
mixed,2024-09-02,0.8036454916000366,42
mixed,2024-09-09,0.8236427903175354,36
mixed,2024-09-16,0.6986556053161621,40
mixed,2024-09-23,0.5563040971755981,49
mixed,2024-09-30,0.8208747506141663,35
mixed,2024-10-07,0.8075771331787109,45
mixed,2024-10-14,0.8006425499916077,27
mixed,2024-10-21,0.8862121105194092,48
mixed,2024-10-28,0.5863073468208313,38
mixed,2024-11-04,0.6095842719078064,38
mixed,2024-11-11,0.5999506115913391,31
mixed,2024-11-18,0.8350163698196411,29
mixed,2024-11-25,0.8107149600982666,34
mixed,2024-12-02,0.9529207348823547,25
mixed,2024-12-09,0.7055135369300842,33
mixed,2024-12-16,0.7741160988807678,43
mixed,2024-12-30,0.7390698790550232,25
mixed,2025-01-06,0.7453510761260986,37
mixed,2025-01-13,0.7646880149841309,29
mixed,2025-01-20,0.7109113335609436,45
mixed,2025-01-27,0.6795749664306641,32
mixed,2025-02-03,0.7861103415489197,57
mixed,2025-02-10,0.7956088781356812,27
mixed,2025-02-17,0.7994347810745239,19
