stream_group,time_window,n_articles,labels
right,2024-03-25,22,[1]
right,2024-04-01,23,[1]
right,2024-04-22,18,[1]
right,2024-04-29,24,[1]
right,2024-05-13,17,[1]
right,2024-05-20,17,[1]
right,2024-05-27,28,[1]
right,2024-06-03,16,[1]
right,2024-06-17,20,[1]
right,2024-06-24,19,[1]
right,2024-07-01,29,[1]
right,2024-07-08,15,[1]
right,2024-07-15,17,[1]
right,2024-07-29,25,[1]
right,2024-08-12,19,[1]
right,2024-08-19,25,[1]
right,2024-08-26,30,[1]
right,2024-09-02,20,[1]
right,2024-09-09,15,[1]
right,2024-09-16,26,[1]
right,2024-09-23,24,[1]
right,2024-09-30,23,[1]
right,2024-10-07,26,[1]
right,2024-10-14,15,[1]
right,2024-10-21,19,[1]
right,2024-10-28,20,[1]
right,2024-11-04,22,[1]
right,2024-11-25,16,[1]
right,2024-12-09,18,[1]
right,2024-12-16,22,[1]
right,2024-12-30,16,[1]
right,2025-01-06,19,[1]
right,2025-01-20,21,[1]
right,2025-01-27,17,[1]
right,2025-02-03,30,[1]
