feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,matched_event,delay_days,is_true_positive
embedding,left_none_daily,left_none,left,none,PageHinkley,2024-04-01,D,daily,0.8258332343446437,,,False
embedding,left_none_daily,left_none,left,none,PageHinkley,2024-04-24,D,daily,0.8446192543458639,,,False
embedding,left_none_daily,left_none,left,none,PageHinkley,2024-07-17,D,daily,0.8491592547081099,Trump assassination attempt,4.0,True
embedding,left_none_daily,left_none,left,none,PageHinkley,2024-08-07,D,daily,1.0112002230031258,Harris becomes Democratic nominee,2.0,True
embedding,left_none_daily,left_none,left,none,PageHinkley,2024-09-20,D,daily,0.8671679301292348,,,False
embedding,left_none_daily,left_none,left,none,KSWIN,2024-10-25,D,daily,0.6566244237583627,,,False
embedding,left_none_daily,left_none,left,none,PageHinkley,2024-12-03,D,daily,0.8278549865559715,,,False
embedding,left_none_daily,left_none,left,none,PageHinkley,2025-01-23,D,daily,0.9266471120306419,Trump inauguration,3.0,True
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-02-22,D,daily,0.7536647913025651,,,False
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-02-29,D,daily,1.0483214168497004,Start of campaign,-5.0,True
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-03-27,D,daily,0.6979318731734391,,,False
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-04-17,D,daily,0.9181523617998413,,,False
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-05-05,D,daily,0.6933115856566179,,,False
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-05-31,D,daily,0.7463896340180802,Trump conviction,1.0,True
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-06-13,D,daily,0.6060526027071794,,,False
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-06-28,D,daily,0.8227633341037305,First presidential debate,1.0,True
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-07-14,D,daily,0.7346337338054673,Trump assassination attempt,1.0,True
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,KSWIN,2024-08-13,D,daily,0.5319875132014199,,,False
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-08-30,D,daily,0.7200187239659569,,,False
