feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window_code,time_window_name,detections,true_positives,false_positives,precision_like,avg_delay_days,events_detected,events_missed,event_recall
embedding,left_none_daily,left_none,left,none,ADWIN,D,daily,0,0,0,,,0,10,0.0
embedding,left_none_daily,left_none,left,none,PageHinkley,D,daily,7,3,4,0.42857142857142855,3.0,3,7,0.3
embedding,left_none_daily,left_none,left,none,KSWIN,D,daily,1,0,1,0.0,,0,10,0.0
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,ADWIN,D,daily,0,0,0,,,0,10,0.0
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,D,daily,18,7,11,0.3888888888888889,-1.0,7,3,0.7
embedding,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,KSWIN,D,daily,4,1,3,0.25,6.0,1,9,0.1
embedding,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,ADWIN,D,daily,0,0,0,,,0,10,0.0
embedding,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,D,daily,25,11,14,0.44,-1.6363636363636365,9,1,0.9
embedding,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,D,daily,3,2,1,0.6666666666666666,-0.5,2,8,0.2
embedding,mixed_raw_daily,mixed_raw,mixed,raw,ADWIN,D,daily,0,0,0,,,0,10,0.0
embedding,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,D,daily,36,12,24,0.3333333333333333,-0.5,9,1,0.9
embedding,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,D,daily,4,1,3,0.25,-2.0,1,9,0.1
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,ADWIN,D,daily,0,0,0,,,0,10,0.0
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,D,daily,31,11,20,0.3548387096774194,0.2727272727272727,8,2,0.8
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,KSWIN,D,daily,3,0,3,0.0,,0,10,0.0
embedding,right_none_daily,right_none,right,none,ADWIN,D,daily,0,0,0,,,0,10,0.0
embedding,right_none_daily,right_none,right,none,PageHinkley,D,daily,33,12,21,0.36363636363636365,-1.1666666666666667,8,2,0.8
embedding,right_none_daily,right_none,right,none,KSWIN,D,daily,2,0,2,0.0,,0,10,0.0
