stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-08,D,daily,0.5497613735806994,9,7,2,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-11,D,daily,0.6449694970641948,6,1,5,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-12,D,daily,0.4532820420527297,8,2,6,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-13,D,daily,0.3424912272953764,5,5,0,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-15,D,daily,0.43151233187860216,6,4,2,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-16,D,daily,0.4721488424490412,9,6,3,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-17,D,daily,0.457637071147605,6,3,3,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-18,D,daily,0.4196770967530815,5,0,5,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-20,D,daily,0.6287330045487751,6,3,3,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-22,D,daily,0.7536647913025651,5,2,3,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-23,D,daily,0.7134243222824199,7,3,4,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-25,D,daily,0.4346051079260582,8,3,5,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-27,D,daily,0.48884982493203644,5,4,1,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-28,D,daily,0.6104829485054893,12,5,7,embedding
mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,2024-02-29,D,daily,1.0483214168497004,7,3,4,embedding
