time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-06,6,3,3,"0,1",2024-02-06 02:45:00,2024-02-06 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-07,5,2,3,"0,1",2024-02-07 00:00:00,2024-02-07 12:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-08,6,3,3,"0,1",2024-02-08 14:15:00,2024-02-08 23:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-12,5,2,3,"0,1",2024-02-12 19:00:00,2024-02-12 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-15,6,3,3,"0,1",2024-02-15 03:45:00,2024-02-15 22:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-16,6,3,3,"0,1",2024-02-16 12:15:00,2024-02-16 21:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-17,6,3,3,"0,1",2024-02-17 02:00:00,2024-02-17 22:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-20,6,3,3,"0,1",2024-02-20 11:45:00,2024-02-20 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-22,5,2,3,"0,1",2024-02-22 00:15:00,2024-02-22 19:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-23,6,3,3,"0,1",2024-02-23 13:45:00,2024-02-23 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-25,6,3,3,"0,1",2024-02-25 18:45:00,2024-02-25 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-26,5,2,3,"0,1",2024-02-26 13:45:00,2024-02-26 21:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-27,6,3,3,"0,1",2024-02-27 01:15:00,2024-02-27 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-28,6,3,3,"0,1",2024-02-28 00:00:00,2024-02-28 23:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-02-29,6,3,3,"0,1",2024-02-29 13:45:00,2024-02-29 21:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-01,6,3,3,"0,1",2024-03-01 01:45:00,2024-03-01 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-03,6,3,3,"0,1",2024-03-03 01:15:00,2024-03-03 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-04,6,3,3,"0,1",2024-03-04 03:45:00,2024-03-04 23:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-06,6,3,3,"0,1",2024-03-06 00:45:00,2024-03-06 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-07,6,3,3,"0,1",2024-03-07 00:30:00,2024-03-07 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-08,6,3,3,"0,1",2024-03-08 03:45:00,2024-03-08 15:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-11,6,3,3,"0,1",2024-03-11 14:45:00,2024-03-11 21:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-12,6,3,3,"0,1",2024-03-12 11:00:00,2024-03-12 23:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-13,6,3,3,"0,1",2024-03-13 12:00:00,2024-03-13 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-16,5,2,3,"0,1",2024-03-16 15:30:00,2024-03-16 21:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-17,6,3,3,"0,1",2024-03-17 11:15:00,2024-03-17 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-03-20,6,3,3,"0,1",2024-03-20 02:45:00,2024-03-20 22:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
