stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-11,D,daily,0.5218203709816605,20,1,19,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-22,D,daily,0.6599588386579791,19,2,17,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-29,D,daily,1.0049137191925894,22,3,19,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-17,D,daily,0.5310216591978082,24,3,21,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-26,D,daily,0.5905428507022721,21,1,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-03-30,D,daily,0.674628634450032,28,0,28,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-16,D,daily,0.7237394220586908,23,3,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-04,D,daily,0.7876057032564344,8,0,8,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-09,D,daily,0.6903100260145365,21,1,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-15,D,daily,0.7646180092381261,18,2,16,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-28,D,daily,0.5805025289649859,21,3,18,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-11,D,daily,0.6864024021446797,24,4,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-24,D,daily,0.6471363178412497,23,2,21,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-04,D,daily,0.696204175025876,12,0,12,embedding
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-07-11,D,daily,0.2995016053577516,24,4,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-17,D,daily,0.7475939086292297,25,5,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-23,D,daily,0.6559552017613951,25,5,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-05,D,daily,0.9067883647613629,7,4,3,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-16,D,daily,0.5354111170951262,9,4,5,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-26,D,daily,0.5984655254955281,14,1,13,embedding
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-08-27,D,daily,0.4859999531504613,24,9,15,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-03,D,daily,0.5843845726683176,10,4,6,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-09,D,daily,0.6460068897416018,22,2,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-20,D,daily,0.6610679930253044,25,5,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-09,D,daily,0.6304883008270648,14,2,12,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-14,D,daily,0.6020702799681995,15,2,13,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-20,D,daily,0.8527576304285547,18,2,16,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-04,D,daily,0.6095686304164667,29,2,27,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-16,D,daily,0.4894535620833538,11,0,11,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-24,D,daily,0.7372052887413973,16,2,14,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-30,D,daily,0.6027001633741206,18,0,18,embedding
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-12-06,D,daily,0.39973861578190173,12,1,11,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-13,D,daily,0.6130457475233235,16,3,13,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-18,D,daily,0.6977559111736428,28,8,20,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-23,D,daily,0.5353673007481621,9,1,8,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-29,D,daily,0.5748055938526693,8,0,8,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-01-13,D,daily,0.7137695137093452,8,5,3,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-01-27,D,daily,0.6836012828718229,10,2,8,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-02-01,D,daily,0.6623547187909226,30,0,30,embedding
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-02-09,D,daily,0.6590931242435081,16,1,15,embedding
