stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-07,D,daily,0.24892960417445764,8,4,4,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-08,D,daily,0.4166129559658891,36,18,18,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-11,D,daily,0.4072532349931095,38,19,19,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-12,D,daily,0.4338191382378537,38,19,19,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-15,D,daily,0.4628913500330013,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-16,D,daily,0.429811214335291,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-17,D,daily,0.36899822819157024,30,15,15,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-20,D,daily,0.5286683173284417,38,19,19,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-22,D,daily,0.5773803273051743,34,17,17,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-23,D,daily,0.4143407950078475,32,16,16,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-25,D,daily,0.43078686849086223,46,23,23,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-26,D,daily,0.6543944040159922,26,13,13,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-27,D,daily,0.6437935393703426,12,6,6,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-28,D,daily,0.4452791095959192,44,22,22,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-02-29,D,daily,0.9712966233249118,38,19,19,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-01,D,daily,0.9828343942685572,128,64,64,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-03,D,daily,0.30278495199986866,30,15,15,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-04,D,daily,0.34129563166220667,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-06,D,daily,0.4833293264833064,22,11,11,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-07,D,daily,0.4973522008207336,30,15,15,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-08,D,daily,0.45109967536069284,6,3,3,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-10,D,daily,0.34237626029341395,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-11,D,daily,0.40222592700849935,32,16,16,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-12,D,daily,0.5153689272788795,26,13,13,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-13,D,daily,0.20832593063071314,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-14,D,daily,0.5179522620749929,28,14,14,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-16,D,daily,0.4550023926563519,18,9,9,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-17,D,daily,0.5592918130470448,42,21,21,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-19,D,daily,0.4578730869446286,8,4,4,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-20,D,daily,0.518431649935539,38,19,19,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-21,D,daily,0.3158996725649692,18,9,9,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-22,D,daily,0.3730131711261554,24,12,12,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-24,D,daily,0.34899127894407334,30,15,15,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-25,D,daily,0.411896786971626,24,12,12,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-26,D,daily,0.5517215586357436,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-27,D,daily,0.7340644892255246,22,11,11,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-28,D,daily,0.7210914822794963,36,18,18,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-29,D,daily,0.41044165166624724,60,30,30,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-03-31,D,daily,0.6451004712882861,14,7,7,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-01,D,daily,0.527270623837185,60,30,30,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-02,D,daily,0.6059266332385637,36,18,18,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-04,D,daily,0.5533835895056455,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-05,D,daily,0.6811574424558063,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-06,D,daily,0.5278196829857289,26,13,13,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-07,D,daily,0.37504854090800255,24,12,12,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-08,D,daily,0.491705581396524,34,17,17,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-09,D,daily,0.48947125503965705,34,17,17,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-10,D,daily,0.5583454551252911,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-12,D,daily,0.5681836637659653,16,8,8,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-16,D,daily,0.7202495326103083,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-17,D,daily,0.7810510313421859,10,5,5,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-24,D,daily,0.5133712446642222,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-25,D,daily,0.5290807134214125,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-26,D,daily,0.4148472367271312,30,15,15,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-27,D,daily,0.5761485620541824,36,18,18,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-29,D,daily,0.5058837413675776,64,32,32,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-04-30,D,daily,0.4603334543524089,72,36,36,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-05-01,D,daily,0.30158873367664163,58,29,29,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-05-02,D,daily,0.4421737314159322,40,20,20,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-05-03,D,daily,0.6249326357675816,22,11,11,embedding
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,2024-05-05,D,daily,0.6040374897244003,36,18,18,embedding
