stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
right_none_daily,right_none,right,none,PageHinkley,2024-02-12,D,daily,0.4338191382378537,19,0,19,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-02-20,D,daily,0.5635208145499466,19,0,19,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-02-27,D,daily,0.6409896942746804,6,0,6,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-03-11,D,daily,0.505164426367106,16,0,16,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-03-30,D,daily,0.674628634450032,28,0,28,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-04-05,D,daily,0.5590423503495656,20,0,20,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-04-10,D,daily,0.42869645696328096,20,0,20,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-04-17,D,daily,0.5660966828063294,5,0,5,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-04-30,D,daily,0.6200666583999048,36,0,36,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-05-05,D,daily,0.5121204597227081,18,0,18,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-05-14,D,daily,0.6318324596899308,13,0,13,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-05-26,D,daily,0.6473335693533533,17,0,17,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-06-11,D,daily,0.7142521223389375,20,0,20,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-06-23,D,daily,0.5803000651105745,11,0,11,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-07-06,D,daily,0.6013372876256833,5,0,5,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-07-15,D,daily,0.5338049961682451,20,0,20,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-07-29,D,daily,0.5042871346298057,12,0,12,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-08-06,D,daily,0.6051189358504019,17,0,17,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-08-15,D,daily,0.46852416566322974,22,0,22,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-08-20,D,daily,0.5047749665857064,14,0,14,embedding
right_none_daily,right_none,right,none,KSWIN,2024-08-23,D,daily,0.3181741446487062,15,0,15,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-08-26,D,daily,0.5870558622390742,13,0,13,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-09-13,D,daily,0.5782713020797162,20,0,20,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-09-22,D,daily,0.5945783146558167,21,0,21,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-10-02,D,daily,0.6128602967687501,10,0,10,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-10-08,D,daily,0.5217223560025408,20,0,20,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-10-24,D,daily,0.5594529372355693,17,0,17,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-11-16,D,daily,0.6933918524994584,11,0,11,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-11-29,D,daily,0.62751051013097,25,0,25,embedding
right_none_daily,right_none,right,none,KSWIN,2024-12-04,D,daily,0.37251220486089065,19,0,19,embedding
right_none_daily,right_none,right,none,PageHinkley,2024-12-30,D,daily,0.7207838275670071,14,0,14,embedding
right_none_daily,right_none,right,none,PageHinkley,2025-01-04,D,daily,0.6424382653861225,5,0,5,embedding
right_none_daily,right_none,right,none,PageHinkley,2025-01-15,D,daily,0.4794121517534343,21,0,21,embedding
right_none_daily,right_none,right,none,PageHinkley,2025-02-02,D,daily,0.5771153756718466,14,0,14,embedding
right_none_daily,right_none,right,none,PageHinkley,2025-02-12,D,daily,0.42450468504763383,17,0,17,embedding
