stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
right_none_daily,right_none,right,none,2024-02-06,D,daily,0.26930545014168605,16,0,16,embedding
right_none_daily,right_none,right,none,2024-02-08,D,daily,0.31149775257194146,18,0,18,embedding
right_none_daily,right_none,right,none,2024-02-10,D,daily,0.39606208884676364,13,0,13,embedding
right_none_daily,right_none,right,none,2024-02-11,D,daily,0.5094205908715342,19,0,19,embedding
right_none_daily,right_none,right,none,2024-02-12,D,daily,0.4338191382378537,19,0,19,embedding
right_none_daily,right_none,right,none,2024-02-15,D,daily,0.4744144974779927,20,0,20,embedding
right_none_daily,right_none,right,none,2024-02-16,D,daily,0.2850729966574247,20,0,20,embedding
right_none_daily,right_none,right,none,2024-02-17,D,daily,0.33773971382063683,15,0,15,embedding
right_none_daily,right_none,right,none,2024-02-18,D,daily,0.3879824972072917,21,0,21,embedding
right_none_daily,right_none,right,none,2024-02-19,D,daily,0.5448541504956871,9,0,9,embedding
right_none_daily,right_none,right,none,2024-02-20,D,daily,0.5635208145499466,19,0,19,embedding
right_none_daily,right_none,right,none,2024-02-22,D,daily,0.46364074670764976,17,0,17,embedding
right_none_daily,right_none,right,none,2024-02-23,D,daily,0.38920757521647553,16,0,16,embedding
right_none_daily,right_none,right,none,2024-02-25,D,daily,0.4561829867585344,23,0,23,embedding
right_none_daily,right_none,right,none,2024-02-26,D,daily,0.6379612369643249,13,0,13,embedding
right_none_daily,right_none,right,none,2024-02-27,D,daily,0.6409896942746804,6,0,6,embedding
right_none_daily,right_none,right,none,2024-02-28,D,daily,0.39228131808959366,22,0,22,embedding
right_none_daily,right_none,right,none,2024-02-29,D,daily,0.4597663006512378,19,0,19,embedding
right_none_daily,right_none,right,none,2024-03-01,D,daily,0.416097580435944,64,0,64,embedding
right_none_daily,right_none,right,none,2024-03-02,D,daily,0.42496658217105265,16,0,16,embedding
right_none_daily,right_none,right,none,2024-03-03,D,daily,0.3978042961580962,15,0,15,embedding
right_none_daily,right_none,right,none,2024-03-04,D,daily,0.3596816492024898,20,0,20,embedding
right_none_daily,right_none,right,none,2024-03-06,D,daily,0.3426487215847629,11,0,11,embedding
right_none_daily,right_none,right,none,2024-03-07,D,daily,0.43749222750662575,15,0,15,embedding
right_none_daily,right_none,right,none,2024-03-09,D,daily,0.42043563137644324,9,0,9,embedding
right_none_daily,right_none,right,none,2024-03-10,D,daily,0.47338886635508404,20,0,20,embedding
right_none_daily,right_none,right,none,2024-03-11,D,daily,0.505164426367106,16,0,16,embedding
right_none_daily,right_none,right,none,2024-03-12,D,daily,0.42527316583804864,13,0,13,embedding
right_none_daily,right_none,right,none,2024-03-13,D,daily,0.564611574711686,20,0,20,embedding
right_none_daily,right_none,right,none,2024-03-14,D,daily,0.3182403236301915,14,0,14,embedding
right_none_daily,right_none,right,none,2024-03-16,D,daily,0.42156375779628585,9,0,9,embedding
right_none_daily,right_none,right,none,2024-03-17,D,daily,0.5378247248259176,21,0,21,embedding
right_none_daily,right_none,right,none,2024-03-18,D,daily,0.5162534311715861,12,0,12,embedding
right_none_daily,right_none,right,none,2024-03-20,D,daily,0.4082699736612849,19,0,19,embedding
right_none_daily,right_none,right,none,2024-03-21,D,daily,0.3752220548664583,9,0,9,embedding
right_none_daily,right_none,right,none,2024-03-22,D,daily,0.3782554189211129,12,0,12,embedding
right_none_daily,right_none,right,none,2024-03-23,D,daily,0.4388499885158309,6,0,6,embedding
right_none_daily,right_none,right,none,2024-03-24,D,daily,0.3818125792832858,15,0,15,embedding
right_none_daily,right_none,right,none,2024-03-25,D,daily,0.41389160971323724,12,0,12,embedding
right_none_daily,right_none,right,none,2024-03-26,D,daily,0.2963879898425489,20,0,20,embedding
right_none_daily,right_none,right,none,2024-03-27,D,daily,0.27480518017420774,11,0,11,embedding
right_none_daily,right_none,right,none,2024-03-28,D,daily,0.332723886112964,18,0,18,embedding
right_none_daily,right_none,right,none,2024-03-29,D,daily,0.5577676986298459,30,0,30,embedding
right_none_daily,right_none,right,none,2024-03-30,D,daily,0.674628634450032,28,0,28,embedding
right_none_daily,right_none,right,none,2024-03-31,D,daily,0.3941578457814141,7,0,7,embedding
right_none_daily,right_none,right,none,2024-04-01,D,daily,0.18884166376634381,30,0,30,embedding
right_none_daily,right_none,right,none,2024-04-02,D,daily,0.30224918431414205,18,0,18,embedding
right_none_daily,right_none,right,none,2024-04-03,D,daily,0.2969995761794857,19,0,19,embedding
right_none_daily,right_none,right,none,2024-04-04,D,daily,0.34826837241650377,20,0,20,embedding
right_none_daily,right_none,right,none,2024-04-05,D,daily,0.5590423503495656,20,0,20,embedding
right_none_daily,right_none,right,none,2024-04-06,D,daily,0.3509360399517204,13,0,13,embedding
right_none_daily,right_none,right,none,2024-04-07,D,daily,0.31632957264985373,12,0,12,embedding
right_none_daily,right_none,right,none,2024-04-08,D,daily,0.4822319867181286,17,0,17,embedding
right_none_daily,right_none,right,none,2024-04-09,D,daily,0.4401840807027544,17,0,17,embedding
right_none_daily,right_none,right,none,2024-04-10,D,daily,0.42869645696328096,20,0,20,embedding
right_none_daily,right_none,right,none,2024-04-12,D,daily,0.37166309500368244,8,0,8,embedding
right_none_daily,right_none,right,none,2024-04-13,D,daily,0.3459049805382082,6,0,6,embedding
right_none_daily,right_none,right,none,2024-04-14,D,daily,0.33082212936096533,14,0,14,embedding
right_none_daily,right_none,right,none,2024-04-16,D,daily,0.38147692303528546,20,0,20,embedding
right_none_daily,right_none,right,none,2024-04-17,D,daily,0.5660966828063294,5,0,5,embedding
right_none_daily,right_none,right,none,2024-04-20,D,daily,0.5737638125227411,5,0,5,embedding
right_none_daily,right_none,right,none,2024-04-21,D,daily,0.35635816000872056,12,0,12,embedding
right_none_daily,right_none,right,none,2024-04-23,D,daily,0.6330777321413141,16,0,16,embedding
right_none_daily,right_none,right,none,2024-04-24,D,daily,0.4805125880750911,20,0,20,embedding
right_none_daily,right_none,right,none,2024-04-25,D,daily,0.5006615795931566,20,0,20,embedding
right_none_daily,right_none,right,none,2024-04-26,D,daily,0.35195725547865486,15,0,15,embedding
right_none_daily,right_none,right,none,2024-04-27,D,daily,0.5981299699786606,18,0,18,embedding
right_none_daily,right_none,right,none,2024-04-28,D,daily,0.4171695359473482,10,0,10,embedding
right_none_daily,right_none,right,none,2024-04-29,D,daily,0.5197900438238818,32,0,32,embedding
right_none_daily,right_none,right,none,2024-04-30,D,daily,0.6200666583999048,36,0,36,embedding
right_none_daily,right_none,right,none,2024-05-01,D,daily,0.30158873367664163,29,0,29,embedding
right_none_daily,right_none,right,none,2024-05-02,D,daily,0.3907626303548477,20,0,20,embedding
right_none_daily,right_none,right,none,2024-05-03,D,daily,0.567115638120545,11,0,11,embedding
right_none_daily,right_none,right,none,2024-05-04,D,daily,0.4190531069421386,8,0,8,embedding
right_none_daily,right_none,right,none,2024-05-05,D,daily,0.5121204597227081,18,0,18,embedding
right_none_daily,right_none,right,none,2024-05-06,D,daily,0.4669754952029346,10,0,10,embedding
right_none_daily,right_none,right,none,2024-05-07,D,daily,0.3293707964324336,13,0,13,embedding
right_none_daily,right_none,right,none,2024-05-08,D,daily,0.5025712254107512,9,0,9,embedding
right_none_daily,right_none,right,none,2024-05-09,D,daily,0.43055048168712196,20,0,20,embedding
right_none_daily,right_none,right,none,2024-05-10,D,daily,0.4674342921468999,9,0,9,embedding
right_none_daily,right_none,right,none,2024-05-12,D,daily,0.29840278568882384,20,0,20,embedding
right_none_daily,right_none,right,none,2024-05-13,D,daily,0.37075305357036314,10,0,10,embedding
right_none_daily,right_none,right,none,2024-05-14,D,daily,0.6318324596899308,13,0,13,embedding
right_none_daily,right_none,right,none,2024-05-15,D,daily,0.8223872806754985,16,0,16,embedding
right_none_daily,right_none,right,none,2024-05-16,D,daily,0.26093514176103294,16,0,16,embedding
right_none_daily,right_none,right,none,2024-05-17,D,daily,0.2812529321234398,15,0,15,embedding
right_none_daily,right_none,right,none,2024-05-18,D,daily,0.3279055771264274,5,0,5,embedding
right_none_daily,right_none,right,none,2024-05-19,D,daily,0.5495755268385258,18,0,18,embedding
right_none_daily,right_none,right,none,2024-05-20,D,daily,0.3828718995270888,20,0,20,embedding
right_none_daily,right_none,right,none,2024-05-22,D,daily,0.4280036891365824,18,0,18,embedding
right_none_daily,right_none,right,none,2024-05-23,D,daily,0.32870727647913567,6,0,6,embedding
right_none_daily,right_none,right,none,2024-05-25,D,daily,0.46997476675793926,6,0,6,embedding
right_none_daily,right_none,right,none,2024-05-26,D,daily,0.6473335693533533,17,0,17,embedding
right_none_daily,right_none,right,none,2024-05-27,D,daily,0.4927229214945803,7,0,7,embedding
right_none_daily,right_none,right,none,2024-05-28,D,daily,0.5393587785666065,18,0,18,embedding
right_none_daily,right_none,right,none,2024-05-29,D,daily,0.3449341322189585,12,0,12,embedding
right_none_daily,right_none,right,none,2024-05-30,D,daily,0.6426323693106499,15,0,15,embedding
right_none_daily,right_none,right,none,2024-05-31,D,daily,0.41728699829456906,12,0,12,embedding
right_none_daily,right_none,right,none,2024-06-01,D,daily,0.4557080850447155,51,0,51,embedding
right_none_daily,right_none,right,none,2024-06-02,D,daily,0.45712791567801236,21,0,21,embedding
right_none_daily,right_none,right,none,2024-06-03,D,daily,0.46625451165931997,12,0,12,embedding
right_none_daily,right_none,right,none,2024-06-04,D,daily,0.4507923595403507,8,0,8,embedding
right_none_daily,right_none,right,none,2024-06-05,D,daily,0.3164831891473314,20,0,20,embedding
right_none_daily,right_none,right,none,2024-06-07,D,daily,0.4181114828061202,11,0,11,embedding
right_none_daily,right_none,right,none,2024-06-09,D,daily,0.2790000268695437,16,0,16,embedding
right_none_daily,right_none,right,none,2024-06-10,D,daily,0.49740839362358646,6,0,6,embedding
right_none_daily,right_none,right,none,2024-06-11,D,daily,0.7142521223389375,20,0,20,embedding
right_none_daily,right_none,right,none,2024-06-12,D,daily,0.5874413569470491,16,0,16,embedding
