time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-05,19,0,19,1,2024-02-05 00:15:00,2024-02-05 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-06,16,0,16,1,2024-02-06 02:45:00,2024-02-06 22:30:00,right_none,right_none_daily,D,daily,right,none
2024-02-08,18,0,18,1,2024-02-08 01:00:00,2024-02-08 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-10,13,0,13,1,2024-02-10 01:00:00,2024-02-10 21:15:00,right_none,right_none_daily,D,daily,right,none
2024-02-11,19,0,19,1,2024-02-11 03:00:00,2024-02-11 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-12,19,0,19,1,2024-02-12 00:00:00,2024-02-12 23:15:00,right_none,right_none_daily,D,daily,right,none
2024-02-15,20,0,20,1,2024-02-15 00:30:00,2024-02-15 23:15:00,right_none,right_none_daily,D,daily,right,none
2024-02-16,20,0,20,1,2024-02-16 15:45:00,2024-02-16 23:15:00,right_none,right_none_daily,D,daily,right,none
2024-02-17,15,0,15,1,2024-02-17 00:45:00,2024-02-17 20:00:00,right_none,right_none_daily,D,daily,right,none
2024-02-18,21,0,21,1,2024-02-18 02:00:00,2024-02-18 22:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-19,9,0,9,1,2024-02-19 02:45:00,2024-02-19 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-20,19,0,19,1,2024-02-20 07:00:00,2024-02-20 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-22,17,0,17,1,2024-02-22 00:15:00,2024-02-22 21:15:00,right_none,right_none_daily,D,daily,right,none
2024-02-23,16,0,16,1,2024-02-23 02:30:00,2024-02-23 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-25,23,0,23,1,2024-02-25 03:45:00,2024-02-25 23:30:00,right_none,right_none_daily,D,daily,right,none
2024-02-26,13,0,13,1,2024-02-26 03:45:00,2024-02-26 23:15:00,right_none,right_none_daily,D,daily,right,none
2024-02-27,6,0,6,1,2024-02-27 01:15:00,2024-02-27 15:45:00,right_none,right_none_daily,D,daily,right,none
2024-02-28,22,0,22,1,2024-02-28 00:00:00,2024-02-28 23:00:00,right_none,right_none_daily,D,daily,right,none
2024-02-29,19,0,19,1,2024-02-29 17:45:00,2024-02-29 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-03-01,64,0,64,1,2024-03-01 01:45:00,2024-03-01 23:45:00,right_none,right_none_daily,D,daily,right,none
2024-03-02,16,0,16,1,2024-03-02 01:00:00,2024-03-02 22:00:00,right_none,right_none_daily,D,daily,right,none
2024-03-03,15,0,15,1,2024-03-03 00:15:00,2024-03-03 22:00:00,right_none,right_none_daily,D,daily,right,none
2024-03-04,20,0,20,1,2024-03-04 04:15:00,2024-03-04 23:45:00,right_none,right_none_daily,D,daily,right,none
