stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
left_none_weekly,left_none,left,none,PageHinkley,2024-02-26,W,weekly,0.700264376174716,20,20,0,embedding
left_none_weekly,left_none,left,none,PageHinkley,2024-04-08,W,weekly,0.7002712986071494,19,19,0,embedding
left_none_weekly,left_none,left,none,PageHinkley,2024-04-29,W,weekly,0.7619635619635847,20,20,0,embedding
left_none_weekly,left_none,left,none,PageHinkley,2024-06-24,W,weekly,0.9065230889610842,15,15,0,embedding
left_none_weekly,left_none,left,none,PageHinkley,2024-11-04,W,weekly,0.8482883015702831,16,16,0,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-02-26,W,weekly,0.700264376174716,48,20,28,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-04-01,W,weekly,0.7588148022066551,44,21,23,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-06-17,W,weekly,0.8751451938681195,24,12,12,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-08-05,W,weekly,0.7624398489088917,27,14,13,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-10-14,W,weekly,0.7097622495602882,25,12,13,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-12-02,W,weekly,0.8154836900754067,28,14,14,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2025-01-20,W,weekly,0.6121706683777229,45,24,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-02-26,W,weekly,0.8892282123902422,38,17,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-04-01,W,weekly,0.7539741210638893,37,16,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-06-03,W,weekly,0.7264984506353089,29,11,18,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-01,W,weekly,0.8796143582078751,31,10,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-08-05,W,weekly,0.7681027831767022,32,11,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-09-09,W,weekly,0.7130836038004198,37,16,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-10-14,W,weekly,0.6287584210273562,33,12,21,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-11-04,W,weekly,0.7203519104213434,32,14,18,embedding
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2025-01-20,W,weekly,0.6276301235534183,35,14,21,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-03-04,W,weekly,0.6878819285873802,95,17,78,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-04-01,W,weekly,0.7557168292997021,153,21,132,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-06-17,W,weekly,0.8291299002962438,96,12,84,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-08-05,W,weekly,0.789790090310043,82,14,68,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-12-02,W,weekly,0.7709503577164034,104,14,90,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2025-01-20,W,weekly,0.6323068838856329,141,24,117,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-02-26,W,weekly,0.6526980610270998,278,139,139,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-03-25,W,weekly,0.6676006272296487,196,98,98,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-04-22,W,weekly,0.8602732606390217,146,73,73,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-05-27,W,weekly,0.6340633310388715,114,57,57,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-07-15,W,weekly,0.6041852647496528,172,86,86,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-08-12,W,weekly,0.8329544555597705,148,74,74,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-09-02,W,weekly,0.6147286379783374,140,70,70,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-11-25,W,weekly,0.626618682130769,200,100,100,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-01-13,W,weekly,0.6371911423685368,172,86,86,embedding
right_none_weekly,right_none,right,none,PageHinkley,2024-03-04,W,weekly,0.706494779179593,78,0,78,embedding
right_none_weekly,right_none,right,none,PageHinkley,2024-04-15,W,weekly,0.4470462712485165,42,0,42,embedding
right_none_weekly,right_none,right,none,PageHinkley,2024-07-15,W,weekly,0.5925446684946768,106,0,106,embedding
right_none_weekly,right_none,right,none,PageHinkley,2024-08-19,W,weekly,0.5130125596008897,118,0,118,embedding
right_none_weekly,right_none,right,none,PageHinkley,2024-12-02,W,weekly,0.5840699271173564,90,0,90,embedding
right_none_weekly,right_none,right,none,PageHinkley,2025-01-06,W,weekly,0.5888129572472772,83,0,83,embedding
right_none_weekly,right_none,right,none,PageHinkley,2025-01-27,W,weekly,0.4725711394903166,139,0,139,embedding
