feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,matched_event,delay_days,is_true_positive
embedding,left_none_weekly,left_none,left,none,PageHinkley,2024-02-26,W,weekly,0.700264376174716,Start of campaign,-8.0,True
embedding,left_none_weekly,left_none,left,none,PageHinkley,2024-04-08,W,weekly,0.7002712986071494,,,False
embedding,left_none_weekly,left_none,left,none,PageHinkley,2024-04-29,W,weekly,0.7619635619635847,,,False
embedding,left_none_weekly,left_none,left,none,PageHinkley,2024-06-24,W,weekly,0.9065230889610842,First presidential debate,-3.0,True
embedding,left_none_weekly,left_none,left,none,PageHinkley,2024-11-04,W,weekly,0.8482883015702831,US presidential election,-1.0,True
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-02-26,W,weekly,0.700264376174716,Start of campaign,-8.0,True
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-04-01,W,weekly,0.7588148022066551,,,False
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-06-17,W,weekly,0.8751451938681195,First presidential debate,-10.0,True
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-08-05,W,weekly,0.7624398489088917,Harris becomes Democratic nominee,0.0,True
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-10-14,W,weekly,0.7097622495602882,Vice presidential debate,13.0,True
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-12-02,W,weekly,0.8154836900754067,,,False
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2025-01-20,W,weekly,0.6121706683777229,Trump inauguration,0.0,True
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-02-26,W,weekly,0.8892282123902422,Start of campaign,-8.0,True
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-04-01,W,weekly,0.7539741210638893,,,False
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-06-03,W,weekly,0.7264984506353089,Trump conviction,4.0,True
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-01,W,weekly,0.8796143582078751,First presidential debate,4.0,True
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-08-05,W,weekly,0.7681027831767022,Harris becomes Democratic nominee,0.0,True
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-09-09,W,weekly,0.7130836038004198,Second presidential debate,-1.0,True
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-10-14,W,weekly,0.6287584210273562,Vice presidential debate,13.0,True
