feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window_code,time_window_name,detections,true_positives,false_positives,precision_like,avg_delay_days,events_detected,events_missed,event_recall
embedding,left_none_weekly,left_none,left,none,ADWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,left_none_weekly,left_none,left,none,PageHinkley,W,weekly,5,3,2,0.6,-4.0,3,7,0.3
embedding,left_none_weekly,left_none,left,none,KSWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,ADWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,W,weekly,7,5,2,0.7142857142857143,-1.0,5,5,0.5
embedding,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,KSWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,ADWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,W,weekly,9,8,1,0.8888888888888888,1.375,8,2,0.8
embedding,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_raw_weekly,mixed_raw,mixed,raw,ADWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,W,weekly,6,4,2,0.6666666666666666,-2.75,4,6,0.4
embedding,mixed_raw_weekly,mixed_raw,mixed,raw,KSWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,ADWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,W,weekly,9,6,3,0.6666666666666666,-2.8333333333333335,6,4,0.6
embedding,mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,KSWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,right_none_weekly,right_none,right,none,ADWIN,W,weekly,0,0,0,,,0,10,0.0
embedding,right_none_weekly,right_none,right,none,PageHinkley,W,weekly,7,5,2,0.7142857142857143,1.6,4,6,0.4
embedding,right_none_weekly,right_none,right,none,KSWIN,W,weekly,0,0,0,,,0,10,0.0
