stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-02-12,W,weekly,0.3646929232574392,41,22,19,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-02-19,W,weekly,0.6538233912883713,31,16,15,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-02-26,W,weekly,0.700264376174716,48,20,28,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-04,W,weekly,0.7244431084027834,36,17,19,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-11,W,weekly,0.3549814004094254,37,22,15,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-18,W,weekly,0.574099322076128,19,9,10,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-25,W,weekly,0.6406046488173966,35,11,24,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-01,W,weekly,0.7588148022066551,44,21,23,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-08,W,weekly,0.7002712986071494,28,19,9,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-15,W,weekly,0.5616859884953309,28,17,11,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-22,W,weekly,0.6288634799379034,36,16,20,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-29,W,weekly,0.7619635619635847,53,20,33,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-06,W,weekly,0.6395107535877625,28,16,12,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-13,W,weekly,0.5239232676477867,22,11,11,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-20,W,weekly,0.5034749537198497,23,8,15,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-27,W,weekly,0.45809658319018276,40,10,30,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-03,W,weekly,0.5463039169991798,27,15,12,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-10,W,weekly,0.6430476454638402,36,19,17,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-17,W,weekly,0.8751451938681195,24,12,12,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-24,W,weekly,0.7480447938040631,31,15,16,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-01,W,weekly,0.8051831982575726,36,14,22,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-08,W,weekly,0.5677279903584722,31,17,14,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-15,W,weekly,0.4446960909367592,38,24,14,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-22,W,weekly,0.5384344679309452,26,14,12,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-29,W,weekly,0.5974823851056414,46,16,30,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-05,W,weekly,0.7624398489088917,27,14,13,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-12,W,weekly,0.8147472669650314,36,18,18,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-19,W,weekly,0.7037308949684512,42,23,19,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-26,W,weekly,0.4804065757642322,37,15,22,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-02,W,weekly,0.5010576537746614,36,22,14,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-09,W,weekly,0.6462086491968799,34,21,13,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-16,W,weekly,0.6922613081420808,30,14,16,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-23,W,weekly,0.35564432664146994,43,25,18,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-30,W,weekly,0.4132765080196791,32,12,20,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-07,W,weekly,0.38920190510441444,36,19,17,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-14,W,weekly,0.7097622495602882,25,12,13,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-21,W,weekly,0.862944485870413,51,29,22,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-28,W,weekly,0.5391223267477483,34,18,16,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-11-04,W,weekly,0.7597967336019165,27,16,11,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-11-11,W,weekly,0.74155608919902,27,21,6,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-11-18,W,weekly,0.5651702535420251,35,15,20,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-11-25,W,weekly,0.34558511000513503,39,18,21,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-12-02,W,weekly,0.8154836900754067,28,14,14,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-12-09,W,weekly,0.9302814762490204,25,15,10,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-12-16,W,weekly,0.32294939709691883,32,21,11,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-12-23,W,weekly,0.4706058950746751,20,6,14,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-12-30,W,weekly,0.49390858400112636,33,9,24,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-01-06,W,weekly,0.4567644529452638,29,18,11,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-01-13,W,weekly,0.6331789094380853,26,15,11,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-01-20,W,weekly,0.6121706683777229,45,24,21,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-01-27,W,weekly,0.47426930868563677,39,15,24,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-02-03,W,weekly,0.5698475463546895,51,27,24,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-02-10,W,weekly,0.5703469119731817,29,19,10,embedding
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2025-02-17,W,weekly,0.5477082090705029,16,7,9,embedding
