time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-05,30,12,18,"0,1",2024-02-05 00:15:00,2024-02-11 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-02-12,31,16,15,"0,1",2024-02-12 19:00:00,2024-02-18 22:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-02-19,31,16,15,"0,1",2024-02-19 02:45:00,2024-02-25 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-02-26,38,17,21,"0,1",2024-02-26 13:45:00,2024-03-03 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-03-04,33,15,18,"0,1",2024-03-04 03:45:00,2024-03-10 21:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-03-11,34,16,18,"0,1",2024-03-11 14:45:00,2024-03-17 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-03-18,30,9,21,"0,1",2024-03-18 20:00:00,2024-03-24 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-03-25,31,10,21,"0,1",2024-03-25 12:00:00,2024-03-31 18:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-04-01,37,16,21,"0,1",2024-04-01 04:15:00,2024-04-07 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-04-08,30,12,18,"0,1",2024-04-08 11:00:00,2024-04-14 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-04-15,26,14,12,"0,1",2024-04-15 10:45:00,2024-04-21 21:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-04-22,30,12,18,"0,1",2024-04-22 10:15:00,2024-04-28 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-04-29,35,14,21,"0,1",2024-04-29 15:45:00,2024-05-05 21:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-05-06,30,12,18,"0,1",2024-05-06 00:15:00,2024-05-12 19:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-05-13,30,9,21,"0,1",2024-05-13 14:00:00,2024-05-19 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-05-20,25,7,18,"0,1",2024-05-20 15:45:00,2024-05-26 16:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-05-27,31,10,21,"0,1",2024-05-27 13:00:00,2024-06-02 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-06-03,29,11,18,"0,1",2024-06-03 11:30:00,2024-06-09 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-06-10,35,14,21,"0,1",2024-06-10 02:45:00,2024-06-16 22:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-06-17,29,11,18,"0,1",2024-06-17 11:00:00,2024-06-23 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-06-24,32,11,21,"0,1",2024-06-24 01:00:00,2024-06-30 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-07-01,31,10,21,"0,1",2024-07-01 15:30:00,2024-07-07 21:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-07-08,32,14,18,"0,1",2024-07-08 09:30:00,2024-07-14 23:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-07-15,32,14,18,"0,1",2024-07-15 20:00:00,2024-07-21 23:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-07-22,32,11,21,"0,1",2024-07-22 00:45:00,2024-07-28 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-07-29,30,9,21,"0,1",2024-07-29 16:15:00,2024-08-04 21:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-08-05,32,11,21,"0,1",2024-08-05 13:15:00,2024-08-11 17:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-08-12,36,15,21,"0,1",2024-08-12 20:45:00,2024-08-18 16:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-08-19,33,12,21,"0,1",2024-08-19 21:30:00,2024-08-25 19:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-08-26,29,8,21,"0,1",2024-08-26 16:00:00,2024-09-01 19:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-09-02,36,15,21,"0,1",2024-09-02 00:30:00,2024-09-08 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-09-09,37,16,21,"0,1",2024-09-09 05:30:00,2024-09-15 23:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-09-16,33,12,21,"0,1",2024-09-16 10:45:00,2024-09-22 17:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-09-23,32,11,21,"0,1",2024-09-23 12:45:00,2024-09-29 22:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-09-30,33,12,21,"0,1",2024-09-30 00:15:00,2024-10-06 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-10-07,35,14,21,"0,1",2024-10-07 00:45:00,2024-10-13 18:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-10-14,33,12,21,"0,1",2024-10-14 13:30:00,2024-10-20 17:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-10-21,36,18,18,"0,1",2024-10-21 00:00:00,2024-10-27 20:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-10-28,31,12,19,"0,1",2024-10-28 01:30:00,2024-11-03 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-11-04,32,14,18,"0,1",2024-11-04 00:15:00,2024-11-10 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-11-11,27,12,15,"0,1",2024-11-11 15:45:00,2024-11-17 23:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-11-18,35,14,21,"0,1",2024-11-18 06:45:00,2024-11-24 19:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-11-25,34,13,21,"0,1",2024-11-25 00:00:00,2024-12-01 15:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-12-02,29,11,18,"0,1",2024-12-02 15:15:00,2024-12-08 20:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-12-09,34,13,21,"0,1",2024-12-09 00:00:00,2024-12-15 22:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-12-16,34,13,21,"0,1",2024-12-16 01:30:00,2024-12-22 23:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-12-23,26,5,21,"0,1",2024-12-23 10:15:00,2024-12-29 16:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2024-12-30,30,9,21,"0,1",2024-12-30 00:45:00,2025-01-05 19:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2025-01-06,34,13,21,"0,1",2025-01-06 18:30:00,2025-01-12 16:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2025-01-13,32,11,21,"0,1",2025-01-13 12:45:00,2025-01-19 15:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2025-01-20,35,14,21,"0,1",2025-01-20 14:30:00,2025-01-26 22:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2025-01-27,34,13,21,"0,1",2025-01-27 03:30:00,2025-02-02 21:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2025-02-03,37,16,21,"0,1",2025-02-03 01:00:00,2025-02-09 23:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
2025-02-10,31,14,17,"0,1",2025-02-10 12:00:00,2025-02-16 20:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_weekly,W,weekly,mixed,max3_per_class_day
