stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_raw_weekly,mixed_raw,mixed,raw,2024-02-12,W,weekly,0.5465227695040825,117,22,95,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-02-19,W,weekly,0.45756444289667164,100,16,84,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-02-26,W,weekly,0.5082253923034632,175,20,155,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-04,W,weekly,0.6878819285873802,95,17,78,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-11,W,weekly,0.5530263764262466,115,22,93,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-18,W,weekly,0.5465251118220232,86,9,77,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-25,W,weekly,0.5435522128228472,137,11,126,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-01,W,weekly,0.7557168292997021,153,21,132,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-08,W,weekly,0.6785691770393911,101,19,82,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-15,W,weekly,0.5865689392435096,59,17,42,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-22,W,weekly,0.6288634799379034,115,16,99,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-29,W,weekly,0.7421682824915223,174,20,154,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-06,W,weekly,0.43435132515627917,97,16,81,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-13,W,weekly,0.40178317445785794,104,11,93,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-20,W,weekly,0.42641029020061905,78,8,70,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-27,W,weekly,0.49245346493782804,146,10,136,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-03,W,weekly,0.2733726280284564,86,15,71,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-10,W,weekly,0.3897620922312903,111,19,92,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-17,W,weekly,0.8291299002962438,96,12,84,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-24,W,weekly,0.7386930673374064,135,15,120,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-01,W,weekly,0.6821212107371976,127,14,113,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-08,W,weekly,0.37481131704378867,119,17,102,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-15,W,weekly,0.39552792035338913,130,24,106,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-22,W,weekly,0.2222954939676468,116,14,102,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-29,W,weekly,0.31366818454564194,183,16,167,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-05,W,weekly,0.789790090310043,82,14,68,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-12,W,weekly,0.8599839549852015,127,18,109,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-19,W,weekly,0.5752320892073796,141,23,118,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-26,W,weekly,0.7378541602625575,168,15,153,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-02,W,weekly,0.6147286379783374,119,22,97,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-09,W,weekly,0.6222237095839543,126,21,105,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-16,W,weekly,0.6602973389613265,119,14,105,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-23,W,weekly,0.33866228178659186,136,25,111,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-30,W,weekly,0.4957381583713808,164,12,152,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-07,W,weekly,0.30738298236447026,132,19,113,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-14,W,weekly,0.5420243856891653,108,12,96,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-21,W,weekly,0.6590973140866565,119,29,90,embedding
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-28,W,weekly,0.37492967845180236,160,18,142,embedding
