stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-02-12,W,weekly,0.3462161681053143,148,74,74,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-02-19,W,weekly,0.5788721924968523,150,75,75,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-02-26,W,weekly,0.6526980610270998,278,139,139,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-04,W,weekly,0.7296745093567227,138,69,69,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-11,W,weekly,0.35409051273802716,186,93,93,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-18,W,weekly,0.6908762258487241,118,59,59,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-25,W,weekly,0.6676006272296487,196,98,98,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-01,W,weekly,0.710799439382412,226,113,113,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-08,W,weekly,0.6783948750656916,124,62,62,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-15,W,weekly,0.5691238846993534,50,25,25,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-22,W,weekly,0.8602732606390217,146,73,73,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-29,W,weekly,0.3982473554876258,292,146,146,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-06,W,weekly,0.5446762915723249,142,71,71,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-13,W,weekly,0.4805524685815772,146,73,73,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-20,W,weekly,0.4069964874713139,116,58,58,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-27,W,weekly,0.6340633310388715,114,57,57,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-03,W,weekly,0.6168009516405892,94,47,47,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-10,W,weekly,0.3968157451490013,184,92,92,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-17,W,weekly,0.4801799093446011,130,65,65,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-24,W,weekly,0.5001385913420466,200,100,100,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-01,W,weekly,0.6045254660685222,202,101,101,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-08,W,weekly,0.458972926936568,204,102,102,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-15,W,weekly,0.6041852647496528,172,86,86,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-22,W,weekly,0.6873586958378846,120,60,60,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-07-29,W,weekly,0.6941412622395293,278,139,139,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-05,W,weekly,0.8105566211297628,104,52,52,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-12,W,weekly,0.8329544555597705,148,74,74,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-19,W,weekly,0.31657587131494624,158,79,79,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-08-26,W,weekly,0.37438650345599234,126,63,63,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-02,W,weekly,0.6147286379783374,140,70,70,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-09,W,weekly,0.6231575256812069,170,85,85,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-16,W,weekly,0.64638716334911,156,78,78,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-23,W,weekly,0.3333600070853159,146,73,73,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-09-30,W,weekly,0.48258210553146674,274,137,137,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-07,W,weekly,0.30738298236447026,186,93,93,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-14,W,weekly,0.43517933549022036,192,96,96,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-21,W,weekly,0.5466970676036493,192,96,96,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-10-28,W,weekly,0.3893412582336693,246,123,123,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-04,W,weekly,0.4153953459963746,184,92,92,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-11,W,weekly,0.3911445274855069,90,45,45,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-18,W,weekly,0.5413309006138654,174,87,87,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-11-25,W,weekly,0.626618682130769,200,100,100,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-02,W,weekly,0.5728671464643933,138,69,69,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-09,W,weekly,0.502758944377661,100,50,50,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-16,W,weekly,0.49205523852284194,180,90,90,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-23,W,weekly,0.4243021489496547,58,29,29,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-12-30,W,weekly,0.4068679122829668,136,68,68,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-06,W,weekly,0.48447360425825936,166,83,83,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-13,W,weekly,0.6371911423685368,172,86,86,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-20,W,weekly,0.6010553515730477,234,117,117,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-01-27,W,weekly,0.5725337041540276,190,95,95,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-02-03,W,weekly,0.40900070069580363,222,111,111,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-02-10,W,weekly,0.44764601173983676,112,56,56,embedding
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2025-02-17,W,weekly,0.5885412531179395,64,32,32,embedding
