stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
right_none_weekly,right_none,right,none,2024-02-12,W,weekly,0.5465227695040825,95,0,95,embedding
right_none_weekly,right_none,right,none,2024-02-19,W,weekly,0.5208918114411898,84,0,84,embedding
right_none_weekly,right_none,right,none,2024-02-26,W,weekly,0.6826497053585928,155,0,155,embedding
right_none_weekly,right_none,right,none,2024-03-04,W,weekly,0.706494779179593,78,0,78,embedding
right_none_weekly,right_none,right,none,2024-03-11,W,weekly,0.3324414352912678,93,0,93,embedding
right_none_weekly,right_none,right,none,2024-03-18,W,weekly,0.3591233595254083,77,0,77,embedding
right_none_weekly,right_none,right,none,2024-03-25,W,weekly,0.3976571500055477,126,0,126,embedding
right_none_weekly,right_none,right,none,2024-04-01,W,weekly,0.2800303195320333,132,0,132,embedding
right_none_weekly,right_none,right,none,2024-04-08,W,weekly,0.43458758082394555,82,0,82,embedding
right_none_weekly,right_none,right,none,2024-04-15,W,weekly,0.4470462712485165,42,0,42,embedding
right_none_weekly,right_none,right,none,2024-04-22,W,weekly,0.6258896428273579,99,0,99,embedding
right_none_weekly,right_none,right,none,2024-04-29,W,weekly,0.5774620624377349,154,0,154,embedding
right_none_weekly,right_none,right,none,2024-05-06,W,weekly,0.43435132515627917,81,0,81,embedding
right_none_weekly,right_none,right,none,2024-05-13,W,weekly,0.4479566712516079,93,0,93,embedding
right_none_weekly,right_none,right,none,2024-05-20,W,weekly,0.5080411826119131,70,0,70,embedding
right_none_weekly,right_none,right,none,2024-05-27,W,weekly,0.5187067425232634,136,0,136,embedding
right_none_weekly,right_none,right,none,2024-06-03,W,weekly,0.2733726280284564,71,0,71,embedding
right_none_weekly,right_none,right,none,2024-06-10,W,weekly,0.5008861035925061,92,0,92,embedding
right_none_weekly,right_none,right,none,2024-06-17,W,weekly,0.4751616712449982,84,0,84,embedding
right_none_weekly,right_none,right,none,2024-06-24,W,weekly,0.31190629125908,120,0,120,embedding
right_none_weekly,right_none,right,none,2024-07-01,W,weekly,0.2463554391470656,113,0,113,embedding
right_none_weekly,right_none,right,none,2024-07-08,W,weekly,0.49919213247252314,102,0,102,embedding
right_none_weekly,right_none,right,none,2024-07-15,W,weekly,0.5925446684946768,106,0,106,embedding
right_none_weekly,right_none,right,none,2024-07-22,W,weekly,0.4425964331949561,102,0,102,embedding
right_none_weekly,right_none,right,none,2024-07-29,W,weekly,0.3214347756902529,167,0,167,embedding
right_none_weekly,right_none,right,none,2024-08-05,W,weekly,0.4106760577205777,68,0,68,embedding
right_none_weekly,right_none,right,none,2024-08-12,W,weekly,0.22501718980712426,109,0,109,embedding
right_none_weekly,right_none,right,none,2024-08-19,W,weekly,0.5130125596008897,118,0,118,embedding
right_none_weekly,right_none,right,none,2024-08-26,W,weekly,0.6655376269691415,153,0,153,embedding
right_none_weekly,right_none,right,none,2024-09-02,W,weekly,0.5701814040362054,97,0,97,embedding
right_none_weekly,right_none,right,none,2024-09-09,W,weekly,0.3319054687060855,105,0,105,embedding
right_none_weekly,right_none,right,none,2024-09-16,W,weekly,0.38494891343565873,105,0,105,embedding
right_none_weekly,right_none,right,none,2024-09-23,W,weekly,0.3971385454271804,111,0,111,embedding
right_none_weekly,right_none,right,none,2024-09-30,W,weekly,0.2731498915610979,152,0,152,embedding
right_none_weekly,right_none,right,none,2024-10-07,W,weekly,0.23923810163655435,113,0,113,embedding
right_none_weekly,right_none,right,none,2024-10-14,W,weekly,0.2588302212382739,96,0,96,embedding
right_none_weekly,right_none,right,none,2024-10-21,W,weekly,0.3333032004929113,90,0,90,embedding
right_none_weekly,right_none,right,none,2024-10-28,W,weekly,0.35537450853538444,142,0,142,embedding
right_none_weekly,right_none,right,none,2024-11-04,W,weekly,0.3247927587732943,115,0,115,embedding
right_none_weekly,right_none,right,none,2024-11-11,W,weekly,0.322852616633593,56,0,56,embedding
right_none_weekly,right_none,right,none,2024-11-18,W,weekly,0.31119124183002256,99,0,99,embedding
right_none_weekly,right_none,right,none,2024-11-25,W,weekly,0.42411704550026885,118,0,118,embedding
right_none_weekly,right_none,right,none,2024-12-02,W,weekly,0.5840699271173564,90,0,90,embedding
right_none_weekly,right_none,right,none,2024-12-09,W,weekly,0.4979101553526857,75,0,75,embedding
right_none_weekly,right_none,right,none,2024-12-16,W,weekly,0.436508358267503,96,0,96,embedding
right_none_weekly,right_none,right,none,2024-12-23,W,weekly,0.26237833588108983,68,0,68,embedding
right_none_weekly,right_none,right,none,2024-12-30,W,weekly,0.31599055217115857,126,0,126,embedding
right_none_weekly,right_none,right,none,2025-01-06,W,weekly,0.5888129572472772,83,0,83,embedding
right_none_weekly,right_none,right,none,2025-01-13,W,weekly,0.26086157706427493,88,0,88,embedding
right_none_weekly,right_none,right,none,2025-01-20,W,weekly,0.38885637007136253,117,0,117,embedding
right_none_weekly,right_none,right,none,2025-01-27,W,weekly,0.4725711394903166,139,0,139,embedding
right_none_weekly,right_none,right,none,2025-02-03,W,weekly,0.42946955206972026,120,0,120,embedding
right_none_weekly,right_none,right,none,2025-02-10,W,weekly,0.39875444508837876,76,0,76,embedding
right_none_weekly,right_none,right,none,2025-02-17,W,weekly,0.3729198405315919,52,0,52,embedding
