feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,matched_event,delay_days,is_true_positive
tfidf,left_none_daily,left_none,left,none,PageHinkley,2024-07-16,D,daily,0.912206577920844,Trump assassination attempt,3.0,True
tfidf,left_none_daily,left_none,left,none,PageHinkley,2024-08-07,D,daily,0.8566590068267051,Harris becomes Democratic nominee,2.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-05-28,D,daily,0.9478937021898655,Trump conviction,-2.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,KSWIN,2024-06-04,D,daily,0.8721552873331927,Trump conviction,5.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-07-30,D,daily,0.9582412648484434,Harris becomes Democratic nominee,-6.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-10-03,D,daily,0.8511187327380688,Vice presidential debate,2.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-03,D,daily,0.9314699369585012,First presidential debate,6.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-25,D,daily,0.9765738880680777,Biden withdraws from race,4.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-10-03,D,daily,0.8646348750026148,Vice presidential debate,2.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,2025-01-13,D,daily,0.8398799633740822,Trump inauguration,-7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-09,D,daily,0.8715689766379817,Start of campaign,4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-25,D,daily,0.8793097462136833,Trump conviction,-5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-05-28,D,daily,0.8532925169190096,Trump conviction,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-23,D,daily,0.8571292926712232,First presidential debate,-4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-06-29,D,daily,0.6001223372635613,First presidential debate,2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-16,D,daily,0.8625105253040178,Trump assassination attempt,3.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-07-23,D,daily,0.5141281942138727,Biden withdraws from race,2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-25,D,daily,0.8774101949961586,Biden withdraws from race,4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-06,D,daily,0.810999819214944,Harris becomes Democratic nominee,1.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-12,D,daily,0.7391293691719016,Harris becomes Democratic nominee,7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-03,D,daily,0.7571992703878175,Second presidential debate,-7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-08,D,daily,0.7015477035493975,Second presidential debate,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-29,D,daily,0.6100954277360049,Vice presidential debate,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-04,D,daily,0.6212343752472305,Vice presidential debate,3.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-10-06,D,daily,0.8169699945605113,Vice presidential debate,5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-04,D,daily,0.6298851732948111,US presidential election,-1.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-10,D,daily,0.6875342369858115,US presidential election,5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-01-27,D,daily,0.7971405950034571,Trump inauguration,7.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-03-10,D,daily,0.7613115216926056,Start of campaign,5.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-05-28,D,daily,0.8319068202426294,Trump conviction,-2.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-06-24,D,daily,0.7992384776412962,First presidential debate,-3.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,KSWIN,2024-07-21,D,daily,0.4964740034563693,Biden withdraws from race,0.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-07-25,D,daily,0.8942375677463779,Biden withdraws from race,4.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-08-06,D,daily,0.8109889177733899,Harris becomes Democratic nominee,1.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-10-03,D,daily,0.7007509472092138,Vice presidential debate,2.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-11-04,D,daily,0.630020680994221,US presidential election,-1.0,True
tfidf,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-01-27,D,daily,0.7970796780520901,Trump inauguration,7.0,True
tfidf,right_none_daily,right_none,right,none,PageHinkley,2024-05-26,D,daily,0.8498643066158809,Trump conviction,-4.0,True
tfidf,right_none_daily,right_none,right,none,PageHinkley,2024-06-24,D,daily,0.761129237774008,First presidential debate,-3.0,True
tfidf,right_none_daily,right_none,right,none,PageHinkley,2024-07-06,D,daily,0.8702302328374967,Trump assassination attempt,-7.0,True
tfidf,right_none_daily,right_none,right,none,PageHinkley,2024-07-14,D,daily,0.8197035432147075,Trump assassination attempt,1.0,True
tfidf,right_none_daily,right_none,right,none,KSWIN,2024-07-21,D,daily,0.5219586253336661,Biden withdraws from race,0.0,True
