stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
left_none_daily,left_none,left,none,2024-02-08,D,daily,0.8209097730157026,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-02-13,D,daily,0.7836294365715035,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-02-16,D,daily,0.9072992510832959,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-02-28,D,daily,0.9098592875321381,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-03-11,D,daily,0.7281695435729423,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-03-13,D,daily,0.8375377080983416,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-04-01,D,daily,0.8478066428107633,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-04-04,D,daily,0.81862593672995,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-04-10,D,daily,0.8424757641298719,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-04-11,D,daily,0.8551898981301123,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-04-15,D,daily,0.9003309100018102,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-04-24,D,daily,0.8718492355669973,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-04-30,D,daily,0.8862650095274921,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-05-03,D,daily,0.7452093820169812,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-05-10,D,daily,0.8909135006351823,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-05-16,D,daily,0.9082102554044037,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-06-04,D,daily,0.8438020376925905,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-06-13,D,daily,0.7871175519452915,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-06-28,D,daily,0.8002932077470387,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-07-02,D,daily,0.8972947789193212,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-07-08,D,daily,0.8903423325423698,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-07-16,D,daily,0.912206577920844,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-07-17,D,daily,0.8100178927905237,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-07-18,D,daily,0.6180612903619278,8,8,0,tfidf
left_none_daily,left_none,left,none,2024-07-23,D,daily,0.6814602893882769,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-08-01,D,daily,0.7679809937268215,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-08-02,D,daily,0.7713871256579592,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-08-07,D,daily,0.8566590068267051,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-08-14,D,daily,0.8823754078155635,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-08-21,D,daily,0.7494882872904137,9,9,0,tfidf
left_none_daily,left_none,left,none,2024-08-22,D,daily,0.7329777629826869,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-08-27,D,daily,0.7932160548477626,9,9,0,tfidf
left_none_daily,left_none,left,none,2024-09-04,D,daily,0.8209858498358646,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-09-06,D,daily,0.7132501748564553,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-09-10,D,daily,0.8074619535290591,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-09-13,D,daily,0.7978785650045168,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-09-20,D,daily,0.8027855002286222,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-09-23,D,daily,0.5493765992069853,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-09-25,D,daily,0.7498324752752594,11,11,0,tfidf
left_none_daily,left_none,left,none,2024-09-27,D,daily,0.7420172483356424,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-10-07,D,daily,0.7605563033636077,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-10-10,D,daily,0.8626067899532301,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-10-21,D,daily,0.7991788915331098,10,10,0,tfidf
left_none_daily,left_none,left,none,2024-10-24,D,daily,0.7031771566725222,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-10-25,D,daily,0.6786312962098018,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-11-01,D,daily,0.595547247746193,8,8,0,tfidf
left_none_daily,left_none,left,none,2024-11-05,D,daily,0.5109295017721392,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-11-11,D,daily,0.7526871537538222,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-11-13,D,daily,0.771905275781525,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-11-15,D,daily,0.7149706648104388,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-11-25,D,daily,0.7224287766111888,7,7,0,tfidf
left_none_daily,left_none,left,none,2024-12-03,D,daily,0.8689666282020697,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-12-09,D,daily,0.8798505731046911,5,5,0,tfidf
left_none_daily,left_none,left,none,2024-12-17,D,daily,0.8798198664871066,6,6,0,tfidf
left_none_daily,left_none,left,none,2024-12-18,D,daily,0.8629893280930103,8,8,0,tfidf
left_none_daily,left_none,left,none,2025-01-06,D,daily,0.7410397647470457,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-01-09,D,daily,0.8363944550185949,6,6,0,tfidf
left_none_daily,left_none,left,none,2025-01-13,D,daily,0.8278201413757361,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-01-16,D,daily,0.8571448779660459,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-01-20,D,daily,0.8634942942594159,7,7,0,tfidf
left_none_daily,left_none,left,none,2025-01-23,D,daily,0.8767730565531668,7,7,0,tfidf
left_none_daily,left_none,left,none,2025-01-24,D,daily,0.8542433774980454,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-01-30,D,daily,0.8616180120361063,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-02-03,D,daily,0.8800697227599055,6,6,0,tfidf
left_none_daily,left_none,left,none,2025-02-04,D,daily,0.8935733984980404,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-02-06,D,daily,0.8578841474050437,7,7,0,tfidf
left_none_daily,left_none,left,none,2025-02-07,D,daily,0.7908826952909676,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-02-13,D,daily,0.7032587539360284,5,5,0,tfidf
left_none_daily,left_none,left,none,2025-02-19,D,daily,0.7822530615359243,5,5,0,tfidf
