time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-06,10,6,4,"0,1",2024-02-06 02:45:00,2024-02-06 22:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-08,9,7,2,"0,1",2024-02-08 12:00:00,2024-02-08 22:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-11,6,1,5,"0,1",2024-02-11 17:30:00,2024-02-11 23:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-12,8,2,6,"0,1",2024-02-12 00:30:00,2024-02-12 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-13,5,5,0,0,2024-02-13 11:30:00,2024-02-13 17:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-15,6,4,2,"0,1",2024-02-15 00:30:00,2024-02-15 21:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-16,9,6,3,"0,1",2024-02-16 12:00:00,2024-02-16 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-17,6,3,3,"0,1",2024-02-17 00:45:00,2024-02-17 22:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-18,5,0,5,1,2024-02-18 02:00:00,2024-02-18 22:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-20,6,3,3,"0,1",2024-02-20 11:45:00,2024-02-20 23:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-22,5,2,3,"0,1",2024-02-22 12:00:00,2024-02-22 21:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-23,7,3,4,"0,1",2024-02-23 04:00:00,2024-02-23 22:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-25,8,3,5,"0,1",2024-02-25 03:45:00,2024-02-25 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-27,5,4,1,"0,1",2024-02-27 04:00:00,2024-02-27 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-28,12,5,7,"0,1",2024-02-28 00:00:00,2024-02-28 23:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-02-29,7,3,4,"0,1",2024-02-29 13:45:00,2024-02-29 23:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-01,11,3,8,"0,1",2024-03-01 01:45:00,2024-03-01 23:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-03,7,3,4,"0,1",2024-03-03 00:30:00,2024-03-03 22:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-04,10,4,6,"0,1",2024-03-04 03:45:00,2024-03-04 23:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-06,7,4,3,"0,1",2024-03-06 00:45:00,2024-03-06 22:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-07,5,3,2,"0,1",2024-03-07 19:00:00,2024-03-07 22:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-10,5,1,4,"0,1",2024-03-10 16:15:00,2024-03-10 21:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-11,7,5,2,"0,1",2024-03-11 03:45:00,2024-03-11 20:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-13,10,6,4,"0,1",2024-03-13 09:30:00,2024-03-13 21:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-17,8,3,5,"0,1",2024-03-17 15:15:00,2024-03-17 22:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-20,7,3,4,"0,1",2024-03-20 02:45:00,2024-03-20 22:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-26,5,1,4,"0,1",2024-03-26 14:00:00,2024-03-26 22:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-27,5,2,3,"0,1",2024-03-27 10:30:00,2024-03-27 19:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-29,11,4,7,"0,1",2024-03-29 01:45:00,2024-03-29 18:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-03-30,5,0,5,1,2024-03-30 00:15:00,2024-03-30 21:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-01,12,5,7,"0,1",2024-04-01 04:15:00,2024-04-01 23:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-02,5,3,2,"0,1",2024-04-02 00:00:00,2024-04-02 17:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-04,9,5,4,"0,1",2024-04-04 14:15:00,2024-04-04 21:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-05,8,4,4,"0,1",2024-04-05 11:00:00,2024-04-05 22:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-08,6,4,2,"0,1",2024-04-08 11:00:00,2024-04-08 20:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-10,9,6,3,"0,1",2024-04-10 00:30:00,2024-04-10 22:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-11,6,6,0,0,2024-04-11 13:45:00,2024-04-11 23:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-15,6,6,0,0,2024-04-15 10:45:00,2024-04-15 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-16,6,3,3,"0,1",2024-04-16 08:00:00,2024-04-16 20:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-17,5,3,2,"0,1",2024-04-17 02:30:00,2024-04-17 20:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-24,11,6,5,"0,1",2024-04-24 14:45:00,2024-04-24 22:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-25,9,3,6,"0,1",2024-04-25 03:00:00,2024-04-25 18:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-26,6,2,4,"0,1",2024-04-26 00:00:00,2024-04-26 19:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-29,10,1,9,"0,1",2024-04-29 15:45:00,2024-04-29 23:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-04-30,15,6,9,"0,1",2024-04-30 02:15:00,2024-04-30 23:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-01,8,3,5,"0,1",2024-05-01 01:30:00,2024-05-01 23:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-02,6,3,3,"0,1",2024-05-02 12:45:00,2024-05-02 22:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-03,7,6,1,"0,1",2024-05-03 08:00:00,2024-05-03 21:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-05,6,1,5,"0,1",2024-05-05 16:30:00,2024-05-05 21:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-07,8,4,4,"0,1",2024-05-07 12:00:00,2024-05-07 19:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-08,5,4,1,"0,1",2024-05-08 01:15:00,2024-05-08 19:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-09,5,1,4,"0,1",2024-05-09 11:15:00,2024-05-09 21:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-10,5,5,0,0,2024-05-10 00:15:00,2024-05-10 19:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-15,5,2,3,"0,1",2024-05-15 01:00:00,2024-05-15 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-16,9,5,4,"0,1",2024-05-16 01:00:00,2024-05-16 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-20,8,4,4,"0,1",2024-05-20 15:00:00,2024-05-20 23:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-22,7,1,6,"0,1",2024-05-22 00:30:00,2024-05-22 20:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-26,6,1,5,"0,1",2024-05-26 11:00:00,2024-05-26 17:45:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-28,9,3,6,"0,1",2024-05-28 02:15:00,2024-05-28 17:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-05-31,6,3,3,"0,1",2024-05-31 01:15:00,2024-05-31 22:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-06-01,11,0,11,1,2024-06-01 00:15:00,2024-06-01 22:00:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-06-04,8,6,2,"0,1",2024-06-04 12:00:00,2024-06-04 21:30:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-06-07,6,4,2,"0,1",2024-06-07 01:00:00,2024-06-07 20:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
2024-06-09,6,2,4,"0,1",2024-06-09 00:30:00,2024-06-09 23:15:00,mixed_global_undersampled,mixed_global_undersampled_daily,D,daily,mixed,global_undersampled
