stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-15,D,daily,0.8714153885157963,24,4,20,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-20,D,daily,0.7706090553576996,22,3,19,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-09,D,daily,0.8715689766379817,9,0,9,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-17,D,daily,0.8302464122862419,24,3,21,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-25,D,daily,0.8502175786685531,13,1,12,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-07,D,daily,0.8596478125034264,15,3,12,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-13,D,daily,0.8268471040230714,6,0,6,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-04-28,D,daily,0.6713651435706173,10,0,10,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-10,D,daily,0.7680311232702373,14,5,9,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-19,D,daily,0.8253053377237827,19,1,18,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-25,D,daily,0.8793097462136833,6,0,6,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-05-28,D,daily,0.8532925169190096,21,3,18,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-16,D,daily,0.864684608739236,21,1,20,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-23,D,daily,0.8571292926712232,12,1,11,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-06-29,D,daily,0.6001223372635613,15,1,14,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-05,D,daily,0.784635643383135,7,2,5,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-16,D,daily,0.8625105253040178,6,6,0,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-07-23,D,daily,0.5141281942138727,25,5,20,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-25,D,daily,0.8774101949961586,15,4,11,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-06,D,daily,0.810999819214944,20,3,17,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-12,D,daily,0.7391293691719016,9,0,9,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-17,D,daily,0.7632741239559055,10,3,7,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-27,D,daily,0.6911532681877763,24,9,15,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-03,D,daily,0.7571992703878175,10,4,6,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-08,D,daily,0.7015477035493975,20,0,20,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-29,D,daily,0.6100954277360049,18,0,18,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-04,D,daily,0.6212343752472305,15,3,12,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-10-06,D,daily,0.8169699945605113,15,0,15,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-15,D,daily,0.8950243324924915,6,2,4,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-21,D,daily,0.738902705658196,14,10,4,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-27,D,daily,0.6966686886941125,24,3,21,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-04,D,daily,0.6298851732948111,29,2,27,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-10,D,daily,0.6875342369858115,23,0,23,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-26,D,daily,0.8132805847455616,13,3,10,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-12,D,daily,0.8822344775727939,7,3,4,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-23,D,daily,0.8575310334847658,9,1,8,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-12-27,D,daily,0.8161364049633393,17,4,13,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-01-27,D,daily,0.7971405950034571,10,2,8,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-02-09,D,daily,0.8413918833470349,16,1,15,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2025-02-17,D,daily,0.6532788494193315,10,2,8,tfidf
