feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,matched_event,delay_days,is_true_positive
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-15,D,daily,0.8714153885157963,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-20,D,daily,0.7706090553576996,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-09,D,daily,0.8715689766379817,Start of campaign,4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-17,D,daily,0.8302464122862419,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-25,D,daily,0.8502175786685531,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-07,D,daily,0.8596478125034264,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-13,D,daily,0.8268471040230714,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-04-28,D,daily,0.6713651435706173,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-10,D,daily,0.7680311232702373,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-19,D,daily,0.8253053377237827,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-25,D,daily,0.8793097462136833,Trump conviction,-5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-05-28,D,daily,0.8532925169190096,Trump conviction,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-16,D,daily,0.864684608739236,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-23,D,daily,0.8571292926712232,First presidential debate,-4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-06-29,D,daily,0.6001223372635613,First presidential debate,2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-05,D,daily,0.784635643383135,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-16,D,daily,0.8625105253040178,Trump assassination attempt,3.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-07-23,D,daily,0.5141281942138727,Biden withdraws from race,2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-25,D,daily,0.8774101949961586,Biden withdraws from race,4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-06,D,daily,0.810999819214944,Harris becomes Democratic nominee,1.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-12,D,daily,0.7391293691719016,Harris becomes Democratic nominee,7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-17,D,daily,0.7632741239559055,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-08-27,D,daily,0.6911532681877763,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-03,D,daily,0.7571992703878175,Second presidential debate,-7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-08,D,daily,0.7015477035493975,Second presidential debate,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-09-29,D,daily,0.6100954277360049,Vice presidential debate,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-04,D,daily,0.6212343752472305,Vice presidential debate,3.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-10-06,D,daily,0.8169699945605113,Vice presidential debate,5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-15,D,daily,0.8950243324924915,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-21,D,daily,0.738902705658196,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-10-27,D,daily,0.6966686886941125,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-04,D,daily,0.6298851732948111,US presidential election,-1.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-10,D,daily,0.6875342369858115,US presidential election,5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-11-26,D,daily,0.8132805847455616,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-12,D,daily,0.8822344775727939,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-12-23,D,daily,0.8575310334847658,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-12-27,D,daily,0.8161364049633393,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-01-27,D,daily,0.7971405950034571,Trump inauguration,7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2025-02-09,D,daily,0.8413918833470349,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2025-02-17,D,daily,0.6532788494193315,,,False
