stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-06,D,daily,0.6703807265668444,22,6,16,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-07,D,daily,0.6882075958894242,6,2,4,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-08,D,daily,0.7620695402410256,25,7,18,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-10,D,daily,0.6999732103566612,13,0,13,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-11,D,daily,0.5797055384749356,20,1,19,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-12,D,daily,0.5915595601001105,21,2,19,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-13,D,daily,0.8127188889046852,5,5,0,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-15,D,daily,0.8714153885157963,24,4,20,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-16,D,daily,0.5572190047463657,26,6,20,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-17,D,daily,0.45887489616702415,18,3,15,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-18,D,daily,0.6985995439279089,21,0,21,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-19,D,daily,0.7903764272070462,9,0,9,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-20,D,daily,0.7706090553576996,22,3,19,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-22,D,daily,0.7512842259757109,19,2,17,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-23,D,daily,0.7078948847676039,19,3,16,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-25,D,daily,0.6918553071520595,26,3,23,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-26,D,daily,0.622333786699055,15,2,13,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-27,D,daily,0.7720960097440734,10,4,6,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-28,D,daily,0.707665287982088,27,5,22,tfidf
mixed_raw_daily,mixed_raw,mixed,raw,2024-02-29,D,daily,0.6167938594090742,22,3,19,tfidf
