stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-02-22,D,daily,0.751259861196268,34,17,17,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-03-10,D,daily,0.7613115216926056,40,20,20,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-03-17,D,daily,0.8303250169895602,42,21,21,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-04-07,D,daily,0.8596395140700264,24,12,12,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-05-08,D,daily,0.7399609058803529,18,9,9,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-05-28,D,daily,0.8319068202426294,36,18,18,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-06-15,D,daily,0.850273112656567,10,5,5,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-06-24,D,daily,0.7992384776412962,42,21,21,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-07-05,D,daily,0.8188984320079319,10,5,5,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,KSWIN,2024-07-21,D,daily,0.4964740034563693,26,13,13,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-07-25,D,daily,0.8942375677463779,22,11,11,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-08-06,D,daily,0.8109889177733899,34,17,17,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-08-17,D,daily,0.7634567373767925,14,7,7,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-08-28,D,daily,0.6559958821376282,38,19,19,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-10-03,D,daily,0.7007509472092138,34,17,17,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-10-15,D,daily,0.8950581065014908,8,4,4,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-10-21,D,daily,0.7387874231100284,20,10,10,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-10-27,D,daily,0.6966826396184478,42,21,21,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-11-04,D,daily,0.630020680994221,54,27,27,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-11-13,D,daily,0.6948520540495813,30,15,15,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-11-26,D,daily,0.8132778073885303,20,10,10,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-12,D,daily,0.8822344775727939,8,4,4,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-23,D,daily,0.8516958005664461,16,8,8,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-01-27,D,daily,0.7970796780520901,16,8,8,tfidf
mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-02-10,D,daily,0.7452819047800254,20,10,10,tfidf
