stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
right_none_daily,right_none,right,none,PageHinkley,2024-02-19,D,daily,0.7903764272070462,9,0,9,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-03-17,D,daily,0.8580443110134108,21,0,21,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-03-25,D,daily,0.8583745665627642,12,0,12,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-04-06,D,daily,0.7946810948860179,13,0,13,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-04-14,D,daily,0.9106158220121314,14,0,14,tfidf
right_none_daily,right_none,right,none,KSWIN,2024-04-28,D,daily,0.6705567343778306,10,0,10,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-05-06,D,daily,0.7738391361590355,10,0,10,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-05-14,D,daily,0.7910845074454764,13,0,13,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-05-19,D,daily,0.8312516222909,18,0,18,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-05-26,D,daily,0.8498643066158809,17,0,17,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-06-09,D,daily,0.8136678977986156,16,0,16,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-06-15,D,daily,0.861649887485906,5,0,5,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-06-24,D,daily,0.761129237774008,21,0,21,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-07-06,D,daily,0.8702302328374967,5,0,5,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-07-14,D,daily,0.8197035432147075,31,0,31,tfidf
right_none_daily,right_none,right,none,KSWIN,2024-07-21,D,daily,0.5219586253336661,13,0,13,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-07-27,D,daily,0.7636283420566189,8,0,8,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-08-12,D,daily,0.7391293691719016,9,0,9,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-08-17,D,daily,0.8060522142188609,7,0,7,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-08-26,D,daily,0.639130989925881,13,0,13,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-09-03,D,daily,0.8232860611965654,6,0,6,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-09-08,D,daily,0.7014971749456473,20,0,20,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-10-03,D,daily,0.6889819975085834,17,0,17,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-10-20,D,daily,0.7976787163853977,16,0,16,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-11-16,D,daily,0.8221480187047063,11,0,11,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-11-25,D,daily,0.8789251396204234,7,0,7,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-12-14,D,daily,0.723986086590453,9,0,9,tfidf
right_none_daily,right_none,right,none,PageHinkley,2024-12-22,D,daily,0.7449993937799437,6,0,6,tfidf
right_none_daily,right_none,right,none,KSWIN,2024-12-25,D,daily,0.787090153652837,7,0,7,tfidf
right_none_daily,right_none,right,none,PageHinkley,2025-01-05,D,daily,0.8359068542274306,18,0,18,tfidf
right_none_daily,right_none,right,none,PageHinkley,2025-01-14,D,daily,0.7938699706678668,17,0,17,tfidf
right_none_daily,right_none,right,none,PageHinkley,2025-01-20,D,daily,0.8068162205119735,20,0,20,tfidf
right_none_daily,right_none,right,none,PageHinkley,2025-01-25,D,daily,0.6769334651414237,11,0,11,tfidf
right_none_daily,right_none,right,none,KSWIN,2025-02-05,D,daily,0.5771720569923104,20,0,20,tfidf
right_none_daily,right_none,right,none,PageHinkley,2025-02-09,D,daily,0.8500047100140206,15,0,15,tfidf
