stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
left_none_weekly,left_none,left,none,PageHinkley,2024-11-25,W,weekly,0.9098948716494853,18,18,0,tfidf
left_none_weekly,left_none,left,none,PageHinkley,2025-01-27,W,weekly,0.8694298371029354,15,15,0,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-03-25,W,weekly,0.7640485394203297,35,11,24,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-07-22,W,weekly,0.8900339387982261,26,14,12,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-10-21,W,weekly,0.73569785921789,51,29,22,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-11-18,W,weekly,0.7394676996368705,35,15,20,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-12-30,W,weekly,0.9245284730550516,33,9,24,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-04-01,W,weekly,0.8010215160313875,37,16,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-22,W,weekly,0.8867256009203126,32,11,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-11-25,W,weekly,0.797077265577659,34,13,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-12-30,W,weekly,0.9042035804400067,30,9,21,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-04-15,W,weekly,0.6026962343834528,59,17,42,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-07-22,W,weekly,0.5441372105367829,116,14,102,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-11-25,W,weekly,0.38948296131460636,136,18,118,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,2024-12-30,W,weekly,0.5987243240047505,135,9,126,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-04-22,W,weekly,0.5829114661784607,146,73,73,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-06-03,W,weekly,0.5493012251055367,94,47,47,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-07-08,W,weekly,0.5238027230962186,204,102,102,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-07-29,W,weekly,0.6382462265105029,278,139,139,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-02,W,weekly,0.5130332695429881,138,69,69,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-23,W,weekly,0.6822051836680907,58,29,29,tfidf
right_none_weekly,right_none,right,none,PageHinkley,2024-03-25,W,weekly,0.5093351243148295,126,0,126,tfidf
right_none_weekly,right_none,right,none,PageHinkley,2025-01-13,W,weekly,0.32500844944080354,88,0,88,tfidf
