feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window_code,time_window_name,detections,true_positives,false_positives,precision_like,avg_delay_days,events_detected,events_missed,event_recall
tfidf,left_none_weekly,left_none,left,none,ADWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,left_none_weekly,left_none,left,none,PageHinkley,W,weekly,2,1,1,0.5,7.0,1,9,0.1
tfidf,left_none_weekly,left_none,left,none,KSWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,ADWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,W,weekly,5,2,3,0.4,7.0,2,8,0.2
tfidf,mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,KSWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,ADWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,W,weekly,4,1,3,0.25,1.0,1,9,0.1
tfidf,mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_raw_weekly,mixed_raw,mixed,raw,ADWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_raw_weekly,mixed_raw,mixed,raw,PageHinkley,W,weekly,4,1,3,0.25,1.0,1,9,0.1
tfidf,mixed_raw_weekly,mixed_raw,mixed,raw,KSWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,ADWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,W,weekly,6,3,3,0.5,-2.6666666666666665,3,7,0.3
tfidf,mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,KSWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,right_none_weekly,right_none,right,none,ADWIN,W,weekly,0,0,0,,,0,10,0.0
tfidf,right_none_weekly,right_none,right,none,PageHinkley,W,weekly,2,1,1,0.5,-7.0,1,9,0.1
tfidf,right_none_weekly,right_none,right,none,KSWIN,W,weekly,0,0,0,,,0,10,0.0
