event,event_date,event_window,time_window_code,time_window_name
Start of campaign,2024-03-05,2024-03-04,W,weekly
Trump conviction,2024-05-30,2024-05-27,W,weekly
First presidential debate,2024-06-27,2024-06-24,W,weekly
Trump assassination attempt,2024-07-13,2024-07-08,W,weekly
Biden withdraws from race,2024-07-21,2024-07-15,W,weekly
Harris becomes Democratic nominee,2024-08-05,2024-08-05,W,weekly
Second presidential debate,2024-09-10,2024-09-09,W,weekly
Vice presidential debate,2024-10-01,2024-09-30,W,weekly
US presidential election,2024-11-05,2024-11-04,W,weekly
Trump inauguration,2025-01-20,2025-01-20,W,weekly
