stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-02-12,W,weekly,0.6812865931466922,41,22,19,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-02-19,W,weekly,0.7521709118111586,31,16,15,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-02-26,W,weekly,0.7158688379312418,48,20,28,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-04,W,weekly,0.6743088009976339,36,17,19,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-11,W,weekly,0.7150587294351989,37,22,15,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-18,W,weekly,0.7990367509294065,19,9,10,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-03-25,W,weekly,0.7640485394203297,35,11,24,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-01,W,weekly,0.7661112547875206,44,21,23,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-08,W,weekly,0.7510090815306266,28,19,9,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-15,W,weekly,0.7874962307692013,28,17,11,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-22,W,weekly,0.8015258598417162,36,16,20,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-04-29,W,weekly,0.6181650888666131,53,20,33,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-06,W,weekly,0.7436379396917675,28,16,12,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-13,W,weekly,0.7996654884271917,22,11,11,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-20,W,weekly,0.6652986823329721,23,8,15,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-05-27,W,weekly,0.6716335443453341,40,10,30,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-03,W,weekly,0.7630833390506968,27,15,12,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-10,W,weekly,0.7049537083032925,36,19,17,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-17,W,weekly,0.7267578614070432,24,12,12,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-06-24,W,weekly,0.7389336480124382,31,15,16,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-01,W,weekly,0.8067926165979054,36,14,22,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-08,W,weekly,0.7391743079950226,31,17,14,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-15,W,weekly,0.6462030405391078,38,24,14,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-22,W,weekly,0.8900339387982261,26,14,12,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-07-29,W,weekly,0.8938362083584275,46,16,30,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-05,W,weekly,0.7382862996863385,27,14,13,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-12,W,weekly,0.7469739060310399,36,18,18,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-19,W,weekly,0.6466119653339456,42,23,19,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-08-26,W,weekly,0.6386918262807268,37,15,22,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-02,W,weekly,0.6732099708439379,36,22,14,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-09,W,weekly,0.6622245275598171,34,21,13,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-16,W,weekly,0.6419768860440405,30,14,16,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-23,W,weekly,0.6195212691912442,43,25,18,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-09-30,W,weekly,0.6002097274845197,32,12,20,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-07,W,weekly,0.6549696478101561,36,19,17,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-14,W,weekly,0.7676439385811415,25,12,13,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-21,W,weekly,0.73569785921789,51,29,22,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-10-28,W,weekly,0.5602524731442966,34,18,16,tfidf
mixed_global_undersampled_weekly,mixed_global_undersampled,mixed,global_undersampled,2024-11-04,W,weekly,0.6161943041658544,27,16,11,tfidf
