time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-05,38,20,18,"0,1",2024-02-05 06:00:00,2024-02-11 23:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-02-12,41,22,19,"0,1",2024-02-12 00:30:00,2024-02-18 22:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-02-19,31,16,15,"0,1",2024-02-20 11:45:00,2024-02-25 23:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-02-26,48,20,28,"0,1",2024-02-26 13:45:00,2024-03-03 22:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-03-04,36,17,19,"0,1",2024-03-04 03:45:00,2024-03-10 21:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-03-11,37,22,15,"0,1",2024-03-11 03:45:00,2024-03-17 22:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-03-18,19,9,10,"0,1",2024-03-18 20:00:00,2024-03-24 17:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-03-25,35,11,24,"0,1",2024-03-25 12:00:00,2024-03-31 18:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-04-01,44,21,23,"0,1",2024-04-01 04:15:00,2024-04-07 22:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-04-08,28,19,9,"0,1",2024-04-08 11:00:00,2024-04-14 18:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-04-15,28,17,11,"0,1",2024-04-15 10:45:00,2024-04-21 18:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-04-22,36,16,20,"0,1",2024-04-22 10:15:00,2024-04-28 02:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-04-29,53,20,33,"0,1",2024-04-29 15:45:00,2024-05-05 21:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-05-06,28,16,12,"0,1",2024-05-07 12:00:00,2024-05-12 19:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-05-13,22,11,11,"0,1",2024-05-13 14:00:00,2024-05-19 17:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-05-20,23,8,15,"0,1",2024-05-20 15:00:00,2024-05-26 17:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-05-27,40,10,30,"0,1",2024-05-27 04:15:00,2024-06-02 23:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-06-03,27,15,12,"0,1",2024-06-03 11:30:00,2024-06-09 23:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-06-10,36,19,17,"0,1",2024-06-10 13:15:00,2024-06-16 17:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-06-17,24,12,12,"0,1",2024-06-17 11:00:00,2024-06-23 04:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-06-24,31,15,16,"0,1",2024-06-24 01:00:00,2024-06-30 22:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-07-01,36,14,22,"0,1",2024-07-01 16:15:00,2024-07-07 21:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-07-08,31,17,14,"0,1",2024-07-08 00:00:00,2024-07-14 23:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-07-15,38,24,14,"0,1",2024-07-15 22:15:00,2024-07-21 23:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-07-22,26,14,12,"0,1",2024-07-22 00:45:00,2024-07-28 03:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-07-29,46,16,30,"0,1",2024-07-29 01:00:00,2024-08-04 20:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-08-05,27,14,13,"0,1",2024-08-05 10:45:00,2024-08-11 15:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-08-12,36,18,18,"0,1",2024-08-13 14:15:00,2024-08-18 23:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-08-19,42,23,19,"0,1",2024-08-19 01:45:00,2024-08-25 19:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-08-26,37,15,22,"0,1",2024-08-26 17:45:00,2024-09-01 19:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-09-02,36,22,14,"0,1",2024-09-02 00:30:00,2024-09-08 21:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-09-09,34,21,13,"0,1",2024-09-09 05:30:00,2024-09-15 17:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-09-16,30,14,16,"0,1",2024-09-16 10:45:00,2024-09-22 22:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-09-23,43,25,18,"0,1",2024-09-23 12:45:00,2024-09-29 22:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-09-30,32,12,20,"0,1",2024-09-30 00:15:00,2024-10-06 14:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-10-07,36,19,17,"0,1",2024-10-07 00:45:00,2024-10-13 22:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-10-14,25,12,13,"0,1",2024-10-14 13:30:00,2024-10-20 22:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-10-21,51,29,22,"0,1",2024-10-21 00:00:00,2024-10-27 21:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-10-28,34,18,16,"0,1",2024-10-28 01:30:00,2024-11-03 23:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-11-04,27,16,11,"0,1",2024-11-04 00:15:00,2024-11-10 20:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-11-11,27,21,6,"0,1",2024-11-11 15:45:00,2024-11-17 21:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-11-18,35,15,20,"0,1",2024-11-18 06:45:00,2024-11-24 19:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-11-25,39,18,21,"0,1",2024-11-25 00:00:00,2024-12-01 22:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-12-02,28,14,14,"0,1",2024-12-02 15:15:00,2024-12-08 20:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-12-09,25,15,10,"0,1",2024-12-09 15:30:00,2024-12-15 22:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-12-16,32,21,11,"0,1",2024-12-16 01:30:00,2024-12-21 22:45:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-12-23,20,6,14,"0,1",2024-12-23 10:15:00,2024-12-29 22:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2024-12-30,33,9,24,"0,1",2024-12-30 00:45:00,2025-01-05 19:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-01-06,29,18,11,"0,1",2025-01-06 18:30:00,2025-01-12 16:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-01-13,26,15,11,"0,1",2025-01-13 12:45:00,2025-01-19 20:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-01-20,45,24,21,"0,1",2025-01-20 14:30:00,2025-01-26 18:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-01-27,39,15,24,"0,1",2025-01-27 03:00:00,2025-02-02 01:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-02-03,51,27,24,"0,1",2025-02-03 00:00:00,2025-02-09 23:30:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-02-10,29,19,10,"0,1",2025-02-10 16:15:00,2025-02-16 21:00:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
2025-02-17,16,7,9,"0,1",2025-02-17 16:30:00,2025-02-19 23:15:00,mixed_global_undersampled,mixed_global_undersampled_weekly,W,weekly,mixed,global_undersampled
