stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-02-12,W,weekly,0.7063412992840189,31,16,15,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-02-19,W,weekly,0.7564051842415831,31,16,15,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-02-26,W,weekly,0.7759776132052334,38,17,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-03-04,W,weekly,0.7665840478850225,33,15,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-03-11,W,weekly,0.768869774479926,34,16,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-03-18,W,weekly,0.7923023659578496,30,9,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-03-25,W,weekly,0.746672275215901,31,10,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-04-01,W,weekly,0.8010215160313875,37,16,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-04-08,W,weekly,0.7925503147259753,30,12,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-04-15,W,weekly,0.7858526969737686,26,14,12,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-04-22,W,weekly,0.8056683055158187,30,12,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-04-29,W,weekly,0.5942145702391862,35,14,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-05-06,W,weekly,0.7150870941613245,30,12,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-05-13,W,weekly,0.6997080829433697,30,9,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-05-20,W,weekly,0.602834723155685,25,7,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-05-27,W,weekly,0.7456288061752359,31,10,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-06-03,W,weekly,0.7681168801274064,29,11,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-06-10,W,weekly,0.7010906292830446,35,14,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-06-17,W,weekly,0.6454651076458466,29,11,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-06-24,W,weekly,0.679478315314689,32,11,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-07-01,W,weekly,0.8020752858028595,31,10,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-07-08,W,weekly,0.7389707629739253,32,14,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-07-15,W,weekly,0.6187924676188814,32,14,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-07-22,W,weekly,0.8867256009203126,32,11,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-07-29,W,weekly,0.898613160819956,30,9,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-08-05,W,weekly,0.7206219647040842,32,11,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-08-12,W,weekly,0.7191628777226167,36,15,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-08-19,W,weekly,0.6780331412259177,33,12,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-08-26,W,weekly,0.5606148535748028,29,8,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-09-02,W,weekly,0.6584245309717396,36,15,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-09-09,W,weekly,0.6938722763199953,37,16,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-09-16,W,weekly,0.6063274751800186,33,12,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-09-23,W,weekly,0.5584121018501578,32,11,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-09-30,W,weekly,0.5739231513385638,33,12,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-10-07,W,weekly,0.5578107410415516,35,14,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-10-14,W,weekly,0.6938295550958444,33,12,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-10-21,W,weekly,0.7249529106702035,36,18,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-10-28,W,weekly,0.6714019595711205,31,12,19,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-11-04,W,weekly,0.6333783400788771,32,14,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-11-11,W,weekly,0.6699834019098045,27,12,15,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-11-18,W,weekly,0.6739075395361301,35,14,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-11-25,W,weekly,0.797077265577659,34,13,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-12-02,W,weekly,0.8176333482786057,29,11,18,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-12-09,W,weekly,0.7784346387612984,34,13,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-12-16,W,weekly,0.7334294628560437,34,13,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-12-23,W,weekly,0.8305292939617461,26,5,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2024-12-30,W,weekly,0.9042035804400067,30,9,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2025-01-06,W,weekly,0.7878421011778023,34,13,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2025-01-13,W,weekly,0.7299418039154327,32,11,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2025-01-20,W,weekly,0.8136656823393347,35,14,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2025-01-27,W,weekly,0.7894769390160022,34,13,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2025-02-03,W,weekly,0.8143452988986728,37,16,21,tfidf
mixed_max3_per_class_day_weekly,mixed_max3_per_class_day,mixed,max3_per_class_day,2025-02-10,W,weekly,0.7435057306169095,31,14,17,tfidf
