stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_raw_weekly,mixed_raw,mixed,raw,2024-02-12,W,weekly,0.38454646775871015,117,22,95,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-02-19,W,weekly,0.45935188383908265,100,16,84,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-02-26,W,weekly,0.38988759759495495,175,20,155,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-04,W,weekly,0.4358537727083537,95,17,78,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-11,W,weekly,0.4460764280012848,115,22,93,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-18,W,weekly,0.40258581847932207,86,9,77,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-03-25,W,weekly,0.5053461050671696,137,11,126,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-01,W,weekly,0.4346127390639153,153,21,132,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-08,W,weekly,0.37322171145446814,101,19,82,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-15,W,weekly,0.6026962343834528,59,17,42,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-22,W,weekly,0.6297672772390145,115,16,99,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-04-29,W,weekly,0.3524251627191928,174,20,154,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-06,W,weekly,0.3595322341341618,97,16,81,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-13,W,weekly,0.472658262370912,104,11,93,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-20,W,weekly,0.34769460530925345,78,8,70,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-05-27,W,weekly,0.4109631913509053,146,10,136,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-03,W,weekly,0.4459339953353809,86,15,71,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-10,W,weekly,0.3587412110582955,111,19,92,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-17,W,weekly,0.37829496673562624,96,12,84,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-06-24,W,weekly,0.3555592831681146,135,15,120,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-01,W,weekly,0.43906639488971655,127,14,113,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-08,W,weekly,0.48726496196275537,119,17,102,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-15,W,weekly,0.2811763863347043,130,24,106,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-22,W,weekly,0.5441372105367829,116,14,102,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-07-29,W,weekly,0.5217593557610051,183,16,167,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-05,W,weekly,0.4661771663818177,82,14,68,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-12,W,weekly,0.3377574475064282,127,18,109,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-19,W,weekly,0.26648985696428473,141,23,118,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-08-26,W,weekly,0.29684056670840175,168,15,153,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-02,W,weekly,0.27930225035792833,119,22,97,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-09,W,weekly,0.2997674855927963,126,21,105,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-16,W,weekly,0.2612160487959454,119,14,105,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-23,W,weekly,0.23361147182873798,136,25,111,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-09-30,W,weekly,0.2645437833695796,164,12,152,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-07,W,weekly,0.23859318901972149,132,19,113,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-14,W,weekly,0.29284325535889866,108,12,96,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-21,W,weekly,0.31194663325594907,119,29,90,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-10-28,W,weekly,0.265519014990793,160,18,142,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-11-04,W,weekly,0.23228559899397494,131,16,115,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-11-11,W,weekly,0.3513539655346116,77,21,56,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-11-18,W,weekly,0.3216195748473958,114,15,99,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-11-25,W,weekly,0.38948296131460636,136,18,118,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-12-02,W,weekly,0.44252520134929196,104,14,90,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-12-09,W,weekly,0.4340884786551955,90,15,75,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-12-16,W,weekly,0.36877092505624387,117,21,96,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-12-23,W,weekly,0.5216440789075221,74,6,68,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2024-12-30,W,weekly,0.5987243240047505,135,9,126,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-01-06,W,weekly,0.5093195922998706,101,18,83,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-01-13,W,weekly,0.42352445581617204,103,15,88,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-01-20,W,weekly,0.4748695378436185,141,24,117,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-01-27,W,weekly,0.43382902238227783,154,15,139,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-02-03,W,weekly,0.397969161919838,147,27,120,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-02-10,W,weekly,0.3190486436816038,95,19,76,tfidf
mixed_raw_weekly,mixed_raw,mixed,raw,2025-02-17,W,weekly,0.26404861696174575,59,7,52,tfidf
