stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-02-12,W,weekly,0.5694625528947529,148,74,74,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-02-19,W,weekly,0.538166566448513,150,75,75,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-02-26,W,weekly,0.43743488787536844,278,139,139,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-04,W,weekly,0.4653488826778279,138,69,69,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-11,W,weekly,0.45876257295515943,186,93,93,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-18,W,weekly,0.44607189573531325,118,59,59,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-03-25,W,weekly,0.5040350720695903,196,98,98,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-01,W,weekly,0.4740542631451181,226,113,113,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-08,W,weekly,0.39805366659931407,124,62,62,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-15,W,weekly,0.5254764353945695,50,25,25,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-22,W,weekly,0.5829114661784607,146,73,73,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-04-29,W,weekly,0.39064223785149554,292,146,146,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-06,W,weekly,0.40948632851959565,142,71,71,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-13,W,weekly,0.5284565008898241,146,73,73,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-20,W,weekly,0.4416310310207875,116,58,58,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-05-27,W,weekly,0.41774514546744235,114,57,57,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-03,W,weekly,0.5493012251055367,94,47,47,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-10,W,weekly,0.41763305694229347,184,92,92,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-17,W,weekly,0.4048358767001752,130,65,65,tfidf
mixed_split_minority_day_weekly,mixed_split_minority_day,mixed,split_minority_day,2024-06-24,W,weekly,0.39059689801459463,200,100,100,tfidf
