time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-05,114,57,57,"0,1",2024-02-06 02:45:00,2024-02-11 23:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-02-12,148,74,74,"0,1",2024-02-12 00:00:00,2024-02-17 22:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-02-19,150,75,75,"0,1",2024-02-20 07:00:00,2024-02-25 23:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-02-26,278,139,139,"0,1",2024-02-26 03:45:00,2024-03-03 22:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-03-04,138,69,69,"0,1",2024-03-04 03:45:00,2024-03-10 22:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-03-11,186,93,93,"0,1",2024-03-11 03:45:00,2024-03-17 22:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-03-18,118,59,59,"0,1",2024-03-19 00:30:00,2024-03-24 23:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-03-25,196,98,98,"0,1",2024-03-25 12:00:00,2024-03-31 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-04-01,226,113,113,"0,1",2024-04-01 04:15:00,2024-04-07 22:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-04-08,124,62,62,"0,1",2024-04-08 00:00:00,2024-04-12 22:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-04-15,50,25,25,"0,1",2024-04-16 08:00:00,2024-04-17 20:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-04-22,146,73,73,"0,1",2024-04-24 03:30:00,2024-04-27 21:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-04-29,292,146,146,"0,1",2024-04-29 00:00:00,2024-05-05 21:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-05-06,142,71,71,"0,1",2024-05-07 02:30:00,2024-05-12 23:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-05-13,146,73,73,"0,1",2024-05-13 14:00:00,2024-05-19 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-05-20,116,58,58,"0,1",2024-05-20 15:00:00,2024-05-26 23:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-05-27,114,57,57,"0,1",2024-05-28 02:15:00,2024-05-31 23:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-06-03,94,47,47,"0,1",2024-06-03 03:15:00,2024-06-09 23:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-06-10,184,92,92,"0,1",2024-06-10 02:45:00,2024-06-16 22:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-06-17,130,65,65,"0,1",2024-06-18 03:00:00,2024-06-23 23:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-06-24,200,100,100,"0,1",2024-06-24 01:00:00,2024-06-29 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-07-01,202,101,101,"0,1",2024-07-01 01:00:00,2024-07-07 21:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-07-08,204,102,102,"0,1",2024-07-08 00:00:00,2024-07-14 23:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-07-15,172,86,86,"0,1",2024-07-17 02:30:00,2024-07-21 23:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-07-22,120,60,60,"0,1",2024-07-23 04:45:00,2024-07-27 22:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-07-29,278,139,139,"0,1",2024-07-30 00:15:00,2024-08-04 21:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-08-05,104,52,52,"0,1",2024-08-05 10:45:00,2024-08-09 23:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-08-12,148,74,74,"0,1",2024-08-13 00:00:00,2024-08-17 19:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-08-19,158,79,79,"0,1",2024-08-20 01:00:00,2024-08-24 22:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-08-26,126,63,63,"0,1",2024-08-26 00:00:00,2024-08-31 22:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-09-02,140,70,70,"0,1",2024-09-02 00:30:00,2024-09-06 23:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-09-09,170,85,85,"0,1",2024-09-09 05:30:00,2024-09-14 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-09-16,156,78,78,"0,1",2024-09-16 10:45:00,2024-09-20 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
