time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-02-05,89,0,89,1,2024-02-05 00:15:00,2024-02-11 23:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-02-12,95,0,95,1,2024-02-12 00:00:00,2024-02-18 22:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-02-19,84,0,84,1,2024-02-19 02:45:00,2024-02-25 23:30:00,right_none,right_none_weekly,W,weekly,right,none
2024-02-26,155,0,155,1,2024-02-26 03:45:00,2024-03-03 22:00:00,right_none,right_none_weekly,W,weekly,right,none
2024-03-04,78,0,78,1,2024-03-04 04:15:00,2024-03-10 22:00:00,right_none,right_none_weekly,W,weekly,right,none
2024-03-11,93,0,93,1,2024-03-11 03:45:00,2024-03-17 21:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-03-18,77,0,77,1,2024-03-18 00:45:00,2024-03-24 23:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-03-25,126,0,126,1,2024-03-25 15:45:00,2024-03-31 23:00:00,right_none,right_none_weekly,W,weekly,right,none
2024-04-01,132,0,132,1,2024-04-01 06:30:00,2024-04-07 22:15:00,right_none,right_none_weekly,W,weekly,right,none
2024-04-08,82,0,82,1,2024-04-08 00:00:00,2024-04-14 23:15:00,right_none,right_none_weekly,W,weekly,right,none
2024-04-15,42,0,42,1,2024-04-16 14:30:00,2024-04-21 21:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-04-22,99,0,99,1,2024-04-23 00:15:00,2024-04-28 20:00:00,right_none,right_none_weekly,W,weekly,right,none
2024-04-29,154,0,154,1,2024-04-29 00:00:00,2024-05-05 21:30:00,right_none,right_none_weekly,W,weekly,right,none
2024-05-06,81,0,81,1,2024-05-06 00:15:00,2024-05-12 23:30:00,right_none,right_none_weekly,W,weekly,right,none
2024-05-13,93,0,93,1,2024-05-13 14:00:00,2024-05-19 23:00:00,right_none,right_none_weekly,W,weekly,right,none
2024-05-20,70,0,70,1,2024-05-20 20:00:00,2024-05-26 23:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-05-27,136,0,136,1,2024-05-27 04:15:00,2024-06-02 23:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-06-03,71,0,71,1,2024-06-03 03:15:00,2024-06-09 22:30:00,right_none,right_none_weekly,W,weekly,right,none
2024-06-10,92,0,92,1,2024-06-10 02:45:00,2024-06-16 22:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-06-17,84,0,84,1,2024-06-18 03:00:00,2024-06-23 23:30:00,right_none,right_none_weekly,W,weekly,right,none
2024-06-24,120,0,120,1,2024-06-24 01:00:00,2024-06-30 22:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-07-01,113,0,113,1,2024-07-01 01:00:00,2024-07-07 21:15:00,right_none,right_none_weekly,W,weekly,right,none
2024-07-08,102,0,102,1,2024-07-08 00:00:00,2024-07-14 23:15:00,right_none,right_none_weekly,W,weekly,right,none
2024-07-15,106,0,106,1,2024-07-15 20:00:00,2024-07-21 23:15:00,right_none,right_none_weekly,W,weekly,right,none
2024-07-22,102,0,102,1,2024-07-22 00:45:00,2024-07-28 20:00:00,right_none,right_none_weekly,W,weekly,right,none
2024-07-29,167,0,167,1,2024-07-29 01:00:00,2024-08-04 21:45:00,right_none,right_none_weekly,W,weekly,right,none
2024-08-05,68,0,68,1,2024-08-05 18:45:00,2024-08-11 19:15:00,right_none,right_none_weekly,W,weekly,right,none
