stream_group,detector,time_window,drift_score,n_articles
left,KSWIN,2024-08-02,0.7654559057176977,7
left,KSWIN,2024-11-05,0.49239435214548266,5
left,KSWIN,2024-12-18,0.8380630344516763,8
left,KSWIN,2025-02-19,0.7557560763403661,5
mixed,KSWIN,2024-04-11,0.8172761761068283,6
mixed,KSWIN,2024-05-03,0.7460342275377426,8
mixed,KSWIN,2024-06-01,0.815983280974262,9
mixed,KSWIN,2024-07-30,0.8975392148932831,6
mixed,KSWIN,2024-09-15,0.8288724424760577,5
mixed,KSWIN,2024-12-20,0.7211793367680542,5
mixed,KSWIN,2025-01-17,0.7752231158693776,6
