stream_group,detector,time_window,drift_score,matched_event,delay_days,is_true_positive
left,KSWIN,2024-08-02,0.7654559057176977,Harris becomes Democratic nominee,-3.0,True
left,KSWIN,2024-11-05,0.49239435214548266,US presidential election,0.0,True
left,KSWIN,2024-12-18,0.8380630344516763,,,False
left,KSWIN,2025-02-19,0.7557560763403661,,,False
mixed,KSWIN,2024-04-11,0.8172761761068283,,,False
mixed,KSWIN,2024-05-03,0.7460342275377426,,,False
mixed,KSWIN,2024-06-01,0.815983280974262,Trump conviction,2.0,True
mixed,KSWIN,2024-07-30,0.8975392148932831,Harris becomes Democratic nominee,-6.0,True
mixed,KSWIN,2024-09-15,0.8288724424760577,Second presidential debate,5.0,True
mixed,KSWIN,2024-12-20,0.7211793367680542,,,False
mixed,KSWIN,2025-01-17,0.7752231158693776,Trump inauguration,-3.0,True
