stream_group,time_window,drift_score,n_articles
left,2024-04-04,0.8085858938787271,5
left,2024-04-10,0.8311569460973627,6
left,2024-04-11,0.8252279123706765,6
left,2024-04-15,0.8696196412650197,6
left,2024-04-24,0.855260756115096,6
left,2024-04-30,0.8647640383907336,6
left,2024-05-03,0.7281787604358947,6
left,2024-05-10,0.8734992188356727,5
left,2024-05-16,0.8916065158085289,5
left,2024-06-04,0.8105936482447254,6
left,2024-06-13,0.7576521572230996,6
left,2024-06-28,0.7739739318608729,7
left,2024-07-02,0.870394006093131,7
left,2024-07-08,0.8645670056133705,5
left,2024-07-16,0.8895360095411275,6
left,2024-07-17,0.8026235968027177,5
left,2024-07-18,0.6362036436209284,8
left,2024-07-23,0.6460319426179596,5
left,2024-08-01,0.7658812302509159,6
left,2024-08-02,0.7654559057176977,7
left,2024-08-07,0.8122484610004843,5
left,2024-08-14,0.8380448294281435,5
left,2024-08-21,0.7508434614215088,9
left,2024-08-22,0.7395940433509455,7
left,2024-08-27,0.768525061051859,9
left,2024-09-04,0.7944199766649224,6
left,2024-09-06,0.6576660257299921,5
left,2024-09-10,0.7756263944888034,5
left,2024-09-13,0.7662417687390848,5
left,2024-09-20,0.77673583675121,5
left,2024-09-23,0.512014708981064,5
left,2024-09-25,0.7066975020794115,11
left,2024-09-27,0.7008831906104752,7
left,2024-10-07,0.722282793816934,5
left,2024-10-10,0.8687245200695044,5
left,2024-10-21,0.7945375391824301,10
left,2024-10-24,0.6746070842282114,5
left,2024-10-25,0.6581249554883779,5
left,2024-11-01,0.5603780641385991,8
left,2024-11-05,0.49239435214548266,5
left,2024-11-11,0.7007515338659209,6
left,2024-11-13,0.7407996299976758,5
left,2024-11-15,0.68148656741934,7
left,2024-11-25,0.6760481459190046,7
left,2024-12-03,0.8475364420793765,5
left,2024-12-09,0.8620696670824195,5
left,2024-12-17,0.861925413290054,6
left,2024-12-18,0.8380630344516763,8
left,2025-01-06,0.7132808308849508,5
left,2025-01-09,0.8298848640825469,6
left,2025-01-13,0.8067747754442525,5
left,2025-01-16,0.8312597831335694,5
left,2025-01-20,0.8394152411504934,7
left,2025-01-23,0.8493035938471284,7
left,2025-01-24,0.8236711907192942,5
left,2025-01-30,0.8377517022972818,5
left,2025-02-03,0.8528269240423887,6
left,2025-02-04,0.8603653528440653,5
left,2025-02-06,0.8187719563815854,7
left,2025-02-07,0.7431076559663959,5
left,2025-02-13,0.680737611018821,5
left,2025-02-19,0.7557560763403661,5
mixed,2024-03-22,0.7948662534047313,6
mixed,2024-03-29,0.8195605545568223,9
mixed,2024-03-30,0.9149223602184998,7
mixed,2024-04-01,0.7024223062612998,10
mixed,2024-04-02,0.6832716966940622,9
mixed,2024-04-04,0.6597970698120743,9
mixed,2024-04-05,0.7795131990006766,5
mixed,2024-04-08,0.8123659433260585,7
mixed,2024-04-09,0.8490033635857008,5
mixed,2024-04-10,0.8647389278203278,9
mixed,2024-04-11,0.8172761761068283,6
mixed,2024-04-15,0.8696196412650197,6
mixed,2024-04-24,0.8467114568909695,11
mixed,2024-04-25,0.8460073706367437,7
mixed,2024-04-29,0.881696075260042,5
mixed,2024-04-30,0.8230415230649464,12
mixed,2024-05-01,0.4762228842390406,9
mixed,2024-05-02,0.6971354586878096,5
mixed,2024-05-03,0.7460342275377426,8
mixed,2024-05-08,0.6765709722786333,6
mixed,2024-05-10,0.8759057490101145,6
mixed,2024-05-12,0.8980038679294315,7
mixed,2024-05-15,0.8134507262476824,9
mixed,2024-05-16,0.7296749799927749,8
mixed,2024-05-20,0.7402157929254394,8
mixed,2024-05-22,0.6049175462832577,6
mixed,2024-05-26,0.8242200517253946,5
mixed,2024-05-28,0.9373446520275567,9
mixed,2024-05-30,0.9024898282413543,5
mixed,2024-06-01,0.815983280974262,9
mixed,2024-06-02,0.7797472581270024,6
mixed,2024-06-03,0.9004874161790672,5
mixed,2024-06-04,0.8593751004775829,6
mixed,2024-06-05,0.8887656533718684,5
mixed,2024-06-07,0.7702096840411642,7
mixed,2024-06-09,0.8167461210281775,6
mixed,2024-06-11,0.8751928862998687,7
mixed,2024-06-12,0.8091039386457595,5
mixed,2024-06-13,0.8442905590193757,6
mixed,2024-06-14,0.8218939584385555,6
mixed,2024-06-16,0.862056717299517,5
mixed,2024-06-18,0.8126535339369937,6
mixed,2024-06-19,0.7481032010366059,6
mixed,2024-06-20,0.866105222324845,5
mixed,2024-06-21,0.7917349542804493,6
mixed,2024-06-24,0.8578718570735737,5
mixed,2024-06-25,0.9197286793792434,5
mixed,2024-06-26,0.5684937116852258,5
mixed,2024-06-28,0.8741836474242841,11
mixed,2024-07-01,0.709184904620716,14
mixed,2024-07-02,0.8120974378571687,12
mixed,2024-07-03,0.8005692861315002,6
mixed,2024-07-08,0.7739233588279693,8
mixed,2024-07-10,0.6737870905700794,5
mixed,2024-07-11,0.6718541077065001,8
mixed,2024-07-16,0.8956150454370836,6
mixed,2024-07-17,0.7660397289140557,12
mixed,2024-07-18,0.5734489891794206,13
mixed,2024-07-20,0.6022824716047839,5
mixed,2024-07-23,0.6646553894276639,7
mixed,2024-07-25,0.9194729615194195,5
mixed,2024-07-26,0.9364006564112173,5
mixed,2024-07-27,0.8954237791946564,5
mixed,2024-07-30,0.8975392148932831,6
mixed,2024-08-01,0.7791616872548802,17
mixed,2024-08-02,0.6977882068844168,11
mixed,2024-08-06,0.7463023103564657,5
mixed,2024-08-07,0.7931034207441834,5
mixed,2024-08-13,0.8741122364037045,11
mixed,2024-08-14,0.7814334915145614,6
mixed,2024-08-15,0.8101750260172196,6
mixed,2024-08-16,0.7264539361184883,6
mixed,2024-08-19,0.7847713487692785,6
mixed,2024-08-21,0.7443550783560072,12
mixed,2024-08-22,0.6571919977684253,10
mixed,2024-08-23,0.6676010157698336,5
mixed,2024-08-24,0.8277086960452641,5
mixed,2024-08-25,0.7361828258592513,6
mixed,2024-08-27,0.8254530052494219,13
mixed,2024-08-28,0.7606913435213255,9
mixed,2024-08-30,0.8074422903945984,8
mixed,2024-08-31,0.7361526033355212,5
mixed,2024-09-01,0.8794509314088658,9
mixed,2024-09-02,0.8407175344183049,5
mixed,2024-09-03,0.8076757328995569,5
mixed,2024-09-04,0.5991019789433192,13
mixed,2024-09-05,0.6750624197705298,7
mixed,2024-09-06,0.6864557874362612,8
mixed,2024-09-10,0.7554658390576875,6
mixed,2024-09-11,0.7760802317969066,6
mixed,2024-09-12,0.7906053046967197,5
mixed,2024-09-13,0.7555157495287217,8
mixed,2024-09-15,0.8288724424760577,5
mixed,2024-09-16,0.7752743077760615,6
mixed,2024-09-17,0.6776911401231068,9
mixed,2024-09-19,0.7745602517184405,8
mixed,2024-09-20,0.7914342338149398,8
mixed,2024-09-23,0.5069077914972873,10
mixed,2024-09-25,0.6519300590653251,16
mixed,2024-09-27,0.6138015372217438,11
mixed,2024-09-29,0.7161910523653847,5
mixed,2024-09-30,0.6483313177275254,6
mixed,2024-10-01,0.7377053272343062,10
mixed,2024-10-04,0.7352550817717848,6
mixed,2024-10-05,0.7777545926388152,5
mixed,2024-10-07,0.6774648293140271,6
mixed,2024-10-08,0.8033240289365999,5
mixed,2024-10-09,0.669374247534757,5
mixed,2024-10-10,0.8215173728431578,9
mixed,2024-10-11,0.77938054522218,9
mixed,2024-10-13,0.7066119954368063,7
mixed,2024-10-17,0.644832304789,6
mixed,2024-10-18,0.7177648494210298,6
mixed,2024-10-20,0.8669408457352281,5
mixed,2024-10-21,0.8559296202176974,12
mixed,2024-10-23,0.7479141000311658,5
mixed,2024-10-24,0.7777226366170216,8
mixed,2024-10-25,0.627855542272862,11
mixed,2024-10-27,0.8799833560955203,6
mixed,2024-10-28,0.8638890935801555,8
