stream_group,time_window,n_articles,labels
left,2024-04-01,5,[0]
left,2024-04-04,5,[0]
left,2024-04-10,6,[0]
left,2024-04-11,6,[0]
left,2024-04-15,6,[0]
left,2024-04-24,6,[0]
left,2024-04-30,6,[0]
left,2024-05-03,6,[0]
left,2024-05-10,5,[0]
left,2024-05-16,5,[0]
left,2024-06-04,6,[0]
left,2024-06-13,6,[0]
left,2024-06-28,7,[0]
left,2024-07-02,7,[0]
left,2024-07-08,5,[0]
left,2024-07-16,6,[0]
left,2024-07-17,5,[0]
left,2024-07-18,8,[0]
left,2024-07-23,5,[0]
left,2024-08-01,6,[0]
left,2024-08-02,7,[0]
left,2024-08-07,5,[0]
left,2024-08-14,5,[0]
left,2024-08-21,9,[0]
left,2024-08-22,7,[0]
left,2024-08-27,9,[0]
left,2024-09-04,6,[0]
left,2024-09-06,5,[0]
left,2024-09-10,5,[0]
left,2024-09-13,5,[0]
left,2024-09-20,5,[0]
left,2024-09-23,5,[0]
left,2024-09-25,11,[0]
left,2024-09-27,7,[0]
left,2024-10-07,5,[0]
left,2024-10-10,5,[0]
left,2024-10-21,10,[0]
left,2024-10-24,5,[0]
left,2024-10-25,5,[0]
left,2024-11-01,8,[0]
left,2024-11-05,5,[0]
left,2024-11-11,6,[0]
left,2024-11-13,5,[0]
left,2024-11-15,7,[0]
left,2024-11-25,7,[0]
left,2024-12-03,5,[0]
left,2024-12-09,5,[0]
left,2024-12-17,6,[0]
left,2024-12-18,8,[0]
left,2025-01-06,5,[0]
left,2025-01-09,6,[0]
left,2025-01-13,5,[0]
left,2025-01-16,5,[0]
left,2025-01-20,7,[0]
left,2025-01-23,7,[0]
left,2025-01-24,5,[0]
left,2025-01-30,5,[0]
left,2025-02-03,6,[0]
left,2025-02-04,5,[0]
left,2025-02-06,7,[0]
left,2025-02-07,5,[0]
left,2025-02-13,5,[0]
left,2025-02-19,5,[0]
mixed,2024-03-17,8,"[0, 1]"
mixed,2024-03-22,6,"[0, 1]"
mixed,2024-03-29,9,"[0, 1]"
mixed,2024-03-30,7,[1]
mixed,2024-04-01,10,"[0, 1]"
mixed,2024-04-02,9,"[0, 1]"
mixed,2024-04-04,9,"[0, 1]"
mixed,2024-04-05,5,"[0, 1]"
mixed,2024-04-08,7,"[0, 1]"
mixed,2024-04-09,5,"[0, 1]"
mixed,2024-04-10,9,"[0, 1]"
mixed,2024-04-11,6,[0]
mixed,2024-04-15,6,[0]
mixed,2024-04-24,11,"[0, 1]"
mixed,2024-04-25,7,"[0, 1]"
mixed,2024-04-29,5,"[0, 1]"
mixed,2024-04-30,12,"[0, 1]"
mixed,2024-05-01,9,"[0, 1]"
mixed,2024-05-02,5,"[0, 1]"
mixed,2024-05-03,8,"[0, 1]"
mixed,2024-05-08,6,"[0, 1]"
mixed,2024-05-10,6,"[0, 1]"
mixed,2024-05-12,7,"[0, 1]"
mixed,2024-05-15,9,"[0, 1]"
mixed,2024-05-16,8,"[0, 1]"
mixed,2024-05-20,8,"[0, 1]"
mixed,2024-05-22,6,"[0, 1]"
mixed,2024-05-26,5,"[0, 1]"
mixed,2024-05-28,9,"[0, 1]"
mixed,2024-05-30,5,"[0, 1]"
mixed,2024-06-01,9,[1]
mixed,2024-06-02,6,[1]
mixed,2024-06-03,5,"[0, 1]"
mixed,2024-06-04,6,[0]
mixed,2024-06-05,5,[1]
mixed,2024-06-07,7,"[0, 1]"
mixed,2024-06-09,6,"[0, 1]"
mixed,2024-06-11,7,"[0, 1]"
mixed,2024-06-12,5,"[0, 1]"
mixed,2024-06-13,6,[0]
mixed,2024-06-14,6,"[0, 1]"
mixed,2024-06-16,5,"[0, 1]"
mixed,2024-06-18,6,"[0, 1]"
mixed,2024-06-19,6,[1]
mixed,2024-06-20,5,"[0, 1]"
mixed,2024-06-21,6,"[0, 1]"
mixed,2024-06-24,5,"[0, 1]"
mixed,2024-06-25,5,"[0, 1]"
mixed,2024-06-26,5,"[0, 1]"
mixed,2024-06-28,11,"[0, 1]"
mixed,2024-07-01,14,"[0, 1]"
mixed,2024-07-02,12,"[0, 1]"
mixed,2024-07-03,6,"[0, 1]"
mixed,2024-07-08,8,"[0, 1]"
mixed,2024-07-10,5,"[0, 1]"
mixed,2024-07-11,8,"[0, 1]"
mixed,2024-07-16,6,[0]
mixed,2024-07-17,12,"[0, 1]"
mixed,2024-07-18,13,"[0, 1]"
mixed,2024-07-20,5,"[0, 1]"
mixed,2024-07-23,7,"[0, 1]"
mixed,2024-07-25,5,"[0, 1]"
mixed,2024-07-26,5,"[0, 1]"
mixed,2024-07-27,5,"[0, 1]"
mixed,2024-07-30,6,"[0, 1]"
mixed,2024-08-01,17,"[0, 1]"
mixed,2024-08-02,11,"[0, 1]"
mixed,2024-08-06,5,"[0, 1]"
mixed,2024-08-07,5,[0]
mixed,2024-08-13,11,"[0, 1]"
mixed,2024-08-14,6,"[0, 1]"
mixed,2024-08-15,6,"[0, 1]"
mixed,2024-08-16,6,"[0, 1]"
mixed,2024-08-19,6,[1]
mixed,2024-08-21,12,"[0, 1]"
mixed,2024-08-22,10,"[0, 1]"
mixed,2024-08-23,5,"[0, 1]"
mixed,2024-08-24,5,"[0, 1]"
mixed,2024-08-25,6,[1]
mixed,2024-08-27,13,"[0, 1]"
mixed,2024-08-28,9,"[0, 1]"
mixed,2024-08-30,8,[1]
mixed,2024-08-31,5,"[0, 1]"
mixed,2024-09-01,9,[1]
mixed,2024-09-02,5,"[0, 1]"
mixed,2024-09-03,5,"[0, 1]"
mixed,2024-09-04,13,"[0, 1]"
mixed,2024-09-05,7,"[0, 1]"
mixed,2024-09-06,8,"[0, 1]"
mixed,2024-09-10,6,"[0, 1]"
mixed,2024-09-11,6,"[0, 1]"
mixed,2024-09-12,5,"[0, 1]"
mixed,2024-09-13,8,"[0, 1]"
mixed,2024-09-15,5,[1]
mixed,2024-09-16,6,"[0, 1]"
mixed,2024-09-17,9,"[0, 1]"
mixed,2024-09-19,8,"[0, 1]"
mixed,2024-09-20,8,"[0, 1]"
mixed,2024-09-23,10,"[0, 1]"
mixed,2024-09-25,16,"[0, 1]"
mixed,2024-09-27,11,"[0, 1]"
mixed,2024-09-29,5,[1]
mixed,2024-09-30,6,"[0, 1]"
mixed,2024-10-01,10,"[0, 1]"
mixed,2024-10-04,6,"[0, 1]"
mixed,2024-10-05,5,"[0, 1]"
mixed,2024-10-07,6,"[0, 1]"
mixed,2024-10-08,5,[1]
mixed,2024-10-09,5,"[0, 1]"
mixed,2024-10-10,9,"[0, 1]"
mixed,2024-10-11,9,"[0, 1]"
mixed,2024-10-13,7,"[0, 1]"
mixed,2024-10-17,6,"[0, 1]"
mixed,2024-10-18,6,"[0, 1]"
mixed,2024-10-20,5,"[0, 1]"
mixed,2024-10-21,12,"[0, 1]"
mixed,2024-10-23,5,"[0, 1]"
mixed,2024-10-24,8,"[0, 1]"
mixed,2024-10-25,11,"[0, 1]"
mixed,2024-10-27,6,"[0, 1]"
mixed,2024-10-28,8,"[0, 1]"
mixed,2024-10-31,5,"[0, 1]"
mixed,2024-11-01,18,"[0, 1]"
mixed,2024-11-03,5,"[0, 1]"
mixed,2024-11-04,6,"[0, 1]"
mixed,2024-11-05,6,"[0, 1]"
mixed,2024-11-06,9,"[0, 1]"
mixed,2024-11-08,7,"[0, 1]"
mixed,2024-11-10,6,[1]
mixed,2024-11-11,6,[0]
mixed,2024-11-13,5,[0]
mixed,2024-11-15,11,"[0, 1]"
