stream_group,time_window,drift_score,n_articles
mixed,2024-03-22,0.7948662534047313,6
mixed,2024-03-29,0.8195605545568223,9
mixed,2024-03-30,0.9149223602184998,7
mixed,2024-04-01,0.7024223062612998,10
mixed,2024-04-02,0.6832716966940622,9
mixed,2024-04-04,0.6597970698120743,9
mixed,2024-04-05,0.7795131990006766,5
mixed,2024-04-08,0.8123659433260585,7
mixed,2024-04-09,0.8490033635857008,5
mixed,2024-04-10,0.8647389278203278,9
mixed,2024-04-11,0.8172761761068283,6
mixed,2024-04-15,0.8696196412650197,6
mixed,2024-04-24,0.8467114568909695,11
mixed,2024-04-25,0.8460073706367437,7
mixed,2024-04-29,0.881696075260042,5
mixed,2024-04-30,0.8230415230649464,12
mixed,2024-05-01,0.4762228842390406,9
mixed,2024-05-02,0.6971354586878096,5
mixed,2024-05-03,0.7460342275377426,8
mixed,2024-05-08,0.6765709722786333,6
mixed,2024-05-10,0.8759057490101145,6
mixed,2024-05-12,0.8980038679294315,7
mixed,2024-05-15,0.8134507262476824,9
mixed,2024-05-16,0.7296749799927749,8
mixed,2024-05-20,0.7402157929254394,8
mixed,2024-05-22,0.6049175462832577,6
mixed,2024-05-26,0.8242200517253946,5
mixed,2024-05-28,0.9373446520275567,9
mixed,2024-05-30,0.9024898282413543,5
mixed,2024-06-01,0.815983280974262,9
mixed,2024-06-02,0.7797472581270024,6
mixed,2024-06-03,0.9004874161790672,5
mixed,2024-06-04,0.8593751004775829,6
mixed,2024-06-05,0.8887656533718684,5
mixed,2024-06-07,0.7702096840411642,7
mixed,2024-06-09,0.8167461210281775,6
mixed,2024-06-11,0.8751928862998687,7
mixed,2024-06-12,0.8091039386457595,5
mixed,2024-06-13,0.8442905590193757,6
mixed,2024-06-14,0.8218939584385555,6
mixed,2024-06-16,0.862056717299517,5
mixed,2024-06-18,0.8126535339369937,6
mixed,2024-06-19,0.7481032010366059,6
mixed,2024-06-20,0.866105222324845,5
mixed,2024-06-21,0.7917349542804493,6
mixed,2024-06-24,0.8578718570735737,5
mixed,2024-06-25,0.9197286793792434,5
mixed,2024-06-26,0.5684937116852258,5
mixed,2024-06-28,0.8741836474242841,11
mixed,2024-07-01,0.709184904620716,14
mixed,2024-07-02,0.8120974378571687,12
mixed,2024-07-03,0.8005692861315002,6
mixed,2024-07-08,0.7739233588279693,8
mixed,2024-07-10,0.6737870905700794,5
mixed,2024-07-11,0.6718541077065001,8
mixed,2024-07-16,0.8956150454370836,6
mixed,2024-07-17,0.7660397289140557,12
mixed,2024-07-18,0.5734489891794206,13
mixed,2024-07-20,0.6022824716047839,5
mixed,2024-07-23,0.6646553894276639,7
mixed,2024-07-25,0.9194729615194195,5
mixed,2024-07-26,0.9364006564112173,5
mixed,2024-07-27,0.8954237791946564,5
mixed,2024-07-30,0.8975392148932831,6
mixed,2024-08-01,0.7791616872548802,17
mixed,2024-08-02,0.6977882068844168,11
mixed,2024-08-06,0.7463023103564657,5
mixed,2024-08-07,0.7931034207441834,5
mixed,2024-08-13,0.8741122364037045,11
mixed,2024-08-14,0.7814334915145614,6
mixed,2024-08-15,0.8101750260172196,6
mixed,2024-08-16,0.7264539361184883,6
mixed,2024-08-19,0.7847713487692785,6
mixed,2024-08-21,0.7443550783560072,12
mixed,2024-08-22,0.6571919977684253,10
mixed,2024-08-23,0.6676010157698336,5
mixed,2024-08-24,0.8277086960452641,5
mixed,2024-08-25,0.7361828258592513,6
mixed,2024-08-27,0.8254530052494219,13
mixed,2024-08-28,0.7606913435213255,9
mixed,2024-08-30,0.8074422903945984,8
mixed,2024-08-31,0.7361526033355212,5
mixed,2024-09-01,0.8794509314088658,9
mixed,2024-09-02,0.8407175344183049,5
mixed,2024-09-03,0.8076757328995569,5
mixed,2024-09-04,0.5991019789433192,13
mixed,2024-09-05,0.6750624197705298,7
mixed,2024-09-06,0.6864557874362612,8
mixed,2024-09-10,0.7554658390576875,6
mixed,2024-09-11,0.7760802317969066,6
mixed,2024-09-12,0.7906053046967197,5
mixed,2024-09-13,0.7555157495287217,8
mixed,2024-09-15,0.8288724424760577,5
mixed,2024-09-16,0.7752743077760615,6
mixed,2024-09-17,0.6776911401231068,9
mixed,2024-09-19,0.7745602517184405,8
mixed,2024-09-20,0.7914342338149398,8
mixed,2024-09-23,0.5069077914972873,10
mixed,2024-09-25,0.6519300590653251,16
mixed,2024-09-27,0.6138015372217438,11
mixed,2024-09-29,0.7161910523653847,5
mixed,2024-09-30,0.6483313177275254,6
mixed,2024-10-01,0.7377053272343062,10
mixed,2024-10-04,0.7352550817717848,6
mixed,2024-10-05,0.7777545926388152,5
mixed,2024-10-07,0.6774648293140271,6
mixed,2024-10-08,0.8033240289365999,5
mixed,2024-10-09,0.669374247534757,5
mixed,2024-10-10,0.8215173728431578,9
mixed,2024-10-11,0.77938054522218,9
mixed,2024-10-13,0.7066119954368063,7
mixed,2024-10-17,0.644832304789,6
mixed,2024-10-18,0.7177648494210298,6
mixed,2024-10-20,0.8669408457352281,5
mixed,2024-10-21,0.8559296202176974,12
mixed,2024-10-23,0.7479141000311658,5
mixed,2024-10-24,0.7777226366170216,8
mixed,2024-10-25,0.627855542272862,11
mixed,2024-10-27,0.8799833560955203,6
mixed,2024-10-28,0.8638890935801555,8
mixed,2024-10-31,0.7579826244081092,5
mixed,2024-11-01,0.6956763202294254,18
mixed,2024-11-03,0.6962285158845827,5
mixed,2024-11-04,0.8798871671874733,6
mixed,2024-11-05,0.7982411295573788,6
mixed,2024-11-06,0.6476729904825458,9
mixed,2024-11-08,0.6688089631449893,7
mixed,2024-11-10,0.7353367102834204,6
mixed,2024-11-11,0.8495576806165888,6
mixed,2024-11-13,0.7407996299976758,5
mixed,2024-11-15,0.6832182500726718,11
mixed,2024-11-20,0.7178012806136489,6
mixed,2024-11-21,0.7690606958321277,5
mixed,2024-11-23,0.7848160714748182,8
mixed,2024-11-24,0.8420913178967766,7
mixed,2024-11-25,0.7610565138304153,9
mixed,2024-11-29,0.7832483823188287,5
mixed,2024-12-01,0.8271965693809094,8
mixed,2024-12-03,0.847858324210785,6
mixed,2024-12-04,0.8350705500894056,7
mixed,2024-12-08,0.8565900986537036,6
mixed,2024-12-09,0.8205513990291945,6
mixed,2024-12-11,0.8108795271828596,5
mixed,2024-12-12,0.8966172422593127,5
mixed,2024-12-13,0.8929295218763849,9
mixed,2024-12-15,0.8380496078371344,5
mixed,2024-12-16,0.876486318278146,5
mixed,2024-12-17,0.7616495099130304,10
mixed,2024-12-18,0.7798170710572482,13
mixed,2024-12-19,0.7017935905028844,5
mixed,2024-12-20,0.7211793367680542,5
mixed,2024-12-27,0.9058789706164517,5
mixed,2024-12-30,0.9037208776156722,5
mixed,2025-01-06,0.8497532673415203,7
mixed,2025-01-08,0.7922830060861876,11
mixed,2025-01-09,0.7781875853636439,9
mixed,2025-01-13,0.7727934124772842,6
mixed,2025-01-16,0.7873518947418547,8
mixed,2025-01-17,0.7752231158693776,6
mixed,2025-01-20,0.8028764317339642,9
mixed,2025-01-21,0.8276308142849108,5
mixed,2025-01-22,0.82756910927567,7
mixed,2025-01-23,0.690823985610128,10
mixed,2025-01-24,0.7769644634732243,8
mixed,2025-01-29,0.7845219035297736,7
mixed,2025-01-30,0.7626520211197529,7
mixed,2025-01-31,0.7463307541493001,6
mixed,2025-02-01,0.8772314729376146,6
mixed,2025-02-03,0.9033205647137553,8
mixed,2025-02-04,0.810722100229432,12
mixed,2025-02-05,0.7085806664134559,8
