stream_group,time_window,drift_score,n_articles
left,2024-04-08,0.7427426770494743,19
left,2024-04-15,0.7270581863916414,17
left,2024-04-22,0.7357021739720884,16
left,2024-04-29,0.5321293890102226,20
left,2024-05-06,0.7853131003754397,16
left,2024-06-03,0.7951093140427348,15
left,2024-06-10,0.6833317852836729,19
left,2024-06-24,0.5942164814412618,15
left,2024-07-08,0.666961660119963,17
left,2024-07-15,0.6406580280330675,24
left,2024-07-29,0.6528272941753369,16
left,2024-08-12,0.6879142895899684,18
left,2024-08-19,0.7020301476058499,23
left,2024-08-26,0.7536696919068078,15
left,2024-09-02,0.7155064910300917,22
left,2024-09-09,0.6757369578202399,21
left,2024-09-23,0.6469430113998853,25
left,2024-10-07,0.678784258591783,19
left,2024-10-21,0.5912981200138221,29
left,2024-10-28,0.5070138633278727,18
left,2024-11-04,0.6065092988625125,16
left,2024-11-11,0.6117744163502433,21
left,2024-11-18,0.7803690774143868,15
left,2024-11-25,0.8444975642811947,18
left,2024-12-09,0.7596194704758906,15
left,2024-12-16,0.7034353709256327,21
left,2025-01-06,0.716586358379035,18
left,2025-01-13,0.7872176825818316,15
left,2025-01-20,0.820552088964324,24
left,2025-01-27,0.8121032667377969,15
left,2025-02-03,0.8027160192929397,27
left,2025-02-10,0.7168894108428887,19
mixed,2024-03-25,0.7003520978531607,33
mixed,2024-04-01,0.6596862396674963,44
mixed,2024-04-08,0.6673185669366541,32
mixed,2024-04-15,0.678013404129102,22
mixed,2024-04-22,0.7054206995909666,34
mixed,2024-04-29,0.4944170628933813,44
mixed,2024-05-06,0.6804501624626551,28
mixed,2024-05-13,0.6483683217123241,28
mixed,2024-05-20,0.5910050215086124,25
mixed,2024-05-27,0.49311076201667636,38
mixed,2024-06-03,0.6865592836672088,31
mixed,2024-06-10,0.5991401619746217,33
mixed,2024-06-17,0.5837475751331649,32
mixed,2024-06-24,0.6428957622174785,34
mixed,2024-07-01,0.663404150033133,43
mixed,2024-07-08,0.6040102028368456,32
mixed,2024-07-15,0.5842524575121274,41
mixed,2024-07-22,0.6364334142236245,27
mixed,2024-07-29,0.6482148808978795,41
mixed,2024-08-05,0.5970378225562902,24
mixed,2024-08-12,0.6204057463789735,37
mixed,2024-08-19,0.5519503823869466,48
mixed,2024-08-26,0.5863522415471026,45
mixed,2024-09-02,0.5344417498998423,42
mixed,2024-09-09,0.5679587778848642,36
mixed,2024-09-16,0.6142739033655971,40
mixed,2024-09-23,0.5473550490246862,49
mixed,2024-09-30,0.5180074025594019,35
mixed,2024-10-07,0.5039628014042249,45
mixed,2024-10-14,0.5109927549726656,27
mixed,2024-10-21,0.5205552808487262,48
mixed,2024-10-28,0.4656779870486779,38
mixed,2024-11-04,0.5090836630017148,38
mixed,2024-11-11,0.5323245112970819,31
mixed,2024-11-18,0.6618952050748214,29
mixed,2024-11-25,0.7346524353857741,34
mixed,2024-12-02,0.6729362975453327,25
mixed,2024-12-09,0.6875162719857295,33
mixed,2024-12-16,0.5937578403774149,43
mixed,2024-12-30,0.6742304978148689,25
mixed,2025-01-06,0.7116800874292107,37
mixed,2025-01-13,0.643004400796723,29
mixed,2025-01-20,0.6971948160597585,45
mixed,2025-01-27,0.724909815478519,32
mixed,2025-02-03,0.6813086031305757,57
mixed,2025-02-10,0.6120423704797627,27
mixed,2025-02-17,0.568500397101597,19
right,2024-04-01,0.5446118104794816,23
right,2024-04-22,0.6410990641838371,18
right,2024-04-29,0.6897713489500875,24
right,2024-05-13,0.684477420411703,17
right,2024-05-20,0.6979447874338869,17
right,2024-05-27,0.6072616209333704,28
right,2024-06-03,0.686495192089878,16
right,2024-06-17,0.6584578634614142,20
right,2024-06-24,0.6754096655682219,19
right,2024-07-01,0.6051269849633208,29
right,2024-07-08,0.6204725277910517,15
right,2024-07-15,0.4710902075830713,17
right,2024-07-29,0.5233957004789884,25
right,2024-08-12,0.46649755502462986,19
right,2024-08-19,0.4117923600172406,25
right,2024-08-26,0.4713310919090755,30
right,2024-09-02,0.40340610862965454,20
right,2024-09-09,0.5373731572210942,15
right,2024-09-16,0.6240178836700889,26
right,2024-09-23,0.5343149679756644,24
right,2024-09-30,0.494172642193355,23
right,2024-10-07,0.42246393109969105,26
right,2024-10-14,0.32238924735905394,15
right,2024-10-21,0.41005619903137447,19
right,2024-10-28,0.5498734200759642,20
right,2024-11-04,0.5599527262702486,22
right,2024-11-25,0.6166613697929568,16
right,2024-12-09,0.601120006981732,18
right,2024-12-16,0.48565305207595943,22
right,2024-12-30,0.6568985162118555,16
right,2025-01-06,0.6740664125909642,19
right,2025-01-20,0.5440869355481166,21
right,2025-01-27,0.662369569563523,17
right,2025-02-03,0.5558557773836552,30
