stream_group,time_window,drift_score,n_articles
left,2024-04-08,0.7427426770494743,19
left,2024-04-15,0.7270581863916414,17
left,2024-04-22,0.7357021739720884,16
left,2024-04-29,0.5321293890102226,20
left,2024-05-06,0.7853131003754397,16
left,2024-06-03,0.7951093140427348,15
left,2024-06-10,0.6833317852836729,19
left,2024-06-24,0.5942164814412618,15
left,2024-07-08,0.666961660119963,17
left,2024-07-15,0.6406580280330675,24
left,2024-07-29,0.6528272941753369,16
left,2024-08-12,0.6879142895899684,18
left,2024-08-19,0.7020301476058499,23
left,2024-08-26,0.7536696919068078,15
left,2024-09-02,0.7155064910300917,22
left,2024-09-09,0.6757369578202399,21
left,2024-09-23,0.6469430113998853,25
left,2024-10-07,0.678784258591783,19
left,2024-10-21,0.5912981200138221,29
left,2024-10-28,0.5070138633278727,18
left,2024-11-04,0.6065092988625125,16
left,2024-11-11,0.6117744163502433,21
left,2024-11-18,0.7803690774143868,15
left,2024-11-25,0.8444975642811947,18
left,2024-12-09,0.7596194704758906,15
left,2024-12-16,0.7034353709256327,21
left,2025-01-06,0.716586358379035,18
left,2025-01-13,0.7872176825818316,15
left,2025-01-20,0.820552088964324,24
left,2025-01-27,0.8121032667377969,15
left,2025-02-03,0.8027160192929397,27
left,2025-02-10,0.7168894108428887,19
