stream_group,time_window,drift_score,n_articles
mixed,2024-03-25,0.7003520978531607,33
mixed,2024-04-01,0.6596862396674963,44
mixed,2024-04-08,0.6673185669366541,32
mixed,2024-04-15,0.678013404129102,22
mixed,2024-04-22,0.7054206995909666,34
mixed,2024-04-29,0.4944170628933813,44
mixed,2024-05-06,0.6804501624626551,28
mixed,2024-05-13,0.6483683217123241,28
mixed,2024-05-20,0.5910050215086124,25
mixed,2024-05-27,0.49311076201667636,38
mixed,2024-06-03,0.6865592836672088,31
mixed,2024-06-10,0.5991401619746217,33
mixed,2024-06-17,0.5837475751331649,32
mixed,2024-06-24,0.6428957622174785,34
mixed,2024-07-01,0.663404150033133,43
mixed,2024-07-08,0.6040102028368456,32
mixed,2024-07-15,0.5842524575121274,41
mixed,2024-07-22,0.6364334142236245,27
mixed,2024-07-29,0.6482148808978795,41
mixed,2024-08-05,0.5970378225562902,24
mixed,2024-08-12,0.6204057463789735,37
mixed,2024-08-19,0.5519503823869466,48
mixed,2024-08-26,0.5863522415471026,45
mixed,2024-09-02,0.5344417498998423,42
mixed,2024-09-09,0.5679587778848642,36
mixed,2024-09-16,0.6142739033655971,40
mixed,2024-09-23,0.5473550490246862,49
mixed,2024-09-30,0.5180074025594019,35
mixed,2024-10-07,0.5039628014042249,45
mixed,2024-10-14,0.5109927549726656,27
mixed,2024-10-21,0.5205552808487262,48
mixed,2024-10-28,0.4656779870486779,38
mixed,2024-11-04,0.5090836630017148,38
mixed,2024-11-11,0.5323245112970819,31
mixed,2024-11-18,0.6618952050748214,29
mixed,2024-11-25,0.7346524353857741,34
mixed,2024-12-02,0.6729362975453327,25
mixed,2024-12-09,0.6875162719857295,33
mixed,2024-12-16,0.5937578403774149,43
mixed,2024-12-30,0.6742304978148689,25
mixed,2025-01-06,0.7116800874292107,37
mixed,2025-01-13,0.643004400796723,29
mixed,2025-01-20,0.6971948160597585,45
mixed,2025-01-27,0.724909815478519,32
mixed,2025-02-03,0.6813086031305757,57
mixed,2025-02-10,0.6120423704797627,27
mixed,2025-02-17,0.568500397101597,19
