stream_group,time_window,n_articles,labels
mixed,2024-03-18,18,"[0, 1]"
mixed,2024-03-25,33,"[0, 1]"
mixed,2024-04-01,44,"[0, 1]"
mixed,2024-04-08,32,"[0, 1]"
mixed,2024-04-15,22,"[0, 1]"
mixed,2024-04-22,34,"[0, 1]"
mixed,2024-04-29,44,"[0, 1]"
mixed,2024-05-06,28,"[0, 1]"
mixed,2024-05-13,28,"[0, 1]"
mixed,2024-05-20,25,"[0, 1]"
mixed,2024-05-27,38,"[0, 1]"
mixed,2024-06-03,31,"[0, 1]"
mixed,2024-06-10,33,"[0, 1]"
mixed,2024-06-17,32,"[0, 1]"
mixed,2024-06-24,34,"[0, 1]"
mixed,2024-07-01,43,"[0, 1]"
mixed,2024-07-08,32,"[0, 1]"
mixed,2024-07-15,41,"[0, 1]"
mixed,2024-07-22,27,"[0, 1]"
mixed,2024-07-29,41,"[0, 1]"
mixed,2024-08-05,24,"[0, 1]"
mixed,2024-08-12,37,"[0, 1]"
mixed,2024-08-19,48,"[0, 1]"
mixed,2024-08-26,45,"[0, 1]"
mixed,2024-09-02,42,"[0, 1]"
mixed,2024-09-09,36,"[0, 1]"
mixed,2024-09-16,40,"[0, 1]"
mixed,2024-09-23,49,"[0, 1]"
mixed,2024-09-30,35,"[0, 1]"
mixed,2024-10-07,45,"[0, 1]"
mixed,2024-10-14,27,"[0, 1]"
mixed,2024-10-21,48,"[0, 1]"
mixed,2024-10-28,38,"[0, 1]"
mixed,2024-11-04,38,"[0, 1]"
mixed,2024-11-11,31,"[0, 1]"
mixed,2024-11-18,29,"[0, 1]"
mixed,2024-11-25,34,"[0, 1]"
mixed,2024-12-02,25,"[0, 1]"
mixed,2024-12-09,33,"[0, 1]"
mixed,2024-12-16,43,"[0, 1]"
mixed,2024-12-30,25,"[0, 1]"
mixed,2025-01-06,37,"[0, 1]"
mixed,2025-01-13,29,"[0, 1]"
mixed,2025-01-20,45,"[0, 1]"
mixed,2025-01-27,32,"[0, 1]"
mixed,2025-02-03,57,"[0, 1]"
mixed,2025-02-10,27,"[0, 1]"
mixed,2025-02-17,19,"[0, 1]"
