stream_group,time_window,drift_score,n_articles
right,2024-04-01,0.5446118104794816,23
right,2024-04-22,0.6410990641838371,18
right,2024-04-29,0.6897713489500875,24
right,2024-05-13,0.684477420411703,17
right,2024-05-20,0.6979447874338869,17
right,2024-05-27,0.6072616209333704,28
right,2024-06-03,0.686495192089878,16
right,2024-06-17,0.6584578634614142,20
right,2024-06-24,0.6754096655682219,19
right,2024-07-01,0.6051269849633208,29
right,2024-07-08,0.6204725277910517,15
right,2024-07-15,0.4710902075830713,17
right,2024-07-29,0.5233957004789884,25
right,2024-08-12,0.46649755502462986,19
right,2024-08-19,0.4117923600172406,25
right,2024-08-26,0.4713310919090755,30
right,2024-09-02,0.40340610862965454,20
right,2024-09-09,0.5373731572210942,15
right,2024-09-16,0.6240178836700889,26
right,2024-09-23,0.5343149679756644,24
right,2024-09-30,0.494172642193355,23
right,2024-10-07,0.42246393109969105,26
right,2024-10-14,0.32238924735905394,15
right,2024-10-21,0.41005619903137447,19
right,2024-10-28,0.5498734200759642,20
right,2024-11-04,0.5599527262702486,22
right,2024-11-25,0.6166613697929568,16
right,2024-12-09,0.601120006981732,18
right,2024-12-16,0.48565305207595943,22
right,2024-12-30,0.6568985162118555,16
right,2025-01-06,0.6740664125909642,19
right,2025-01-20,0.5440869355481166,21
right,2025-01-27,0.662369569563523,17
right,2025-02-03,0.5558557773836552,30
