stream_group,detector,time_window,drift_score,n_articles
left,KSWIN,2024-09-20,0.9504467248916626,5
left,KSWIN,2025-02-06,0.7495614290237427,7
mixed,KSWIN,2024-05-19,0.6272144317626953,15
mixed,KSWIN,2024-06-28,0.8642818927764893,7
mixed,KSWIN,2024-07-18,0.9336228370666504,8
mixed,KSWIN,2024-10-31,0.6567411422729492,20
right,KSWIN,2024-04-21,0.6050183176994324,12
right,KSWIN,2024-07-22,0.6616650819778442,13
right,KSWIN,2024-09-22,0.8902707099914551,13
right,KSWIN,2024-11-29,0.9056320786476135,17
right,KSWIN,2025-01-31,0.8684434294700623,29
