stream_group,time_window,drift_score,n_articles
mixed,2024-03-24,0.7956568598747253,14
mixed,2024-03-29,0.8594673275947571,25
mixed,2024-03-30,0.9697755575180054,21
mixed,2024-03-31,0.8237088322639465,9
mixed,2024-04-01,0.8421838283538818,15
mixed,2024-04-04,0.8211223483085632,5
mixed,2024-04-06,0.88509601354599,5
mixed,2024-04-07,0.753064751625061,12
mixed,2024-04-08,0.7912251949310303,5
mixed,2024-04-10,0.9587642550468445,6
mixed,2024-04-11,0.7904199361801147,6
mixed,2024-04-14,0.8706439733505249,14
mixed,2024-04-15,0.633202314376831,6
mixed,2024-04-21,0.763545036315918,12
mixed,2024-04-24,0.8352789878845215,6
mixed,2024-04-27,0.7693123817443848,6
mixed,2024-04-28,0.7437241673469543,8
mixed,2024-04-29,0.6746830344200134,11
mixed,2024-04-30,0.8155441284179688,25
mixed,2024-05-01,0.9099720120429993,29
mixed,2024-05-03,0.7260000109672546,6
mixed,2024-05-05,0.757037341594696,14
mixed,2024-05-10,0.657374382019043,5
mixed,2024-05-12,0.6075125932693481,14
mixed,2024-05-16,0.7046232223510742,5
mixed,2024-05-19,0.6272144317626953,15
mixed,2024-05-26,0.7482854723930359,15
mixed,2024-05-31,0.8484486937522888,5
mixed,2024-06-01,0.3920007348060608,46
mixed,2024-06-02,0.6647252440452576,13
mixed,2024-06-04,0.769027590751648,6
mixed,2024-06-09,0.8374636173248291,13
mixed,2024-06-13,0.9138796925544739,6
mixed,2024-06-16,0.9856556057929993,15
mixed,2024-06-23,0.9870300889015198,10
mixed,2024-06-28,0.8642818927764893,7
mixed,2024-06-29,0.7537370920181274,7
mixed,2024-06-30,0.767277717590332,16
mixed,2024-07-01,0.7642204761505127,34
mixed,2024-07-02,0.4565204381942749,7
mixed,2024-07-07,0.40348225831985474,9
mixed,2024-07-08,0.33851003646850586,11
mixed,2024-07-14,0.8659919500350952,16
mixed,2024-07-16,0.9964897632598877,6
mixed,2024-07-17,0.9210442900657654,5
mixed,2024-07-18,0.9336228370666504,8
mixed,2024-07-22,0.6952647566795349,13
mixed,2024-07-23,0.9851212501525879,5
mixed,2024-07-27,0.8829553127288818,11
mixed,2024-08-01,0.802573025226593,55
mixed,2024-08-02,0.8021178245544434,7
mixed,2024-08-03,0.8083142638206482,10
mixed,2024-08-04,0.5723202228546143,6
mixed,2024-08-07,0.6817129254341125,5
mixed,2024-08-10,0.8753995895385742,7
mixed,2024-08-11,0.8700207471847534,5
mixed,2024-08-14,0.7620445489883423,5
mixed,2024-08-18,0.5111986398696899,12
mixed,2024-08-21,0.7027885317802429,9
mixed,2024-08-22,0.7032322287559509,7
mixed,2024-08-25,0.588931679725647,14
mixed,2024-08-27,0.5252678990364075,9
mixed,2024-08-30,0.4888623356819153,22
mixed,2024-08-31,0.6352337598800659,9
mixed,2024-09-01,0.7295475006103516,26
mixed,2024-09-02,0.8430440425872803,11
mixed,2024-09-04,0.4714449644088745,6
mixed,2024-09-06,0.8077535629272461,5
mixed,2024-09-08,0.9960139989852905,14
mixed,2024-09-10,0.8831823468208313,5
mixed,2024-09-13,0.7961508631706238,5
mixed,2024-09-15,0.8482518196105957,14
mixed,2024-09-20,0.9658874273300171,5
mixed,2024-09-22,0.906926691532135,13
mixed,2024-09-23,0.9466531276702881,5
mixed,2024-09-25,0.8001445531845093,11
mixed,2024-09-27,0.8446407318115234,7
mixed,2024-09-29,0.8572438955307007,11
mixed,2024-09-30,0.5286706686019897,10
mixed,2024-10-01,0.9623028039932251,45
mixed,2024-10-06,0.8574832677841187,13
mixed,2024-10-07,0.8032709956169128,5
mixed,2024-10-10,0.5739864110946655,5
mixed,2024-10-13,0.74451744556427,14
mixed,2024-10-20,0.9123876094818115,16
mixed,2024-10-21,0.913935124874115,10
mixed,2024-10-24,0.867051899433136,5
mixed,2024-10-25,0.4785253405570984,5
mixed,2024-10-26,0.5090526342391968,6
mixed,2024-10-27,0.7398190498352051,14
mixed,2024-10-31,0.6567411422729492,20
mixed,2024-11-01,0.5809733867645264,46
mixed,2024-11-03,0.8095191121101379,8
mixed,2024-11-04,0.6016982793807983,10
mixed,2024-11-05,0.6266626119613647,5
mixed,2024-11-10,0.7351148128509521,14
mixed,2024-11-11,0.7886151075363159,6
mixed,2024-11-13,0.6238915920257568,5
mixed,2024-11-15,0.558292806148529,7
mixed,2024-11-16,0.9666858315467834,11
mixed,2024-11-24,0.9105098247528076,15
mixed,2024-11-25,0.9195067286491394,8
mixed,2024-11-29,0.6758931875228882,18
mixed,2024-11-30,0.7907869815826416,10
mixed,2024-12-01,0.9166325330734253,32
mixed,2024-12-03,0.7794145345687866,5
mixed,2024-12-08,0.8140778541564941,15
mixed,2024-12-09,0.8215631246566772,5
mixed,2024-12-15,0.8503795862197876,13
mixed,2024-12-17,0.7637102603912354,6
mixed,2024-12-18,0.8431121110916138,8
mixed,2024-12-21,0.9746403098106384,10
mixed,2024-12-22,0.739162027835846,5
mixed,2024-12-28,0.8108546137809753,5
mixed,2024-12-29,0.7375872135162354,6
mixed,2024-12-30,0.7976304292678833,10
mixed,2024-12-31,0.8286759853363037,34
mixed,2025-01-01,0.7926009893417358,9
mixed,2025-01-05,0.7012901306152344,15
mixed,2025-01-06,0.5765538811683655,5
mixed,2025-01-09,0.7895486950874329,6
mixed,2025-01-11,0.875648558139801,10
mixed,2025-01-12,0.5371862649917603,6
mixed,2025-01-13,0.7902085781097412,5
mixed,2025-01-16,0.9472300410270691,5
mixed,2025-01-19,0.9564216732978821,13
mixed,2025-01-20,0.7371411323547363,7
mixed,2025-01-23,0.9803894758224487,7
mixed,2025-01-24,0.9811180233955383,5
mixed,2025-01-26,0.9406740665435791,15
mixed,2025-01-30,1.0264698266983032,13
mixed,2025-01-31,0.6879132986068726,32
mixed,2025-02-01,1.017822504043579,20
mixed,2025-02-02,0.7913549542427063,9
mixed,2025-02-03,0.8633039593696594,12
mixed,2025-02-04,0.7355062961578369,5
mixed,2025-02-06,0.7495614290237427,7
mixed,2025-02-07,0.7107203602790833,5
mixed,2025-02-09,0.704303503036499,15
mixed,2025-02-13,0.8333278894424438,5
mixed,2025-02-16,0.544623851776123,14
mixed,2025-02-19,0.7462961673736572,5
