stream_group,detector,time_window,drift_score,n_articles
left,KSWIN,2024-08-02,0.7523961566048042,7
left,KSWIN,2024-11-05,0.47952841453238526,5
left,KSWIN,2024-12-18,0.8461117720249278,8
left,KSWIN,2025-02-19,0.7527071430555562,5
mixed,KSWIN,2024-04-08,0.8577578118045757,5
mixed,KSWIN,2024-05-03,0.5824992461331199,6
mixed,KSWIN,2024-08-14,0.8418793391579571,5
mixed,KSWIN,2024-09-04,0.6807466344134498,6
mixed,KSWIN,2024-11-11,0.8299558928572883,6
mixed,KSWIN,2024-12-15,0.8534038080780106,13
mixed,KSWIN,2025-02-02,0.5503115074309197,9
right,KSWIN,2024-08-25,0.7874548100420307,14
right,KSWIN,2024-11-16,0.7405971994993791,11
right,KSWIN,2025-01-12,0.7057154429642901,5
