stream_group,time_window,drift_score,n_articles
mixed,2024-03-24,0.6600198116652185,14
mixed,2024-03-29,0.7443053393344155,25
mixed,2024-03-30,0.7291295562571469,21
mixed,2024-03-31,0.3735441277128002,9
mixed,2024-04-01,0.7283271418328972,15
mixed,2024-04-04,0.7921739099725613,5
mixed,2024-04-06,0.9158777372077437,5
mixed,2024-04-07,0.8716827050545074,12
mixed,2024-04-08,0.8577578118045757,5
mixed,2024-04-10,0.8498997493706062,6
mixed,2024-04-11,0.8423200597174126,6
mixed,2024-04-14,0.8950222227015898,14
mixed,2024-04-15,0.83198334721492,6
mixed,2024-04-21,0.8294992835461098,12
mixed,2024-04-24,0.8553454617224087,6
mixed,2024-04-27,0.8809501873828736,6
mixed,2024-04-28,0.8597190828191045,8
mixed,2024-04-29,0.7897977191776747,11
mixed,2024-04-30,0.6516411284400228,25
mixed,2024-05-01,0.44131938111688795,29
mixed,2024-05-03,0.5824992461331199,6
mixed,2024-05-05,0.765527637900169,14
mixed,2024-05-10,0.8422374385585865,5
mixed,2024-05-12,0.8834664912701551,14
mixed,2024-05-16,0.6941690358526389,5
mixed,2024-05-19,0.7347274119946362,15
mixed,2024-05-26,0.765708561039836,15
mixed,2024-05-31,0.8513276242682986,5
mixed,2024-06-01,0.6634121885945101,46
mixed,2024-06-02,0.7147100215615971,13
mixed,2024-06-04,0.86104185677572,6
mixed,2024-06-09,0.8497997795895159,13
mixed,2024-06-13,0.8007099080548361,6
mixed,2024-06-16,0.824240366560755,15
mixed,2024-06-23,0.8563986290429128,10
mixed,2024-06-28,0.8705826232860563,7
mixed,2024-06-29,0.7333411141768746,7
mixed,2024-06-30,0.7864504659829274,16
mixed,2024-07-01,0.5518824901137147,34
mixed,2024-07-02,0.8604957234707451,7
mixed,2024-07-07,0.8979252088173275,9
mixed,2024-07-08,0.6714352530754572,11
mixed,2024-07-14,0.7962771217072248,16
mixed,2024-07-16,0.8875905392530411,6
mixed,2024-07-17,0.7705849298526235,5
mixed,2024-07-18,0.5486483328074543,8
mixed,2024-07-22,0.7651616661871743,13
mixed,2024-07-23,0.7502659025441107,5
mixed,2024-07-27,0.8576886577221638,11
mixed,2024-08-01,0.6737527382533562,55
mixed,2024-08-02,0.6207527527656955,7
mixed,2024-08-03,0.7277879167429058,10
mixed,2024-08-04,0.6091234165187014,6
mixed,2024-08-07,0.8642829680041533,5
mixed,2024-08-10,0.8171084537287068,7
mixed,2024-08-11,0.8529280582500814,5
