stream_group,time_window,n_articles,domains,labels
right,2024-03-17,12,['breitbart.com'],[1]
right,2024-03-24,13,['breitbart.com'],[1]
right,2024-03-29,21,['breitbart.com'],[1]
right,2024-03-30,21,['breitbart.com'],[1]
right,2024-03-31,7,['breitbart.com'],[1]
right,2024-04-01,10,['breitbart.com'],[1]
right,2024-04-07,9,['breitbart.com'],[1]
right,2024-04-14,14,['breitbart.com'],[1]
right,2024-04-21,12,['breitbart.com'],[1]
right,2024-04-27,5,['breitbart.com'],[1]
right,2024-04-28,8,['breitbart.com'],[1]
right,2024-04-29,10,['breitbart.com'],[1]
right,2024-04-30,19,['breitbart.com'],[1]
right,2024-05-01,26,['breitbart.com'],[1]
right,2024-05-05,13,['breitbart.com'],[1]
right,2024-05-12,13,['breitbart.com'],[1]
right,2024-05-19,14,['breitbart.com'],[1]
right,2024-05-26,14,['breitbart.com'],[1]
right,2024-06-01,46,['breitbart.com'],[1]
right,2024-06-02,13,['breitbart.com'],[1]
right,2024-06-09,11,['breitbart.com'],[1]
right,2024-06-16,14,['breitbart.com'],[1]
right,2024-06-23,9,['breitbart.com'],[1]
right,2024-06-29,6,['breitbart.com'],[1]
right,2024-06-30,16,['breitbart.com'],[1]
right,2024-07-01,33,['breitbart.com'],[1]
right,2024-07-07,8,['breitbart.com'],[1]
right,2024-07-08,6,['breitbart.com'],[1]
right,2024-07-14,14,['breitbart.com'],[1]
right,2024-07-22,13,['breitbart.com'],[1]
right,2024-07-27,8,['breitbart.com'],[1]
right,2024-08-01,49,['breitbart.com'],[1]
right,2024-08-03,9,['breitbart.com'],[1]
right,2024-08-04,5,['breitbart.com'],[1]
right,2024-08-10,7,['breitbart.com'],[1]
right,2024-08-11,5,['breitbart.com'],[1]
right,2024-08-18,12,['breitbart.com'],[1]
right,2024-08-25,14,['breitbart.com'],[1]
right,2024-08-30,22,['breitbart.com'],[1]
right,2024-08-31,8,['breitbart.com'],[1]
right,2024-09-01,26,['breitbart.com'],[1]
right,2024-09-02,7,['breitbart.com'],[1]
right,2024-09-08,14,['breitbart.com'],[1]
right,2024-09-15,14,['breitbart.com'],[1]
right,2024-09-22,13,['breitbart.com'],[1]
right,2024-09-29,11,['breitbart.com'],[1]
right,2024-09-30,8,['breitbart.com'],[1]
right,2024-10-01,44,['breitbart.com'],[1]
right,2024-10-06,13,['breitbart.com'],[1]
right,2024-10-13,13,['breitbart.com'],[1]
right,2024-10-20,14,['breitbart.com'],[1]
right,2024-10-27,11,['breitbart.com'],[1]
right,2024-10-31,18,['breitbart.com'],[1]
right,2024-11-01,38,['breitbart.com'],[1]
right,2024-11-03,5,['breitbart.com'],[1]
right,2024-11-04,8,['breitbart.com'],[1]
right,2024-11-10,14,['breitbart.com'],[1]
right,2024-11-16,11,['breitbart.com'],[1]
right,2024-11-24,13,['breitbart.com'],[1]
right,2024-11-29,17,['breitbart.com'],[1]
right,2024-11-30,10,['breitbart.com'],[1]
right,2024-12-01,30,['breitbart.com'],[1]
right,2024-12-08,14,['breitbart.com'],[1]
right,2024-12-15,12,['breitbart.com'],[1]
right,2024-12-21,9,['breitbart.com'],[1]
right,2024-12-22,5,['breitbart.com'],[1]
right,2024-12-28,5,['breitbart.com'],[1]
right,2024-12-29,6,['breitbart.com'],[1]
right,2024-12-30,7,['breitbart.com'],[1]
right,2024-12-31,34,['breitbart.com'],[1]
right,2025-01-01,7,['breitbart.com'],[1]
right,2025-01-05,14,['breitbart.com'],[1]
right,2025-01-11,9,['breitbart.com'],[1]
right,2025-01-12,5,['breitbart.com'],[1]
right,2025-01-19,12,['breitbart.com'],[1]
right,2025-01-26,14,['breitbart.com'],[1]
right,2025-01-30,8,['breitbart.com'],[1]
right,2025-01-31,29,['breitbart.com'],[1]
right,2025-02-01,20,['breitbart.com'],[1]
right,2025-02-02,9,['breitbart.com'],[1]
right,2025-02-03,6,['breitbart.com'],[1]
right,2025-02-09,14,['breitbart.com'],[1]
right,2025-02-16,14,['breitbart.com'],[1]
