stream_group,time_window,drift_score,n_articles
left,2024-04-08,0.7827170608440218,19
left,2024-04-15,0.7739416667029898,17
left,2024-04-22,0.78840481808679,16
left,2024-04-29,0.5942484461701192,20
left,2024-05-06,0.8386041228005885,16
left,2024-06-03,0.8327293586536696,15
left,2024-06-10,0.735179678780333,19
left,2024-06-24,0.6304417514867175,15
left,2024-07-08,0.7187870498006241,17
left,2024-07-15,0.6784709073710046,24
left,2024-07-29,0.6900461341436693,16
left,2024-08-12,0.7526667088473122,18
left,2024-08-19,0.7513748402513143,23
left,2024-08-26,0.7897159350925924,15
left,2024-09-02,0.7516268989461778,22
left,2024-09-09,0.7223264617971692,21
left,2024-09-23,0.6833918269124781,25
left,2024-10-07,0.710527942768375,19
left,2024-10-21,0.647676358990526,29
left,2024-10-28,0.5212775970393095,18
left,2024-11-04,0.6157739510944183,16
left,2024-11-11,0.6469774493702656,21
left,2024-11-18,0.8004591129268397,15
left,2024-11-25,0.8782462823591224,18
left,2024-12-09,0.8289530944322552,15
left,2024-12-16,0.7743890592712965,21
left,2025-01-06,0.7534257006759898,18
left,2025-01-13,0.8208501058831849,15
left,2025-01-20,0.849653938350546,24
left,2025-01-27,0.8406110529195817,15
left,2025-02-03,0.8237551247386405,27
left,2025-02-10,0.7360202582900361,19
mixed,2024-03-18,0.7538325617140933,22
mixed,2024-03-25,0.728127603736971,60
mixed,2024-04-01,0.7240909935759461,44
mixed,2024-04-08,0.7235840741897973,34
mixed,2024-04-15,0.7278871442149317,31
mixed,2024-04-22,0.7686963061409158,29
mixed,2024-04-29,0.5872788711892487,88
mixed,2024-05-06,0.6765438728105978,30
mixed,2024-05-13,0.7450923009248721,25
mixed,2024-05-20,0.678761868550898,22
mixed,2024-05-27,0.6529400732438437,71
mixed,2024-06-03,0.7270336644192874,29
mixed,2024-06-10,0.6909327229190141,33
mixed,2024-06-17,0.7154215064221823,21
mixed,2024-06-24,0.7125570291849705,39
mixed,2024-07-01,0.6697043408861842,55
mixed,2024-07-08,0.6522351656689376,37
mixed,2024-07-15,0.6684157441529867,24
mixed,2024-07-22,0.6417303559931185,39
mixed,2024-07-29,0.594446128700187,81
mixed,2024-08-05,0.6404965531881657,26
mixed,2024-08-12,0.7009572997700656,31
mixed,2024-08-19,0.7001674197806518,37
mixed,2024-08-26,0.6074583101950363,71
mixed,2024-09-02,0.5446815007439931,43
mixed,2024-09-09,0.6479185318090958,35
mixed,2024-09-16,0.6364908595145916,27
mixed,2024-09-23,0.6313054286599906,36
mixed,2024-09-30,0.6132417950215053,77
mixed,2024-10-07,0.6231292688418257,32
mixed,2024-10-14,0.6709934957034844,26
mixed,2024-10-21,0.5948358949786331,43
mixed,2024-10-28,0.5122143064163412,79
mixed,2024-11-04,0.5387896024313708,38
mixed,2024-11-11,0.6266207293842784,35
mixed,2024-11-18,0.7432266804459439,28
mixed,2024-11-25,0.7649170975863435,79
mixed,2024-12-02,0.6440274815548255,28
mixed,2024-12-09,0.8012229112026412,27
mixed,2024-12-16,0.7256209422527282,36
mixed,2024-12-23,0.8240121703836831,17
mixed,2024-12-30,0.7786800258550878,71
mixed,2025-01-06,0.6938605210897073,32
mixed,2025-01-13,0.7443551667301056,27
mixed,2025-01-20,0.7947104759632422,38
mixed,2025-01-27,0.7292330051916391,81
mixed,2025-02-03,0.7112480783916791,47
mixed,2025-02-10,0.6804208915033298,33
right,2024-04-01,0.5916023227200087,23
right,2024-04-08,0.7797054894918073,15
right,2024-04-29,0.707458951549599,68
right,2024-05-27,0.6312093570383998,61
right,2024-06-24,0.7919145843383817,24
right,2024-07-01,0.5705302078997968,41
right,2024-07-08,0.7151215917490159,20
right,2024-07-22,0.6555603350804972,25
right,2024-07-29,0.48574051973401855,65
right,2024-08-26,0.6297300413475568,56
right,2024-09-02,0.5176139393448949,21
right,2024-09-30,0.607367562349592,65
right,2024-10-28,0.5006102292844402,61
right,2024-11-04,0.5172061522144733,22
right,2024-11-25,0.6237050055116851,61
right,2024-12-16,0.5756512739394288,15
right,2024-12-30,0.5978991023717707,62
right,2025-01-27,0.5791041583675505,66
right,2025-02-03,0.6608650943991954,20
