stream_group,time_window,n_articles,domains,labels
left,2024-04-01,21,"['motherjones.com', 'thenation.com']",[0]
left,2024-04-08,19,"['motherjones.com', 'thenation.com']",[0]
left,2024-04-15,17,"['motherjones.com', 'thenation.com']",[0]
left,2024-04-22,16,"['motherjones.com', 'thenation.com']",[0]
left,2024-04-29,20,"['motherjones.com', 'thenation.com']",[0]
left,2024-05-06,16,"['motherjones.com', 'thenation.com']",[0]
left,2024-06-03,15,"['motherjones.com', 'thenation.com']",[0]
left,2024-06-10,19,"['motherjones.com', 'thenation.com']",[0]
left,2024-06-24,15,"['motherjones.com', 'thenation.com']",[0]
left,2024-07-08,17,"['motherjones.com', 'thenation.com']",[0]
left,2024-07-15,24,"['motherjones.com', 'thenation.com']",[0]
left,2024-07-29,16,"['motherjones.com', 'thenation.com']",[0]
left,2024-08-12,18,"['motherjones.com', 'thenation.com']",[0]
left,2024-08-19,23,"['motherjones.com', 'thenation.com']",[0]
left,2024-08-26,15,"['motherjones.com', 'thenation.com']",[0]
left,2024-09-02,22,"['motherjones.com', 'thenation.com']",[0]
left,2024-09-09,21,"['motherjones.com', 'thenation.com']",[0]
left,2024-09-23,25,"['motherjones.com', 'thenation.com']",[0]
left,2024-10-07,19,"['motherjones.com', 'thenation.com']",[0]
left,2024-10-21,29,"['motherjones.com', 'thenation.com']",[0]
left,2024-10-28,18,"['motherjones.com', 'thenation.com']",[0]
left,2024-11-04,16,"['motherjones.com', 'thenation.com']",[0]
left,2024-11-11,21,"['motherjones.com', 'thenation.com']",[0]
left,2024-11-18,15,"['motherjones.com', 'thenation.com']",[0]
left,2024-11-25,18,"['motherjones.com', 'thenation.com']",[0]
left,2024-12-09,15,"['motherjones.com', 'thenation.com']",[0]
left,2024-12-16,21,"['motherjones.com', 'thenation.com']",[0]
left,2025-01-06,18,"['motherjones.com', 'thenation.com']",[0]
left,2025-01-13,15,"['motherjones.com', 'thenation.com']",[0]
left,2025-01-20,24,"['motherjones.com', 'thenation.com']",[0]
left,2025-01-27,15,"['motherjones.com', 'thenation.com']",[0]
left,2025-02-03,27,"['motherjones.com', 'thenation.com']",[0]
left,2025-02-10,19,"['motherjones.com', 'thenation.com']",[0]
