stream_group,time_window,drift_score,n_articles
mixed,2024-03-18,0.7538325617140933,22
mixed,2024-03-25,0.728127603736971,60
mixed,2024-04-01,0.7240909935759461,44
mixed,2024-04-08,0.7235840741897973,34
mixed,2024-04-15,0.7278871442149317,31
mixed,2024-04-22,0.7686963061409158,29
mixed,2024-04-29,0.5872788711892487,88
mixed,2024-05-06,0.6765438728105978,30
mixed,2024-05-13,0.7450923009248721,25
mixed,2024-05-20,0.678761868550898,22
mixed,2024-05-27,0.6529400732438437,71
mixed,2024-06-03,0.7270336644192874,29
mixed,2024-06-10,0.6909327229190141,33
mixed,2024-06-17,0.7154215064221823,21
mixed,2024-06-24,0.7125570291849705,39
mixed,2024-07-01,0.6697043408861842,55
mixed,2024-07-08,0.6522351656689376,37
mixed,2024-07-15,0.6684157441529867,24
mixed,2024-07-22,0.6417303559931185,39
mixed,2024-07-29,0.594446128700187,81
mixed,2024-08-05,0.6404965531881657,26
mixed,2024-08-12,0.7009572997700656,31
mixed,2024-08-19,0.7001674197806518,37
mixed,2024-08-26,0.6074583101950363,71
mixed,2024-09-02,0.5446815007439931,43
mixed,2024-09-09,0.6479185318090958,35
mixed,2024-09-16,0.6364908595145916,27
mixed,2024-09-23,0.6313054286599906,36
mixed,2024-09-30,0.6132417950215053,77
mixed,2024-10-07,0.6231292688418257,32
mixed,2024-10-14,0.6709934957034844,26
mixed,2024-10-21,0.5948358949786331,43
mixed,2024-10-28,0.5122143064163412,79
mixed,2024-11-04,0.5387896024313708,38
mixed,2024-11-11,0.6266207293842784,35
mixed,2024-11-18,0.7432266804459439,28
mixed,2024-11-25,0.7649170975863435,79
mixed,2024-12-02,0.6440274815548255,28
mixed,2024-12-09,0.8012229112026412,27
mixed,2024-12-16,0.7256209422527282,36
mixed,2024-12-23,0.8240121703836831,17
mixed,2024-12-30,0.7786800258550878,71
mixed,2025-01-06,0.6938605210897073,32
mixed,2025-01-13,0.7443551667301056,27
mixed,2025-01-20,0.7947104759632422,38
mixed,2025-01-27,0.7292330051916391,81
mixed,2025-02-03,0.7112480783916791,47
mixed,2025-02-10,0.6804208915033298,33
