stream_group,time_window,drift_score,n_articles
right,2024-04-01,0.5916023227200087,23
right,2024-04-08,0.7797054894918073,15
right,2024-04-29,0.707458951549599,68
right,2024-05-27,0.6312093570383998,61
right,2024-06-24,0.7919145843383817,24
right,2024-07-01,0.5705302078997968,41
right,2024-07-08,0.7151215917490159,20
right,2024-07-22,0.6555603350804972,25
right,2024-07-29,0.48574051973401855,65
right,2024-08-26,0.6297300413475568,56
right,2024-09-02,0.5176139393448949,21
right,2024-09-30,0.607367562349592,65
right,2024-10-28,0.5006102292844402,61
right,2024-11-04,0.5172061522144733,22
right,2024-11-25,0.6237050055116851,61
right,2024-12-16,0.5756512739394288,15
right,2024-12-30,0.5978991023717707,62
right,2025-01-27,0.5791041583675505,66
right,2025-02-03,0.6608650943991954,20
