stream_group,time_window,n_articles,domains,labels
right,2024-03-25,49,['breitbart.com'],[1]
right,2024-04-01,23,['breitbart.com'],[1]
right,2024-04-08,15,['breitbart.com'],[1]
right,2024-04-29,68,['breitbart.com'],[1]
right,2024-05-27,61,['breitbart.com'],[1]
right,2024-06-24,24,['breitbart.com'],[1]
right,2024-07-01,41,['breitbart.com'],[1]
right,2024-07-08,20,['breitbart.com'],[1]
right,2024-07-22,25,['breitbart.com'],[1]
right,2024-07-29,65,['breitbart.com'],[1]
right,2024-08-26,56,['breitbart.com'],[1]
right,2024-09-02,21,['breitbart.com'],[1]
right,2024-09-30,65,['breitbart.com'],[1]
right,2024-10-28,61,['breitbart.com'],[1]
right,2024-11-04,22,['breitbart.com'],[1]
right,2024-11-25,61,['breitbart.com'],[1]
right,2024-12-16,15,['breitbart.com'],[1]
right,2024-12-30,62,['breitbart.com'],[1]
right,2025-01-27,66,['breitbart.com'],[1]
right,2025-02-03,20,['breitbart.com'],[1]
